Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2012-04-05,02,Murder,17E40,20R,6100-6199,CLARIDGE,DR,-,1
2012-04-04,22,Murder,3B10,18A,11700-11799,HEMPSTEAD,HWY,-,1
2012-04-01,23,Murder,19G10,20A,7500-7599,CORPORATE,DR,-,1
2012-04-21,23,Murder,8C10,20R,6200-6299,RIETTA,-,-,1
2012-04-01,06,Murder,3B10,20A,4200-4299,34TH,ST,W,1
2012-04-15,01,Murder,3B40,13R,1400-1499,34TH,ST,E,1
2012-04-11,12,Murder,6B60,18A,16800-16899,CITY VIEW,PL,-,1
2012-04-28,23,Murder,11H10,20A,6700-6799,AVE K,-,-,1
2012-04-22,21,Murder,6B50,20D,300-399,SAN FERNANDO,DR,-,1
2012-04-16,00,Murder,18F30,20A,6300-6399,WINDSWEPT,LN,-,1
2012-04-30,08,Murder,7C20,20R,4000-4099,LIBERTY,RD,-,1
2012-03-30,22,Rape,19G50,20A,10300-10399,WILCREST,DR,-,1
2012-04-12,04,Rape,7C50,20R,19400-19499,BORDERS,DR,-,1
2012-04-13,23,Rape,16E30,20A,4900-4999,CANCUN,DR,N,1
2012-04-29,07,Rape,6B50,20A,100-199,DYNA,DR,-,1
2012-04-01,02,Rape,6B60,20A,1000-1099,GREENS,RD,-,1
2012-04-01,04,Rape,13D20,20A,8400-8499,BROADWAY,ST,-,1
2012-04-23,08,Rape,16E20,20R,4100-4199,KNOTTY OAKS,TRL,-,1
2012-04-23,05,Rape,10H10,20R,6000-6099,SHERMAN,-,-,1
2012-03-09,13,Rape,12D10,250,9200-9299,INTERVALE,-,-,1
2012-04-11,00,Rape,6B60,18B,12400-12499,NORTH,FWY,-,1
2012-03-25,00,Rape,17E40,20R,12200-12299,CARRSWOLD,-,-,1
2012-04-07,03,Rape,10H70,250,1500-1599,BEN TAUB LOOP,-,-,1
2012-04-21,15,Rape,1A20,20C,300-399,STRATFORD,-,-,1
2012-04-22,15,Rape,17E40,20A,11200-11299,BRAESRIDGE,DR,-,1
2012-03-23,19,Rape,2A10,20R,3400-3499,HARDY,-,-,1
2012-03-15,00,Rape,12D10,13R,3800-3899,SHAVER,ST,S,1
2012-04-28,03,Rape,6B10,20R,12000-12099,ANCHICK,ST,-,1
2012-04-28,01,Rape,14D20,20A,4100-4199,BARBERRY,DR,-,1
2012-04-22,05,Rape,6B10,20R,7500-7599,MEADOWVIEW,DR,-,1
