Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-08-29,07,Murder,11H10,20A,900-999,REDWOOD,ST,-,1
2010-08-08,20,Murder,16E40,20R,16100-16199,BANTAM RIDGE,CT,-,1
2010-08-29,03,Murder,3B40,13R,400-499,43RD,ST,E,1
2010-08-15,05,Murder,11H10,18A,6100-6199,GULF,FWY,-,1
2010-08-14,08,Murder,11H10,20A,6100-6199,GULF,FWY,-,1
2010-08-17,00,Murder,6B40,20R,8600-8699,SUNMORE,CT,-,1
2010-08-01,16,Murder,14D40,20A,11900-11999,MARTIN LUTHER KING,BLVD,-,1
2010-08-28,01,Murder,5F30,18P,14500-14599,HEMPSTEAD,HWY,-,1
2010-08-14,22,Murder,14D20,18A,4400-4499,BELLFORT,ST,-,1
2010-08-22,10,Murder,20G30,250,10500-10599,RICHMOND,AVE,-,1
2010-08-18,02,Murder,18F50,20A,7600-7699,GULFTON,-,-,1
2010-08-13,22,Murder,20G30,070,3800-3899,DAIRY ASHFORD,-,S,1
2010-08-03,22,Murder,20G40,20A,2400-2499,KIRKWOOD,DR,S,1
2010-08-25,21,Murder,17E40,070,11300-11399,FONDREN,RD,-,1
2010-08-07,00,Murder,6B60,100,1100-1199,LANGWICK,DR,-,1
2010-08-17,23,Murder,14D50,18A,5900-5999,SELINSKY,-,-,1
2010-08-21,23,Murder,17E40,20A,6300-6399,BELLFORT,ST,W,1
2010-08-17,01,Murder,4F10,18A,9500-9599,LONG POINT,RD,-,1
2010-05-16,18,Murder,6B30,20R,5800-5899,ARNCLIFFE,DR,-,1
2010-08-06,23,Murder,10H70,03B,4700-4799,ALMEDA,RD,-,1
2010-08-28,16,Murder,4F20,20A,2400-2499,WEST SAM HOUSTON,PKWY,N,1
2010-08-20,23,Murder,19G50,13R,10700-10799,BISSONNET,ST,-,1
2010-08-04,20,Murder,6B60,18A,13500-13599,NORTHBOROUGH,DR,-,1
2010-08-08,02,Rape,19G10,20A,10000-10099,SPICE,LN,-,1
2010-08-20,20,Rape,12D10,20A,1300-1399,REDFORD,-,-,1
2010-04-01,00,Rape,12D10,20A,100-199,EDGEBROOK,DR,E,1
2010-08-28,21,Rape,24C30,20R,2800-2899,WOODSPRING ACRES,DR,-,1
2010-08-27,20,Rape,4F10,05H,10600-10699,MAYFIELD,-,-,1
2010-07-23,19,Rape,12D70,18G,100-199,EL DORADO,BLVD,-,1
2010-08-10,00,Rape,11H30,160,2200-2299,CENTRAL,ST,-,1
2010-08-15,11,Rape,18F60,20A,9500-9599,WESTWOOD PLACE,DR,-,1
2010-08-09,00,Rape,8C40,20N,8400-8499,MESA,DR,-,1
2010-08-27,03,Rape,8C40,20R,9100-9199,PARKETTE,DR,-,1
2010-04-14,12,Rape,3B10,03B,11200-11299,HEMPSTEAD,HWY,-,1
2010-07-31,22,Rape,19G50,140,11000-11099,SOUTHWEST,FWY SER,N,1
2010-08-02,00,Rape,17E40,140,6300-6399,BELLFORT,ST,W,1
2010-08-24,05,Rape,19G50,18T,9800-9899,BISSONNET,ST,-,1
2010-07-16,15,Rape,17E10,20A,6600-6699,SANDS POINT,DR,-,1
2010-07-11,18,Rape,15E40,20A,7600-7699,KIRBY,DR,-,1
