Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-04-13,01,Murder,17E40,20A,6400-6499,BANKSIDE,DR,-,1
2011-04-06,14,Murder,20G30,20A,2900-2999,HAYES,RD,-,1
2011-01-10,19,Murder,13D20,20R,8400-8499,GLENSCOT,-,-,1
2011-04-03,23,Murder,19G50,18N,10700-10799,BELLFORT,ST,W,1
2011-04-17,23,Murder,11H20,20A,2500-2599,BROADWAY,ST,-,1
2011-04-17,22,Murder,13D20,20D,6800-6899,WALTRIP,-,-,1
2011-04-12,01,Murder,7C30,13R,8900-8999,RAMIN,ST,-,1
2011-04-02,04,Rape,16E30,11R,5500-5599,ANDERSON,RD,-,1
2011-04-21,15,Rape,17E10,20A,5900-5999,BELLAIRE,BLVD,-,1
2011-03-20,01,Rape,24C10,250,1000-1099,HAMBLEN,DR,-,1
2011-04-05,02,Rape,18F30,18O,5900-5999,WESTHEIMER,RD,-,1
2011-04-23,10,Rape,2A10,20P,4500-4599,TERRY,-,-,1
2011-02-11,00,Rape,19G30,22H,12300-12399,HIGH STAR,DR,-,1
2011-04-22,11,Rape,5F20,20R,12300-12399,SOWDEN,-,-,1
2011-04-23,21,Rape,5F20,20R,9400-9499,SPRING BRANCH,-,-,1
2011-04-08,17,Rape,17E40,20R,7900-7999,AIRPORT,BLVD,W,1
2011-03-28,08,Rape,17E40,20R,8500-8599,CANDLEGREEN,LN,-,1
2011-04-10,20,Rape,17E40,20A,12500-12599,DUNLAP,ST,-,1
2007-04-16,20,Rape,17E10,20A,6400-6499,ALDER,DR,-,1
2009-10-30,22,Rape,2A60,20A,1500-1599,25TH,ST,W,1
2011-04-10,02,Rape,UNK,20R,300-399,RICHEY,RD,W,1
2010-12-01,12,Rape,14D40,20R,3800-3899,JACOB FIELD,LN,-,1
2011-04-07,22,Rape,12D40,20R,12200-12299,POMPTON,DR,-,1
2011-04-26,00,Rape,18F60,20A,8900-8999,BEECHNUT,ST,-,1
2011-04-01,21,Rape,18F60,20R,7500-7599,AUGUSTINE,DR,-,1
2011-04-20,01,Rape,18F20,20A,5400-5499,WESTHEIMER,RD,-,1
2011-04-28,20,Rape,17E40,20A,6400-6499,BANKSIDE,DR,-,1
2011-04-07,07,Rape,17E40,20A,10900-10999,FONDREN,RD,-,1
2011-04-12,11,Rape,7C10,20W,4300-4399,NICHOLS,-,-,1
2007-01-01,18,Rape,7C20,20A,6600-6699,HIRSCH,RD,-,1
2011-04-03,09,Rape,7C20,250,6100-6199,HIRSCH,RD,-,1
2011-04-13,02,Rape,18F50,20R,9200-9299,PAGEWOOD,LN,-,1
2011-04-06,12,Rape,6B30,20R,7700-7799,WHITE FIR,DR,-,1
2011-04-01,04,Rape,16E10,20R,13100-13199,REMME RIDGE,LN,-,1
2011-04-23,11,Rape,15E20,09H,5500-5599,GASMER,DR,-,1
2011-04-23,21,Rape,19G40,22M,9500-9599,DAIRY ASHFORD,-,S,1
2011-04-19,18,Rape,20G30,20R,10400-10499,WESTHEIMER,RD,-,1
2011-04-28,22,Rape,3B40,20R,700-799,32ND 1/2,ST,E,1
2011-04-23,19,Rape,5F10,20A,1700-1799,WOODVINE,-,-,1
2011-04-01,03,Rape,12D10,11R,100-199,GILPIN,ST,-,1
2011-04-02,21,Rape,18F50,20A,7200-7299,BELLERIVE,DR,-,1
2011-04-26,21,Rape,14D20,140,3100-3199,HOLMES,RD,-,1
2011-04-05,05,Rape,2A20,13S,1200-1299,NORTH LP,SER,S,1
2011-04-10,01,Rape,7C10,20R,1200-1299,WACO,-,-,1
2011-04-21,11,Rape,9C40,20A,12300-12399,FLEMING,DR,-,1
2011-04-21,23,Rape,10H30,20R,400-499,DOWLING,ST,-,1
2011-04-17,11,Rape,7C10,18A,2400-2499,SAKOWITZ,-,-,1
2011-04-03,23,Rape,5F40,240,7400-7499,GREENS,RD,W,1
2010-06-01,22,Rape,5F40,20R,7600-7699,FM 1960,-,W,1
2011-04-23,01,Rape,13D40,13R,8300-8399,GULF TREE,LN,-,1
2011-04-24,00,Rape,6B50,20A,200-299,NORTHPOINT,DR,-,1
2011-04-15,17,Rape,17E30,20A,10100-10199,GESSNER,DR,S,1
2011-04-16,03,Rape,17E20,03B,7600-7699,BEECHNUT,ST,-,1
2011-04-02,21,Rape,17E30,250,9300-9399,BISSONNET,ST,-,1
2011-04-01,15,Rape,17E30,100,11800-11899,SOUTH SAM HOUSTON,PKWY,W,1
2011-04-17,03,Rape,19G10,20A,8600-8699,COURSE,DR,S,1
2011-04-20,16,Rape,20G70,20A,12700-12799,BRANT ROCK,DR,-,1
2003-05-01,00,Rape,5F40,20A,8300-8399,WILLOW PLACE,DR,S,1
2011-04-11,08,Rape,10H50,20V,3100-3199,ROSALIE,-,-,1
2011-04-26,01,Rape,10H50,20V,2800-2899,MCGOWEN,ST,-,1
2010-11-23,02,Rape,20G30,20A,8100-8199,DAIRY ASHFORD,-,S,1
2011-03-31,23,Rape,10H40,03B,2400-2499,SAN JACINTO,-,-,1
2011-04-16,02,Rape,10H40,03B,3100-3199,SAN JACINTO,-,-,1
2011-04-15,00,Rape,19G40,20R,11500-11599,BISSONNET,ST,-,1
2010-12-01,12,Rape,11H50,20A,1700-1799,COLLEGE,-,-,1
2011-03-28,00,Rape,12D10,250,700-799,GLOBE,ST,-,1
2011-04-29,21,Rape,1A20,20C,1300-1399,BAYOU OAKS VISTA,DR,-,1
2011-04-06,22,Rape,24C20,20R,2400-2499,KINGS FOREST,DR,-,1
2004-06-01,20,Rape,14D40,20A,12000-12099,MARTIN LUTHER KING,BLVD,-,1
2011-04-02,21,Rape,14D40,20R,12000-12099,MARTIN LUTHER KING,BLVD,-,1
2011-03-28,00,Rape,19G50,20A,10000-10099,FORUM WEST,DR,-,1
2011-04-18,23,Rape,14D20,18O,5600-5699,RUE,-,-,1
2011-04-18,21,Rape,14D20,20V,5400-5499,GROVETON,-,-,1
2011-04-05,01,Rape,6B20,20A,5600-5699,HARVARD,ST,-,1
2011-04-29,01,Rape,1A10,03B,100-199,TRAVIS,ST,-,1
1995-01-01,00,Rape,8C60,20R,5200-5299,KNIGHTWOOD,-,-,1
2011-04-13,12,Rape,11H40,20R,4700-4799,GALVESTON,RD,-,1
2011-04-26,23,Rape,10H80,13R,5700-5799,MAIN,ST,-,1
2011-03-22,03,Rape,1A20,09R,900-999,ALABAMA,ST,W,1
2011-04-04,19,Rape,19G10,20A,9500-9599,CLUB CREEK,DR,-,1
2011-04-22,23,Rape,3B40,20R,8000-8099,MAIN,-,N,1
2011-04-02,12,Robbery,14D20,20R,9300-9399,CHESTERFIELD,DR,-,1
2011-04-27,23,Robbery,17E20,18A,6800-6899,BISSONNET,ST,-,1
2011-04-02,02,Robbery,17E10,13R,7300-7399,HILLCROFT,-,-,1
