Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
1980-05-01,12,Aggravated Assault,7C20,13R,4500-4599,WIPPRECHT,ST,-,1
1984-08-26,01,Theft,18F30,18N,5700-5799,RICHMOND,AVE,-,1
2000-08-13,17,Theft,8C60,20D,12200-12299,SWAN RIVER,DR,-,1
2001-08-20,20,Theft,14D10,20A,6600-6699,LONDON,ST,-,1
2002-01-01,08,Theft,15E10,20R,5900-5999,DUMFRIES,DR,-,1
2002-06-05,08,Theft,10H80,18A,2400-2499,WATTS,-,-,1
2003-08-03,12,Robbery,14D10,13R,4900-4999,MARTIN LUTHER KING,BLVD,-,1
2003-08-19,11,Burglary,19G10,20A,8600-8699,COURSE,DR,S,1
2004-01-01,00,Theft,5F10,250,7600-7699,KATY,FWY,-,1
2004-04-01,00,Theft,2A50,250,4400-4499,MEMORIAL,DR,-,1
2006-08-06,22,Auto Theft,7C20,20D,4800-4899,SAYERS,ST,-,1
2006-08-19,01,Theft,11H50,18A,5100-5199,SILVER CREEK,DR,-,1
2006-08-25,19,Theft,10H60,210,3900-3999,SCOTT,-,-,1
2006-08-26,11,Theft,13D40,18G,8000-8099,GULICK,LN,-,1
2007-06-01,12,Rape,6B30,20R,5300-5399,OAK COVE,DR,-,1
2007-06-01,06,Theft,6B60,20A,800-899,GREENS,RD,W,1
2007-06-15,08,Theft,20G50,05C,11500-11599,KATY,FWY,-,1
2007-10-15,16,Theft,12D10,20R,1200-1299,LASKEY,-,-,1
2007-10-20,12,Theft,7C30,22E,7500-7599,CURRY,RD,-,1
2007-11-24,12,Theft,2A30,20R,1000-1099,ALLSTON,ST,-,1
2007-12-01,00,Theft,19G20,20R,4700-4799,JETTY,LN,-,1
2008-01-01,00,Theft,5F30,20R,10100-10199,CHICKASAW,LN,-,1
2008-02-05,10,Theft,7C50,18O,3300-3399,GREENS,RD,-,1
2008-04-01,00,Theft,8C60,20R,6500-6599,LEEDALE,-,-,1
2008-04-01,17,Theft,14D10,05O,6100-6199,SCOTT,-,-,1
2008-04-07,12,Burglary,11H30,20R,3100-3199,BROADWAY,ST,-,1
2008-05-17,20,Auto Theft,14D20,18C,8500-8599,SCOTT,-,-,1
2008-05-18,00,Rape,14D30,20R,5900-5999,BELDART,ST,-,1
2008-06-01,00,Theft,16E20,18O,4000-4099,HEATHERBROOK,DR,-,1
2008-06-01,12,Theft,1A30,22P,2300-2399,MAIN,ST,W,1
2008-07-01,10,Theft,14D20,20R,3100-3199,CHIMIRA,LN,-,1
2008-07-16,14,Theft,12D30,20V,11900-11999,EAGLE ISLAND,LN,-,1
2008-07-31,12,Burglary,18F40,20C,6400-6499,DEL MONTE,DR,-,1
2008-08-02,08,Burglary,17E30,20A,9700-9799,GESSNER,DR,S,1
2008-08-02,21,Theft,17E40,13R,11100-11199,FONDREN,RD,-,1
2008-08-04,14,Rape,14D40,20R,4800-4899,PALISADE,DR,-,1
2008-08-04,20,Auto Theft,9C20,13R,7000-7099,CORPUS CHRISTI,ST,-,1
2008-08-04,13,Theft,24C30,11R,3800-3899,APPALACHIAN,TRL,-,1
2008-08-04,16,Theft,17E30,120,8600-8699,BRAESWOOD,BLVD,S,1
2008-08-10,20,Theft,8C60,18O,10000-10099,HOMESTEAD,RD,-,1
2008-08-13,01,Burglary,10H40,20C,1700-1799,DREW,ST,-,1
2008-08-13,17,Burglary,8C60,20R,12300-12399,BLUE RIVER,DR,-,1
2008-08-17,07,Theft,11H10,120,800-899,WAYSIDE,-,S,1
2008-08-17,11,Theft,6B20,18G,6800-6899,MONTGOMERY,RD,W,1
2008-08-19,20,Theft,18F30,18A,2700-2799,BRIARHURST,DR,-,1
2008-08-20,00,Theft,5F10,250,7200-7299,OLD KATY,RD,-,1
2008-08-22,03,Theft,20G10,18O,5700-5799,CORPORATE,DR,-,1
2008-08-22,09,Theft,21I10,01A,2800-2899,TERMINAL,RD,N,1
2008-08-25,17,Burglary,18F20,05C,2700-2799,POST OAK,BLVD,-,1
2008-08-26,13,Theft,17E20,09D,7100-7199,BEECHNUT,ST,-,1
2008-08-27,23,Theft,1A20,20R,3900-3999,WESTHEIMER,RD,-,1
2008-08-27,14,Theft,17E20,170,7000-7099,BISSONNET,ST,-,1
2008-09-01,00,Rape,18F60,20A,8100-8199,SANDS POINT,DR,-,1
2008-09-03,00,Theft,6B60,05O,16900-16999,NORTHCHASE,DR,-,1
2008-09-13,00,Theft,18F50,05O,3600-3699,GESSNER,DR,S,1
2008-09-15,04,Theft,18F30,18A,6000-6099,BEVERLYHILL,ST,-,1
2008-10-19,23,Theft,1A50,080,4700-4799,WESTHEIMER,RD,-,1
2008-11-01,00,Theft,10H20,20A,4600-4699,WALKER,ST,-,1
2008-11-15,17,Theft,6B50,05O,16400-16499,NORTHCHASE,DR,-,1
2008-11-17,00,Theft,17E40,20R,12400-12499,RACHLIN,CIR,N,1
2008-11-21,08,Theft,6B20,05H,6300-6399,SHEPHERD,DR,N,1
2008-12-04,00,Theft,2A60,20A,900-999,DURHAM,DR,N,1
2008-12-15,00,Theft,7C30,20D,1700-1799,ROXELLA,-,-,1
2008-12-15,08,Theft,5F20,20A,1200-1299,BLALOCK,RD,-,1
2009-01-01,00,Rape,17E20,20A,7200-7299,KINGS GATE,CIR,-,1
2009-01-01,00,Theft,3B10,250,3000-3099,MAPLE GROVE,LN,-,1
2009-01-01,09,Theft,24C10,20R,1600-1699,MISTLETOE,LN,-,1
2009-01-01,00,Theft,19G20,250,10500-10599,TURTLEWOOD,CT,-,1
2009-01-08,17,Theft,1A20,120,3300-3399,MONTROSE,BLVD,-,1
2009-01-10,18,Theft,13D20,05Z,8600-8699,GLENVISTA,ST,-,1
2009-01-11,02,Theft,6B60,18A,700-799,GREENS,RD,-,1
2009-01-15,00,Theft,18F50,250,5900-5999,FONDREN,RD,-,1
2009-01-17,23,Rape,14D40,20R,5200-5299,TAVENOR,LN,-,1
2009-02-02,14,Robbery,6B20,20A,400-499,PARKER,RD,W,1
2009-02-06,00,Theft,7C30,20R,9100-9199,SIMMONS,-,-,1
2009-02-10,08,Theft,14D10,05O,6100-6199,SCOTT,-,-,1
2009-02-13,20,Aggravated Assault,20G70,13R,3500-3599,ELDRIDGE,PKWY,-,1
2009-02-14,23,Robbery,19G20,18R,6100-6199,WILCREST,DR,-,1
2009-02-15,20,Theft,18F30,20A,1800-1899,FOUNTAIN VIEW,DR,-,1
2009-02-15,00,Theft,8C10,20V,5700-5799,POLLY,-,-,1
2009-02-19,21,Aggravated Assault,5F30,05Z,5700-5799,GESSNER,DR,-,1
2009-02-20,18,Theft,14D20,09D,9200-9299,CULLEN,BLVD,-,1
2009-02-24,18,Theft,15E40,250,2300-2399,SOUTH LP W,-,-,1
2009-02-26,10,Murder,4F20,20R,10300-10399,LONE BROOK,DR,-,1
2009-02-26,12,Theft,10H70,09H,6400-6499,FANNIN,-,-,1
2009-02-28,12,Theft,20G20,20R,1400-1499,LAKESIDE ESTATES,DR,-,1
2009-03-01,10,Rape,17E20,20A,9100-9199,FONDREN,RD,-,1
2009-03-01,12,Burglary,2A30,20R,600-699,OXFORD,ST,-,1
2009-03-01,12,Burglary,24C10,20R,2100-2199,NORTHSHORE,DR,-,1
2009-03-01,00,Auto Theft,21I20,01A,3100-3199,TERMINAL,RD,N,1
2009-03-01,08,Theft,13D20,20A,8100-8199,STONE,-,-,1
2009-03-03,00,Theft,20G60,250,19800-19899,KATY,FWY,-,1
2009-03-03,00,Theft,17E30,250,10900-10999,GESSNER,DR,S,1
2009-03-13,00,Theft,18F50,18O,3400-3499,FONDREN,RD,-,1
2009-03-18,10,Robbery,5F20,13R,2100-2199,PECH,RD,-,1
2009-03-20,15,Auto Theft,10H10,18A,2100-2199,CANAL,ST,-,1
2009-03-20,00,Auto Theft,19G40,13R,13200-13299,WEB,LN,-,1
2009-03-27,16,Theft,18F50,250,9300-9399,RICHMOND,AVE,-,1
2009-03-29,13,Auto Theft,9C30,18P,4500-4599,OATES,RD,-,1
2009-04-01,00,Burglary,3B40,20R,4100-4199,EUROPA,ST,-,1
2009-04-01,12,Theft,1A10,13R,1200-1299,TRAVIS,ST,-,1
2009-04-01,00,Theft,20G30,250,2800-2899,WILCREST,DR,-,1
2009-04-02,10,Auto Theft,20G80,20D,13900-13999,LOCKE,LN,-,1
2009-04-15,08,Burglary,16E30,20A,12800-12899,DUNLAP,ST,-,1
2009-04-15,00,Theft,6B30,20A,7000-7099,GULF BANK,RD,W,1
2009-04-18,12,Theft,1A30,20A,1400-1499,RICHMOND,AVE,-,1
2009-04-19,17,Theft,20G50,18B,9200-9299,KATY,FWY,-,1
2009-04-20,00,Burglary,20G60,20R,14300-14399,BROADGREEN,DR,-,1
2009-04-21,15,Auto Theft,18F50,250,9700-9799,WESTPARK,-,-,1
2009-04-22,15,Auto Theft,21I50,18O,17300-17399,PALMETTO PINES,-,-,1
2009-04-22,00,Theft,4F30,250,1800-1899,BARKER CYPRESS,RD,-,1
2009-04-30,00,Burglary,3B10,19V,4800-4899,34TH,ST,W,1
2009-05-01,07,Burglary,6B50,250,11200-11299,AIRLINE,DR,-,1
2009-05-01,09,Burglary,14D20,20R,4400-4499,KNOXVILLE,-,-,1
2009-05-01,12,Auto Theft,20G70,18A,1900-1999,WESTMEAD,DR,-,1
2009-05-01,08,Theft,19G20,20V,11300-11399,OAKCENTER,DR,-,1
2009-05-01,08,Theft,2A30,20D,600-699,26TH,ST,W,1
2009-05-01,08,Theft,7C30,13R,1700-1799,WESTFORD,-,-,1
2009-05-01,09,Theft,17E40,20V,6300-6399,CREEKBEND,DR,-,1
2009-05-01,00,Theft,15E40,20A,2900-2999,FELDMAN,RD,-,1
2009-05-02,23,Robbery,17E10,13R,6300-6399,HILLCROFT,-,-,1
2009-05-04,17,Auto Theft,1A30,250,2400-2499,RICHMOND,AVE,-,1
2009-05-05,00,Theft,10H80,05Z,2000-2099,BISSONNET,ST,-,1
2009-05-05,00,Theft,10H70,20A,2900-2999,HOLCOMBE,BLVD,-,1
2009-05-05,00,Theft,8C30,20R,7300-7399,WAYSIDE,-,N,1
2009-05-07,16,Theft,2A60,250,1400-1499,NORTH LP W,-,-,1
2009-05-08,08,Theft,7C30,20D,2400-2499,CROSSTIMBERS,-,E,1
2009-05-08,05,Theft,13D20,18M,8600-8699,GULF,FWY,-,1
2009-05-09,15,Burglary,13D10,20R,3800-3899,MINGLEWOOD,BLVD,-,1
2009-05-10,12,Theft,11H20,120,1900-1999,BROADWAY,ST,-,1
2009-05-11,21,Theft,18F30,18A,3000-3099,GREENRIDGE,DR,-,1
2009-05-14,07,Theft,1A10,01B,1200-1299,TRAVIS,ST,-,1
