Date,Hour,Offense Type,Beat,Block Range,Street Name,Type,Suffix,# Of
2014-08-02,08,Aggravated Assault,10H10,"Road, Street, or Sidewalk",3800-3899,CANAL,ST,-
2014-08-03,06,Auto Theft,10H10,"Road, Street, or Sidewalk",200-299,ENGEL,ST,-
2014-08-05,15,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-
2014-07-27,15,Aggravated Assault,10H10,,3900-3999,BERING,-,-
2014-08-04,02,Aggravated Assault,10H10,Residence or House,400-499,LATHAM,-,-
2014-08-04,10,Theft,10H10,Apartment Parking Lot,2300-2399,CANAL,ST,-
2014-08-14,05,Auto Theft,10H10,Driveway,400-499,EVERTON,ST,N
2014-08-16,18,Theft,10H10,Residence or House,300-399,ALTIC,ST,-
2014-08-19,13,Theft,10H10,,1900-1999,RUNNELS,-,-
2014-08-22,20,Burglary,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",5300-5399,HARRISBURG,-,-
2014-08-30,20,Robbery,10H10,Laundry or Dry Cleaners Parking Lot,5500-5599,SHERMAN,-,-
2014-08-01,09,Theft,10H10,"Factory, Manufacturing, or Industrial",3400-3499,COMMERCE,ST,-
2014-08-02,18,Theft,10H10,,200-299,ROBERTS,ST,-
2014-08-03,05,Burglary,10H10,Residence or House,100-199,YORK,-,N
2014-08-11,23,Theft,10H10,Warehouse,2400-2499,COMMERCE,ST,-
2014-08-23,00,Theft,10H10,Other Parking Lot,UNK,ENNIS,ST,N
2014-08-27,17,Auto Theft,10H10,Apartment,2100-2199,RUNNELS,-,-
2014-08-28,09,Auto Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,5700-5799,HARRISBURG,-,-
2014-08-28,09,Theft,10H10,Residence or House,3300-3399,PRESTON,ST,-
2014-08-02,19,Robbery,10H10,Other Parking Lot,300-399,JENSEN,DR,S
2014-08-06,23,Theft,10H10,Residence or House,2100-2199,CANAL,ST,-
2014-08-09,11,Theft,10H10,Commercial Parking Lot or Garage,200-299,NORWOOD,ST,N
2014-08-16,19,Robbery,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-
2014-08-21,16,Burglary,10H10,Garage or Carport,300-399,EVERTON,ST,-
2014-08-23,20,Burglary,10H10,Residence or House,300-399,CLIFTON,-,-
2014-08-26,21,Theft,10H10,Miscellaneous Business (Non-Specific),4900-4999,HARRISBURG,-,-
2014-08-05,22,Theft,10H10,Residence or House,3300-3399,PRESTON,ST,-
2014-08-11,07,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-
2014-08-13,05,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-
2014-08-13,11,Theft,10H10,,6200-6299,CANAL,ST,-
2014-08-14,12,Burglary,10H10,Apartment,2100-2199,RUNNELS,-,-
2014-08-14,13,Theft,10H10,"Physician, Doctor, Dentist's Office",2500-2599,CANAL,ST,-
2014-08-16,15,Theft,10H10,,2700-2799,NAVIGATION,-,-
2014-08-17,01,Burglary,10H10,Residence or House,100-199,EVERTON,ST,-
2014-08-23,00,Theft,10H10,Commercial Building,3400-3499,CANAL,ST,-
2014-08-01,18,Theft,10H10,Service or Gas Station,500-599,LOCKWOOD,DR,-
2014-08-04,12,Burglary,10H10,Residence or House,400-499,SIDNEY,-,-
2014-08-04,15,Burglary,10H10,Warehouse,3400-3499,COMMERCE,ST,-
2014-08-05,07,Theft,10H10,Warehouse,100-199,LATHAM,ST,N
2014-08-05,16,Auto Theft,10H10,Driveway,400-499,HUNT,-,-
2014-08-06,06,Burglary,10H10,"Factory, Manufacturing, or Industrial",3400-3499,TEXAS,ST,-
2014-08-08,10,Burglary,10H10,Other Parking Lot,300-399,MCFARLAND,RD,-
2014-08-15,13,Burglary,10H10,Residence or House,100-199,SIDNEY,-,-
2014-08-19,22,Burglary,10H10,Residence or House,5400-5499,TEXAS,ST,-
2014-08-20,10,Robbery,10H10,"Road, Street, or Sidewalk",200-299,SAMPSON,-,-
2014-08-23,22,Theft,10H10,Other Parking Lot,100-199,ENNIS,ST,N
2014-08-30,14,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,CAYLOR,-,-
2014-08-02,02,Theft,10H10,Residence or House,3300-3399,PRESTON,ST,-
2014-08-05,17,Theft,10H10,Driveway,5400-5499,CAPITOL,ST,-
2014-08-05,21,Aggravated Assault,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-
2014-08-08,18,Aggravated Assault,10H10,,5300-5399,HARRISBURG,-,-
2014-08-10,00,Theft,10H10,Bar or Night Club Parking Lot,4800-4899,CANAL,ST,-
2014-08-14,09,Theft,10H10,Convenience Store,3300-3399,NAVIGATION,-,-
2014-08-16,00,Theft,10H10,Bar or Night Club Parking Lot,3500-3599,HARRISBURG,-,-
2014-08-18,05,Burglary,10H10,"Vacant Storage Fac (Barn,Garage,Warehouse)",100-199,EVERTON,ST,-
2014-08-21,17,Theft,10H10,Department or Discount Store,3400-3499,NAVIGATION,-,-
2014-08-22,13,Theft,10H10,Warehouse,6200-6299,NAVIGATION,-,-
2014-08-23,00,Theft,10H10,,UNK,ENNIS,ST,N
2014-08-25,12,Theft,10H10,,100-199,LOCKWOOD,DR,-
2014-08-26,02,Theft,10H10,Strip Business Center Parking Lot,300-399,JENSEN,DR,S
2014-08-05,10,Burglary,10H10,Vacant Building (Commercial),2800-2899,CANAL,ST,-
2014-08-12,09,Burglary,10H10,Condominium,3000-3099,COMMERCE,ST,-
2014-08-13,09,Theft,10H10,"Factory, Manufacturing, or Industrial",4000-4099,NAVIGATION,-,-
2014-08-17,09,Theft,10H10,"Road, Street, or Sidewalk",2900-2999,COMMERCE,ST,-
2014-08-23,23,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-
2014-08-28,06,Burglary,10H10,Miscellaneous Business (Non-Specific),200-299,NAGLE,-,-
2014-08-28,04,Theft,10H10,"Road, Street, or Sidewalk",3100-3199,SHERMAN,-,-
2014-08-30,11,Aggravated Assault,10H10,Convenience Store Parking Lot,2300-2399,RUNNELS,-,-
2014-08-28,11,Burglary,10H20,Residence or House,5300-5399,JEFFERSON,ST,-
2014-08-27,09,Theft,10H20,Commercial Building,3800-3899,GULF,FWY,-
2014-08-26,09,Theft,10H20,Residence or House,4000-4099,DALLAS,ST,-
2014-08-25,17,Theft,10H20,"Road, Street, or Sidewalk",1100-1199,WYATT,-,-
2014-08-23,22,Aggravated Assault,10H20,,5000-5099,CLAREMONT,ST,-
2014-08-14,09,Burglary,10H20,Residence or House,3900-3999,RUSK,ST,-
2014-08-10,17,Burglary,10H20,Residence or House,1900-1999,LOMBARDY,ST,-
2014-08-04,19,Theft,10H20,Vacant Building (Commercial),1900-1999,TELLEPSEN,-,-
2014-08-30,20,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",5100-5199,POLK,-,-
2014-08-27,05,Auto Theft,10H20,"Road, Street, or Sidewalk",5100-5199,CLAREMONT,ST,-
2014-08-15,22,Burglary,10H20,Residence or House,5300-5399,LEELAND,-,-
2014-08-12,08,Burglary,10H20,Apartment,1600-1699,MARLIN,ST,-
2014-08-23,09,Burglary,10H20,Commercial Building,1600-1699,CULLEN,BLVD,-
2014-08-23,13,Burglary,10H20,,4600-4699,PARK,DR,-
2014-08-25,09,Burglary,10H20,Residence or House,4400-4499,WOODSIDE,ST,-
2014-08-10,17,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4100-4199,RUSK,ST,-
2014-08-01,00,Aggravated Assault,10H20,Residence or House,1300-1399,LAWSON,-,-
2014-08-28,04,Theft,10H20,,1100-1199,WYATT,-,-
2014-08-17,04,Aggravated Assault,10H20,Residence or House,4700-4799,PARK,DR,-
2014-08-18,06,Burglary,10H20,Auto Repair,5300-5399,POLK,-,-
2014-08-19,09,Theft,10H20,,4300-4399,BELL,ST,-
2014-08-10,21,Burglary,10H20,Residence or House,4400-4499,DALLAS,ST,-
2014-08-03,22,Theft,10H20,"Road, Street, or Sidewalk",3900-3999,LAMAR,-,-
2014-08-19,11,Theft,10H20,,800-899,TELEPHONE,-,-
2014-08-05,17,Theft,10H20,Commercial Parking Lot or Garage,700-799,TELEPHONE,-,-
2014-08-22,18,Theft,10H20,Service or Gas Station,5100-5199,LINDSAY,-,-
2014-08-22,11,Auto Theft,10H20,Residence or House,5000-5099,PEASE,-,-
2014-08-18,22,Theft,10H20,Residence or House,4300-4399,POLK,-,-
2014-08-18,10,Theft,10H20,Service or Gas Station,4700-4799,GULF,FWY,-
2014-08-18,14,Burglary,10H20,"Vacant Single Occ Resd(House,Townhs,Dplex)",4400-4499,WALKER,ST,-
2014-08-16,16,Burglary,10H20,Residence or House,1100-1199,WYATT,-,-
2014-08-02,12,Theft,10H20,Grocery Store or Supermarket,4000-4099,POLK,-,-
2014-08-07,14,Theft,10H20,,2100-2199,TELEPHONE,-,-
2014-08-09,09,Aggravated Assault,10H20,"Road, Street, or Sidewalk",700-799,ALTIC,ST,-
2014-08-14,16,Theft,10H20,Miscellaneous Business (Non-Specific),3800-3899,LAMAR,-,-
2014-08-14,17,Auto Theft,10H20,Miscellaneous Business (Non-Specific),5000-5099,RUSK,ST,-
2014-08-17,06,Auto Theft,10H30,Bar or Night Club,3400-3499,GULF,FWY,-
2014-08-11,12,Theft,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",2500-2599,LAMAR,-,-
2014-08-02,07,Theft,10H30,,2000-2099,LEELAND,-,-
2014-08-26,19,Theft,10H30,"Road, Street, or Sidewalk",400-499,DOWLING,ST,-
2014-08-03,10,Theft,10H30,Driveway,1700-1799,DELANO,-,-
2014-08-05,08,Auto Theft,10H30,"Road, Street, or Sidewalk",1700-1799,ADEN MIST,DR,-
2014-08-10,01,Theft,10H30,Driveway,1400-1499,PALMER,ST,-
2014-08-18,16,Auto Theft,10H30,Apartment Parking Lot,3000-3099,POLK,ST,-
2014-08-18,19,Rape,10H30,,400-499,DOWLING,ST,-
2014-08-19,07,Theft,10H30,Apartment Parking Lot,1400-1499,DOWLING,ST,-
2014-08-19,07,Theft,10H30,Driveway,1400-1499,DOWLING,ST,-
2014-08-19,09,Theft,10H30,Residence or House,1700-1799,SAMPSON,-,-
2014-08-20,23,Theft,10H30,Bar or Night Club,800-899,SAINT CHARLES,-,-
2014-08-01,04,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,BELL,ST,-
2014-08-08,15,Theft,10H30,Residence or House,1300-1399,DOWLING,ST,-
2014-08-20,11,Theft,10H30,,200-299,ST EMANUEL,-,-
2014-08-17,11,Theft,10H30,"Road, Street, or Sidewalk",2300-2399,MCKINNEY,ST,-
2014-08-31,02,Robbery,10H30,"Road, Street, or Sidewalk",2300-2399,BELL,ST,-
2014-08-01,09,Theft,10H30,,2000-2099,DALLAS,-,-
2014-08-25,16,Theft,10H30,Restaurant or Cafeteria,1100-1199,SCOTT,-,-
2014-08-26,23,Theft,10H30,,2100-2199,WALKER,ST,-
2014-08-02,03,Robbery,10H30,Commercial Parking Lot or Garage,2200-2299,PRESTON,ST,-
2014-08-21,15,Theft,10H30,Service or Gas Station,3500-3599,GULF,FWY,-
2014-08-26,21,Theft,10H30,,2100-2199,WALKER,ST,-
2014-08-30,02,Theft,10H30,,1700-1799,ENNIS,ST,-
2014-08-06,10,Theft,10H30,"Road, Street, or Sidewalk",2700-2799,CLAY,-,-
2014-08-03,09,Theft,10H30,"Road, Street, or Sidewalk",300-399,BASTROP,ST,-
2014-08-10,10,Aggravated Assault,10H30,,2000-2099,LEELAND,-,-
2014-08-06,04,Theft,10H30,"Road, Street, or Sidewalk",1200-1299,SAMPSON,-,-
2014-08-02,11,Burglary,10H30,Residence or House,1700-1799,ADEN,DR,-
2014-08-03,14,Theft,10H30,Commercial Building,2300-2399,MCKINNEY,ST,-
2014-08-03,12,Auto Theft,10H40,Bar or Night Club Parking Lot,2400-2499,SAN JACINTO,-,-
2014-08-03,04,Robbery,10H40,Bus Station,2100-2199,MAIN,ST,-
2014-08-01,14,Theft,10H40,,3700-3799,MAIN,-,-
2014-08-04,20,Theft,10H40,,2900-2999,MILAM,-,-
2014-08-05,01,Theft,10H40,Alley,1300-1399,GRAY,-,-
2014-08-06,23,Burglary,10H40,Apartment,2300-2399,MILAM,-,-
2014-08-08,01,Robbery,10H40,"Road, Street, or Sidewalk",1700-1799,HOLMAN,-,-
2014-08-08,11,Auto Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-10,08,Aggravated Assault,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-26,12,Theft,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST,-
2014-08-25,02,Theft,10H40,"Road, Street, or Sidewalk",3100-3199,FANNIN,-,-
2014-08-25,17,Theft,10H40,,2900-2999,FANNIN,-,-
2014-08-27,07,Theft,10H40,Convenience Store,2100-2199,HAMILTON,ST,-
2014-08-24,09,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-21,18,Theft,10H40,Mall Common Area,4200-4299,MAIN,ST,-
2014-08-22,14,Theft,10H40,Miscellaneous Business (Non-Specific),2400-2499,AUSTIN,ST,-
2014-08-14,08,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,DREW,ST,-
2014-08-15,13,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-
2014-08-19,09,Theft,10H40,Apartment Parking Lot,2300-2399,MILAM,-,-
2014-08-21,12,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-
2014-08-11,09,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-08,16,Robbery,10H40,"Road, Street, or Sidewalk",2200-2299,FANNIN,-,-
2014-08-09,09,Burglary,10H40,"Multi-Plex Home (Duplex,Triplex Etc.)",2700-2799,CRAWFORD,ST,-
2014-08-08,02,Auto Theft,10H40,Vacant Other Out Build/Monument/UnderConst,800-899,TUAM,-,-
2014-08-02,08,Theft,10H40,Other Parking Lot,3000-3099,FANNIN,-,-
2014-07-29,15,Theft,10H40,Residence or House,3300-3399,SAN JACINTO,-,-
2014-08-06,10,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1100-1199,ALABAMA,ST,-
2014-08-05,07,Theft,10H40,,1400-1499,BREMOND,ST,-
2014-08-15,12,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-18,09,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-17,15,Theft,10H40,Vacant Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-17,22,Theft,10H40,Convenience Store Parking Lot,2100-2199,HAMILTON,ST,-
2014-08-19,20,Burglary,10H40,Apartment,700-799,MCGOWEN,ST,-
2014-08-19,23,Theft,10H40,,2700-2799,MILAM,-,-
2014-08-24,21,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-26,11,Aggravated Assault,10H40,Convenience Store,3800-3899,SAN JACINTO,-,-
2014-08-22,11,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-23,08,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-30,13,Theft,10H40,,2000-2099,MAIN,ST,-
2014-08-30,21,Theft,10H40,,2100-2199,MAIN,ST,-
