Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2012-12-15,19,Murder,17E10,18C,5600-5699,CHIMNEY ROCK,RD,-,1
2012-12-24,18,Murder,6B60,18A,16900-16999,NORTHCHASE,DR,-,1
2012-12-18,06,Murder,7C20,20D,4300-4399,GREGORY,-,-,1
2012-12-24,11,Murder,19G20,20R,7000-7099,JETTY,LN,-,2
2012-12-24,08,Murder,17E10,18P,5600-5699,BELLAIRE,BLVD,-,2
2012-12-17,18,Murder,14D20,13R,3700-3799,WILMINGTON,ST,-,1
2012-12-31,00,Murder,15E40,13R,2100-2199,HEPBURN,-,-,1
2012-12-07,20,Murder,9C40,13R,13100-13199,JOLIET,-,-,1
2012-12-30,19,Murder,14D30,070,6300-6399,MARTIN LUTHER KING,BLVD,-,1
2012-12-07,13,Murder,17E40,18A,6400-6499,BELLFORT,ST,W,1
2012-12-10,20,Murder,14D40,20R,10900-10999,SEGREST,DR,-,1
2012-12-23,07,Murder,14D40,20R,4800-4899,BRISBANE,ST,-,1
2012-12-16,20,Murder,19G10,20A,8500-8599,WEST SAM HOUSTON,PKWY,S,1
2012-12-16,03,Murder,9C40,20D,700-799,REDONDO,DR,-,1
2012-12-19,07,Murder,3B10,13R,5300-5399,LOST FOREST,DR,-,1
2012-12-29,07,Murder,10H60,20A,4000-4099,GRIGGS,-,-,1
2012-12-03,03,Murder,18F60,18N,5800-5899,GESSNER,DR,S,1
2012-11-30,09,Murder,20G50,05X,11700-11799,KATY,FWY,-,1
2012-12-23,23,Rape,8C30,13R,8300-8399,LEY,RD,-,1
2012-12-18,05,Rape,3B10,13A,3300-3399,ANTOINE,DR,-,1
2012-12-03,03,Rape,7C20,20R,2200-2299,RUSSELL,-,-,1
2012-12-03,01,Rape,13D40,20R,0-99,UNKNOWN,-,-,1
2012-12-08,13,Rape,14D10,20A,6600-6699,MADRID,-,-,1
2012-12-27,18,Rape,13D20,140,7900-7999,BELLFORT,ST,-,1
2012-12-31,07,Rape,8C20,20R,7600-7699,SUNDOWN,DR,-,1
2012-11-30,21,Rape,20G10,140,2900-2999,WEST SAM HOUSTON,PKWY,S,1
2012-12-30,20,Rape,17E30,13R,9900-9999,HONEYWELL,RD,-,1
2012-12-30,03,Rape,14D30,20R,5800-5899,SOUTHMONT,-,-,1
2012-12-30,03,Rape,20G10,250,10400-10499,HARWIN,DR,-,1
2012-12-13,21,Rape,7C30,140,7500-7599,EASTEX,FWY SER,E,1
2012-12-23,10,Rape,7C30,13B,9700-9799,EPSOM,RD,-,1
2012-12-19,20,Rape,1A50,040,3700-3799,SOUTHWEST,FWY SER,N,1
2012-12-23,00,Rape,18F50,13R,8600-8699,WINDSWEPT,LN,-,1
2012-12-30,02,Rape,14D10,250,5300-5399,SUNRISE,RD,-,1
