Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2013-02-02,19,Murder,14D40,20R,5600-5699,GREYLOG,DR,-,1
2013-02-03,00,Murder,5F10,20A,7500-7599,SHADY VILLA,LN,-,1
2013-01-23,21,Murder,7C30,13R,8900-8999,HARRELL,-,-,1
2013-02-01,05,Murder,19G10,13R,9700-9799,PLAINFIELD,ST,-,1
2013-02-09,03,Murder,13D20,20A,8900-8999,BROADWAY,ST,-,1
2013-02-01,21,Murder,16E20,20R,2800-2899,TIDEWATER,-,-,1
2013-01-27,01,Murder,14D20,20R,4700-4799,LARKSPUR,ST,-,1
2013-02-04,02,Murder,3B30,18O,4200-4299,T C JESTER,BLVD,W,1
2013-02-07,00,Murder,6B50,13R,100-199,GOODSON,DR,-,1
2013-02-18,16,Murder,13D10,240,5300-5399,TELEPHONE,RD,-,1
2013-02-24,19,Murder,6B40,20A,1400-1499,GULF BANK,RD,W,1
2013-02-10,03,Murder,16E40,20R,4700-4799,BEECHAVEN,DR,-,1
2013-02-18,21,Murder,6B60,18A,1400-1499,GREENS,PKWY,-,1
2013-02-18,23,Murder,2A20,13R,100-199,TABOR,-,-,1
2013-02-01,19,Murder,1A30,20R,1800-1899,PORTSMOUTH,-,-,1
2013-02-02,00,Murder,10H50,04V,2400-2499,FRANCIS,ST,-,1
2013-02-22,06,Murder,2A10,05L,1300-1399,LORRAINE,ST,-,1
2013-02-16,23,Rape,19G40,20R,12100-12199,TAMBOURINE,DR,-,1
2013-02-17,03,Rape,11H10,18A,6100-6199,GULF,FWY SER,E,1
2013-02-28,02,Rape,1A50,20A,2000-2099,WESTCREEK,LN,-,1
2010-06-01,05,Rape,5F40,20A,8300-8399,WILLOW PLACE,DR,N,1
2013-02-11,15,Rape,7C30,20R,2900-2999,WIMBERLY,-,-,1
2008-06-18,00,Rape,6B20,20R,3700-3799,PINEMONT,DR,-,1
2006-02-09,06,Rape,7C20,20A,3400-3499,MEMEL,-,-,1
2013-02-09,23,Rape,9C30,140,10300-10399,EAST,FWY,-,1
