Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-12-22,17,Murder,14D40,20R,5600-5699,DENORON,DR,-,1
2011-01-04,15,Murder,6B30,18A,6100-6199,TIDWELL,RD,W,1
2011-01-20,11,Murder,8C50,20A,9700-9799,MESA,DR,-,1
2011-01-01,06,Murder,19G40,20A,9400-9499,COVENTRY SQUARE,DR,-,1
2011-01-31,03,Murder,6B30,03B,8300-8399,NORTH HOUSTON ROSSLYN,RD,-,1
2011-01-28,16,Murder,16E10,05W,13700-13799,ALMEDA SCHOOL,RD,-,1
2011-01-07,21,Murder,17E30,18A,9000-9099,BRAESWOOD,BLVD,S,1
2010-12-31,19,Murder,18F40,13R,2500-2599,WINROCK,BLVD,-,1
2011-01-13,01,Murder,6B60,13R,12800-12899,NORTHBOROUGH,DR,-,1
2011-01-14,16,Murder,19G40,20A,12600-12699,BROOKGLADE,CIR,-,1
2011-01-28,23,Murder,20G50,18T,14000-14099,MEMORIAL,DR,-,1
2011-01-22,22,Murder,12D10,18A,8600-8699,THETA,-,-,1
2011-01-15,05,Murder,9C20,18N,6000-6099,LYONS,-,-,1
2011-01-02,20,Rape,19G10,20A,7800-7899,CORPORATE,DR,-,1
2011-01-13,02,Rape,19G30,18O,7100-7199,COOK,RD,-,1
2011-01-23,21,Rape,3B50,20R,1300-1399,SADLER,-,-,1
2011-01-11,15,Rape,10H50,22H,3700-3799,SAMPSON,-,-,1
2011-01-04,04,Rape,10H50,20V,3300-3399,WINBERN,-,-,1
2011-01-20,03,Rape,10H50,13R,3000-3099,DENNIS,ST,-,1
2011-01-23,03,Rape,8C20,20R,6800-6899,ORVILLE,-,-,1
2010-12-20,15,Rape,13D10,20A,2400-2499,LIDSTONE,-,-,1
2011-01-31,14,Rape,3B30,20R,1200-1299,JUDIWAY,-,-,1
2011-01-09,06,Rape,8C10,20A,9500-9599,CROFTON,ST,-,1
2010-12-01,08,Rape,8C60,13R,11100-11199,CHEEVES,DR,-,1
2011-01-13,02,Rape,3B10,140,2500-2599,NORTH LP W,-,-,1
2011-01-27,11,Rape,3B10,140,11600-11699,NORTHWEST,FWY,-,1
2011-01-20,09,Rape,3B40,20A,100-199,WHITNEY,-,W,1
2011-01-20,05,Rape,13D10,20A,6700-6799,FAIRWAY,DR,-,1
2011-01-09,05,Rape,20G60,20R,11700-11799,PERTHSHIRE,-,-,1
2011-01-15,12,Rape,19G50,250,10500-10599,BISSONNET,ST,-,1
2010-01-10,03,Rape,20G50,20A,900-999,GESSNER,DR,-,1
2011-01-09,05,Rape,11H50,20A,5100-5199,SILVER CREEK,DR,-,1
