Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-07-23,00,Murder,14D10,18A,4000-4099,CORDER,ST,-,1
2011-07-11,02,Murder,3B10,23S,4400-4499,18TH,ST,W,1
2011-07-26,02,Murder,17E10,18A,5800-5899,GLENMONT,DR,-,1
2011-07-05,20,Murder,6B20,24J,5500-5599,YALE,-,-,1
2011-07-27,04,Murder,10H70,13S,4700-4799,SOUTH,FWY,-,1
2011-07-05,01,Murder,14D20,20A,8300-8399,CANYON,-,-,1
2011-06-18,22,Murder,3B40,20R,1000-1099,32ND,ST,E,1
2011-07-17,23,Murder,10H60,13R,5000-5099,ENNIS,ST,-,1
2011-07-10,19,Murder,20G10,20A,9900-9999,RICHMOND,AVE,-,1
2011-07-13,01,Murder,10H60,13R,3300-3399,CALUMET,-,-,1
2011-07-03,01,Murder,10H60,13R,3400-3499,ROSEDALE,-,-,1
2011-07-13,21,Murder,16E20,20R,15700-15799,CLARKE SPRINGS,DR,-,1
2011-07-05,23,Murder,20G80,100,16000-16099,WESTHEIMER,PKWY,-,1
2011-07-24,01,Murder,3B10,13R,6300-6399,THORNWALL,-,-,1
2011-07-14,16,Murder,6B40,13R,8700-8799,KNOX,-,-,1
2011-07-03,21,Rape,11H20,100,7500-7599,OFFICE CITY,DR,-,1
2011-07-23,20,Rape,14D10,20R,4700-4799,EPPES,ST,-,1
2011-07-15,19,Rape,3B40,20A,4900-4999,MARABLE,DR,-,1
2011-07-09,02,Rape,3B40,250,4700-4799,OXFORD,ST,-,1
2011-06-15,15,Rape,16E20,20R,3400-3499,ROCKRILL,DR,-,1
2011-07-17,19,Rape,16E10,13R,11700-11799,KIRBY,DR,-,1
2011-07-31,02,Rape,17E10,140,6000-6099,RENWICK,-,-,1
2011-07-15,15,Rape,17E10,20A,6500-6599,HILLCROFT,-,-,1
2008-01-01,22,Rape,6B20,20R,6600-6699,GOLDSPIER,ST,-,1
2011-07-02,00,Rape,20G50,20A,900-999,GESSNER,DR,-,1
2011-07-01,01,Rape,1A20,20A,1500-1599,GILLETTE,ST,-,1
2011-07-08,21,Rape,19G50,13R,9600-9699,FORUM PARK,DR,-,1
2011-07-13,11,Rape,13D10,20R,2300-2399,CUMBERLAND,ST,-,1
2010-07-15,00,Rape,5F20,20A,9300-9399,HAMMERLY,-,-,1
2011-07-21,00,Rape,20G10,100,9800-9899,MEADOWGLEN,LN,-,1
2011-07-16,16,Rape,14D20,20R,4200-4299,BARBERRY,DR,-,1
2011-07-11,12,Rape,12D10,20A,10400-10499,GULF,FWY,-,1
2011-05-18,14,Rape,7C40,20R,2300-2399,MARGARET,-,-,1
