Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2013-07-06,,21,Murder,17E40,18A,12200-12299,FONDREN,RD,-,1
2013-07-28,,20,Murder,19G10,18A,9400-9499,WEST SAM HOUSTON,PKWY,S,1
2013-07-25,,05,Murder,19G50,18A,10100-10199,FORUM PARK,DR,-,1
2013-06-29,,20,Murder,14D20,20A,4700-4799,REED,RD,-,1
2013-07-29,,21,Murder,3B30,20R,900-999,WOODCREST,-,-,1
2013-07-21,,14,Murder,16E20,20R,3900-3999,DALMATIAN,DR,-,1
2013-07-02,,06,Murder,6B40,20D,8300-8399,HANFRO,LN,-,1
2013-07-18,,14,Murder,19G50,20A,10200-10299,FORUM PARK,DR,-,1
2013-07-07,,01,Murder,6B40,18D,700-799,MOUNT HOUSTON,RD,W,1
2013-07-23,,21,Murder,16E40,20R,5800-5899,MACKINAW,RD,-,1
2013-07-18,,01,Murder,14D40,18W,3900-3999,ALMEDA GENOA,RD,-,1
2013-07-17,,22,Murder,6B60,18A,1300-1399,GREENS,PKWY,-,1
2013-07-15,,10,Murder,6B20,13R,500-599,TROY,RD,W,1
2013-07-15,,04,Murder,1A20,18R,1000-1099,WESTHEIMER,RD,-,1
2013-07-07,,00,Murder,18F50,18A,9400-9499,PAGEWOOD,LN,-,1
2013-07-26,,02,Murder,17E10,20C,6500-6599,SANDS POINT,DR,-,1
2013-07-11,,18,Murder,14D20,20R,5200-5299,PEDERSON,-,-,1
2013-06-28,,02,Murder,14D20,100,3400-3499,AIRPORT,BLVD,-,1
2013-07-08,,14,Murder,8C30,250,8500-8599,TATE,-,-,1
2013-07-08,,01,Rape,19G20,18O,6800-6899,BOONE,RD,-,1
2013-01-15,,23,Rape,13D10,20A,2600-2699,BEATTY,ST,-,1
2013-07-22,,10,Rape,8C10,250,7200-7299,GLASS,ST,-,1
2013-07-12,,07,Rape,13D20,20A,8900-8999,BROADWAY,ST,-,1
2012-08-01,,00,Rape,5F10,20R,7400-7499,LONG POINT,RD,-,1
2013-07-11,,00,Rape,8C20,20R,7300-7399,FAWNRIDGE,DR,-,1
2013-07-22,,01,Rape,6B20,20M,5700-5799,YALE,-,-,1
2013-07-21,,19,Rape,1A10,11R,1000-1099,BAGBY,ST,-,1
2013-07-21,,22,Rape,20G70,20A,3900-3999,ASHBURNHAM,DR,-,1
2013-07-27,,17,Rape,7C10,20A,5300-5399,COKE,ST,-,1
2013-06-04,,12,Rape,18F10,20C,8200-8299,KATY,FWY,-,1
2013-07-04,,22,Rape,12D20,20R,11200-11299,SAGEWOOD,DR,-,1
2013-07-29,,15,Rape,5F30,05R,5800-5899,HOLLISTER,-,-,1
2013-07-29,,06,Rape,6B40,20R,600-699,BEAVER BEND,RD,-,1
2012-02-03,,07,Rape,17E20,140,8700-8799,LUGARY,DR,-,1
2013-07-21,,07,Rape,5F30,140,14000-14099,NORTHWEST,FWY,-,1
2013-07-17,,02,Rape,20G10,18M,2900-2999,WEST SAM HOUSTON,PKWY,S,1
2013-07-10,,12,Rape,18F50,140,5800-5899,HILLCROFT,-,-,1
2013-07-26,,18,Rape,17E10,18A,5900-5999,CLAREWOOD,DR,-,1
2013-07-05,,15,Rape,14D30,20R,6100-6199,WORTHAM,WAY,-,1
2013-05-01,,00,Rape,7C50,20R,6200-6299,GREENS,RD,-,1
2013-07-23,,01,Rape,6B20,20A,7400-7499,SHEPHERD,DR,N,1
2013-07-01,,14,Rape,18F40,20R,9600-9699,LONGMONT,DR,-,1
2013-07-31,,07,Rape,17E30,13A,9600-9699,GESSNER,DR,S,1
2013-07-26,,04,Rape,17E20,20R,8100-8199,MCAVOY,DR,-,1
2013-07-29,,04,Rape,5F30,140,12900-12999,NORTHWEST,FWY,-,1
2013-07-28,,02,Rape,15E30,20A,7300-7399,BROMPTON,ST,-,1
2013-07-20,,02,Rape,16E40,20R,7200-7299,CHASEWOOD,DR,-,1
2013-07-25,,22,Rape,5F40,13R,13200-13299,CHAMPIONS CENTRE,-,-,1
2013-06-11,,07,Rape,6B30,20R,3600-3699,ABINGER,LN,-,1
2013-07-04,,09,Rape,9C40,20A,400-499,MAXEY,RD,-,1
2013-07-25,,06,Rape,18F60,250,5800-5899,GESSNER,DR,S,1
2012-11-01,,00,Rape,20G20,20R,10700-10799,BRIAR FOREST,DR,-,1
2013-07-09,,14,Rape,8C60,20R,7600-7699,BIGWOOD,ST,-,1
2009-05-25,,00,Rape,3B30,20R,1400-1499,WAKEFIELD,DR,-,1
2013-07-06,,17,Rape,12D10,20A,9900-9999,WINDMILL LAKES,BLVD,-,1
2013-07-28,,00,Rape,13D20,20R,7100-7199,THRUSH,DR,-,1
2013-07-30,,21,Rape,20G60,140,14800-14899,KATY,FWY SER,S,1
2013-07-28,,04,Rape,24C50,20R,300-399,MOONSHINE HILL,RD,-,1
2013-07-11,,17,Rape,2A30,20A,1100-1199,HARVARD,ST,-,1
2013-07-10,,02,Rape,6B40,20R,7400-7499,SANDLE,-,-,1
2013-06-16,,15,Rape,1A30,20P,1300-1399,HAROLD,ST,-,1
2013-07-17,,02,Rape,14D20,13R,4900-4999,REDBUD,-,-,1
2013-07-06,,03,Rape,18F40,20A,2500-2599,VOSS,RD,S,1
2013-07-05,,10,Rape,3B40,20M,4300-4399,AIRLINE,DR,-,1
2013-07-03,,03,Rape,14D30,20R,5900-5999,SOUTHTOWN,-,-,1
2013-07-02,,23,Rape,3B10,13R,3400-3499,ANTOINE,DR,-,1
2013-06-07,,21,Rape,18F40,20A,2300-2399,WINROCK,BLVD,-,1
2013-07-02,,19,Rape,11H10,250,6600-6699,CAPITOL,ST,-,1
2013-07-05,,02,Rape,17E10,20A,5900-5999,RENWICK,-,-,1
2013-07-27,,05,Rape,7C10,20R,1500-1599,BAYOU,ST,-,1
2013-07-27,,03,Rape,20G50,13H,9500-9599,KATY,FWY,-,1
2013-06-29,,06,Rape,11H10,20A,7100-7199,LAWNDALE,-,-,1
2013-06-07,,00,Rape,20G20,20A,10900-10999,BRIAR FOREST,DR,-,1
2009-08-31,,12,Rape,4F30,20A,1700-1799,UPLAND,-,-,1
2013-05-15,,16,Rape,19G20,13R,11600-11699,BELLAIRE,BLVD,-,1
2013-07-19,,23,Rape,20G30,18G,2700-2799,KIRKWOOD,DR,S,1
2013-07-25,,04,Rape,19G50,140,9600-9699,WEST SAM HOUSTON,PKWY,S,1
2013-07-19,,05,Rape,13D20,20R,6700-6799,RIDGEWAY,DR,-,1
2013-07-19,,06,Rape,6B60,20A,1300-1399,GEARS,RD,-,1
2013-07-09,,10,Rape,14D20,22M,4300-4399,BELLFORT,ST,-,1
2013-07-01,,00,Robbery,17E30,18C,10400-10499,BELLFORT,ST,W,1
2013-07-01,,00,Robbery,2A10,13R,3900-3999,SEARLE,DR,-,1
2013-07-02,,06,Robbery,13D20,18O,6800-6899,BELLFORT,ST,-,1
2013-07-02,,23,Robbery,12D10,18A,10100-10199,WINDMILL LAKES,BLVD,-,1
2013-07-02,,23,Robbery,15E20,11R,12700-12799,RIO QUATRO,DR,-,1
2013-07-03,,00,Robbery,14D40,13R,4100-4199,HOWCHER,-,-,1
2013-07-03,,02,Robbery,5F30,18O,13400-13499,NORTHWEST,FWY,-,1
2013-07-03,,03,Robbery,10H40,13R,2100-2199,FANNIN,-,-,1
2013-07-03,,03,Robbery,10H50,13R,2400-2499,SAMPSON,-,-,1
2013-07-03,,01,Robbery,6B50,18G,11000-11099,AIRLINE,DR,-,1
2013-07-03,,22,Robbery,10H40,13R,2200-2299,MAIN,ST,-,1
2013-07-04,,04,Robbery,17E10,18A,6200-6299,GULFTON,-,-,1
2013-07-04,,04,Robbery,18F30,05O,6200-6299,WESTPARK,-,-,1
2013-07-04,,04,Robbery,9C20,20R,1100-1199,ZOE,-,-,1
2013-07-04,,01,Robbery,6B60,18A,300-399,BENMAR,DR,-,1
2013-07-04,,04,Robbery,11H30,13R,8000-8099,HOWARD,DR,-,1
2013-07-04,,03,Robbery,19G20,13R,11200-11299,BELLAIRE,BLVD,-,1
2013-07-02,,23,Robbery,3B10,13R,4800-4899,LAMONTE,LN,-,1
2013-07-05,,11,Robbery,6B20,250,800-899,DOLLY WRIGHT,ST,-,1
2013-07-05,,09,Robbery,5F30,02B,13400-13499,NORTHWEST,FWY,-,1
2013-07-05,,06,Robbery,3B40,140,4300-4399,AIRLINE,DR,-,1
2013-07-05,,06,Robbery,19G40,18A,9400-9499,COVENTRY SQUARE,DR,-,1
2013-07-04,,19,Robbery,19G40,13R,8200-8299,KIRKWOOD,DR,S,1
2013-07-04,,19,Robbery,6B30,13R,8600-8699,HIGH MOUNTAIN,DR,-,1
2013-07-04,,17,Robbery,6B10,24E,600-699,LITTLE YORK,RD,-,1
2013-07-04,,12,Robbery,18F50,18A,9200-9299,PAGEWOOD,LN,-,1
2013-07-04,,16,Robbery,19G10,20A,8000-8099,BOONE,RD,-,1
2013-07-05,,20,Robbery,13D10,250,6800-6899,GULF,FWY,-,1
2013-07-04,,15,Robbery,10H60,250,3300-3399,DIXIE,DR,-,1
2013-07-04,,14,Robbery,3B40,140,4000-4099,NORTH,FWY SER,W,1
2013-07-04,,11,Robbery,20G10,120,9900-9999,WESTHEIMER,RD,-,1
2013-07-04,,10,Robbery,6B40,03B,8500-8599,NORTH,FWY,-,1
2013-07-04,,10,Robbery,3B10,120,5300-5399,ANTOINE,DR,-,1
2013-07-04,,07,Robbery,20G40,18A,1900-1999,KIRKWOOD,DR,S,1
2013-07-03,,22,Robbery,5F40,18A,8300-8399,WILLOW PLACE,DR,N,1
2013-07-03,,21,Robbery,12D10,140,9900-9999,GULF,FWY SER,W,1
2013-07-03,,19,Robbery,20G20,070,1900-1999,WILCREST,DR,-,1
2013-07-03,,18,Robbery,18F30,20A,6400-6499,SKYLINE,DR,-,1
2013-07-03,,17,Robbery,3B50,18T,4400-4499,NORTH,FWY,-,1
2013-07-06,,02,Robbery,14D20,18M,4700-4799,REED,RD,-,1
2013-07-03,,16,Robbery,19G30,20D,13100-13199,CARVEL,LN,-,1
2013-07-06,,11,Robbery,6B30,13R,9000-9099,LANDWOOD,DR,-,1
2013-07-03,,15,Robbery,17E30,13R,8700-8799,BRAESWOOD,BLVD,S,1
2013-07-03,,15,Robbery,20G40,20A,11600-11699,BRIAR FOREST,DR,-,1
2013-07-03,,15,Robbery,19G10,170,9700-9799,BEECHNUT,ST,-,1
2013-07-03,,14,Robbery,6B60,18A,12800-12899,NORTHBOROUGH,DR,-,1
2013-07-03,,13,Robbery,6B20,18M,700-799,MILLVILLE,DR,-,1
2013-07-03,,14,Robbery,20G10,20A,9800-9899,UNITED,DR,-,1
2013-07-03,,11,Robbery,19G40,13R,12600-12699,SHANNON HILLS,DR,-,1
2013-07-03,,11,Robbery,19G40,18O,11700-11799,BELLFORT,ST,W,1
2013-07-03,,11,Robbery,16E40,20R,15500-15599,RAVEN,TRL,-,1
2013-07-03,,10,Robbery,15E30,13R,9700-9799,STELLA LINK,-,-,1
2013-07-03,,11,Robbery,18F30,20D,2900-2999,BERING,DR,-,1
2013-07-06,,18,Robbery,17E40,13R,6400-6499,AIRPORT,BLVD,W,1
2013-07-06,,18,Robbery,6B50,18G,11800-11899,AIRLINE,DR,-,1
2013-07-03,,09,Robbery,10H60,13R,4200-4299,DELANO,-,-,1
2013-07-03,,06,Robbery,5F20,18S,1300-1399,BLALOCK,RD,-,1
2013-07-03,,05,Robbery,19G40,13R,12100-12199,TROULON,DR,-,1
2013-07-03,,04,Robbery,6B10,18C,5400-5499,NORTH,FWY,-,1
2013-07-06,,21,Robbery,19G10,13R,9900-9999,CLUB CREEK,DR,-,1
2013-07-06,,21,Robbery,7C20,13R,4700-4799,DABNEY,ST,-,1
2013-07-03,,01,Robbery,6B60,20A,800-899,GREENS,RD,-,1
2013-07-03,,00,Robbery,16E20,13R,13100-13199,TOWNWOOD,DR,-,1
2013-07-02,,23,Robbery,19G40,20A,11400-11499,BISSONNET,ST,-,1
2013-07-02,,22,Robbery,2A50,210,6500-6599,WASHINGTON,AVE,-,1
2013-07-06,,23,Robbery,18F50,18A,5800-5899,FONDREN,RD,-,1
2013-07-02,,22,Robbery,14D10,23S,4600-4699,OLD SPANISH,TRL,-,1
2013-07-02,,22,Robbery,10H40,13R,2300-2399,LA BRANCH,-,-,1
2013-07-02,,15,Robbery,15E40,20A,7600-7699,PHOENIX,DR,-,1
2013-07-02,,22,Robbery,12D40,18O,11800-11899,ALGONQUIN,DR,-,1
2013-07-02,,22,Robbery,12D10,18C,9200-9299,CLEARWOOD,-,-,1
2013-07-02,,22,Robbery,4F10,250,1600-1699,GESSNER,DR,-,1
2013-07-02,,21,Robbery,5F20,05L,3900-3999,HOLLISTER,-,-,1
2013-07-02,,19,Robbery,12D20,250,10900-10999,KINGSPOINT,-,-,1
2013-07-02,,18,Robbery,16E30,210,13800-13899,POST OAK,RD,S,1
2013-07-02,,16,Robbery,6B10,18C,6100-6199,WERNER,ST,-,1
2013-07-02,,13,Robbery,17E30,250,11600-11699,SOUTHWEST,FWY,-,1
2013-07-02,,13,Robbery,19G30,20R,6800-6899,WELLWOOD,CT,-,1
2013-07-02,,15,Robbery,10H60,18O,3300-3399,NATCHEZ,-,-,1
2013-07-02,,12,Robbery,17E10,18T,6700-6799,HILLCROFT,-,-,1
2013-07-02,,12,Robbery,18F50,18T,6700-6799,HARWIN,DR,-,1
2013-07-01,,10,Robbery,7C10,13S,5300-5399,EAST,FWY SER,S,1
2013-07-02,,08,Robbery,13D20,18C,7500-7599,PARK PLACE,BLVD,-,1
2013-07-02,,07,Robbery,13D20,05D,6900-6999,WESTOVER,-,-,1
2013-07-02,,02,Robbery,19G10,140,9600-9699,PLAINFIELD,ST,-,1
2013-07-02,,01,Robbery,9C40,20R,13500-13599,TOPEKA,-,-,1
2013-07-02,,00,Robbery,17E10,140,6800-6899,SOUTHWEST,FWY,-,1
2013-07-01,,23,Robbery,1A10,13R,100-199,MAIN,ST,-,1
2013-07-01,,22,Robbery,11H10,13R,300-399,SSGT MACARIO GARCIA,DR,-,1
2013-07-01,,22,Robbery,10H50,13B,2500-2599,MCGOWEN,ST,-,1
2013-07-01,,22,Robbery,18F30,13R,6400-6499,WINDSWEPT,LN,-,1
2013-07-01,,22,Robbery,19G40,13R,11500-11599,BISSONNET,ST,-,1
2013-07-01,,21,Robbery,6B60,20A,1300-1399,GEARS,RD,-,1
2013-07-01,,21,Robbery,5F10,18O,7600-7699,KATY,FWY,-,1
2013-07-01,,20,Robbery,18F30,20L,3700-3799,HILLCROFT,-,-,1
2013-07-01,,19,Robbery,18F60,120,9000-9099,BEECHNUT,ST,-,1
2013-07-01,,16,Robbery,20G30,240,11800-11899,WESTHEIMER,RD,-,1
2013-07-01,,14,Robbery,18F50,18P,3100-3199,GESSNER,DR,S,1
2013-07-01,,12,Robbery,17E30,18A,8800-8899,BRAESWOOD,BLVD,S,1
2013-07-01,,12,Robbery,18F60,13R,8600-8699,BEECHNUT,ST,-,1
2013-07-01,,11,Robbery,19G40,11R,9600-9699,LEAWOOD,BLVD,-,1
2013-07-01,,11,Robbery,15E10,05Q,8400-8499,HILLCROFT,-,-,1
2013-07-01,,09,Robbery,8C10,250,5000-5099,CROSSTIMBERS,-,E,1
2013-07-01,,07,Robbery,5F20,210,8000-8099,LONG POINT,RD,-,1
2013-07-01,,03,Robbery,4F10,18A,1300-1399,GESSNER,DR,-,1
2013-06-30,,23,Robbery,15E10,250,5500-5599,BEECHNUT,ST,-,1
2013-07-08,,10,Robbery,17E20,18O,7500-7599,SOUTHWEST,FWY,-,1
2013-07-01,,01,Robbery,14D40,13R,11600-11699,SCOTT,-,-,1
2013-07-01,,00,Robbery,10H40,13R,2000-2099,JACKSON,ST,-,1
2013-07-01,,01,Robbery,19G10,18A,10600-10699,BEECHNUT,ST,-,1
2013-07-01,,01,Robbery,7C10,13H,1300-1399,CALLES,-,-,1
2013-07-03,,03,Robbery,3B10,13R,3300-3399,MANGUM,-,-,1
2013-07-05,,10,Robbery,13D10,250,4500-4599,TELEPHONE,RD,-,1
2013-07-05,,14,Robbery,3B50,210,0-99,CROSSTIMBERS,-,E,1
2013-07-05,,15,Robbery,3B30,210,3000-3099,DURHAM,DR,N,1
2013-07-05,,15,Robbery,11H20,240,1100-1199,BROADWAY,ST,-,1
2013-07-05,,04,Robbery,17E10,13R,6000-6099,RAMPART,-,-,1
2013-07-05,,04,Robbery,1A10,13R,1100-1199,FANNIN,-,-,1
2013-07-05,,03,Robbery,7C30,18R,10300-10399,EASTEX,FWY,-,1
2013-07-05,,01,Robbery,1A20,120,3300-3399,MONTROSE,BLVD,-,1
2013-07-04,,23,Robbery,20G10,18A,6000-6099,RANCHESTER,DR,-,1
2013-07-04,,22,Robbery,8C50,20R,9700-9799,MESA,DR,-,1
2013-07-04,,21,Robbery,20G30,18R,10400-10499,RICHMOND,AVE,-,1
2013-07-05,,15,Robbery,7C10,13R,3500-3599,LYONS,-,-,1
2013-07-04,,02,Robbery,18F60,18A,6400-6499,GESSNER,DR,S,1
2013-07-05,,17,Robbery,17E20,13R,7500-7599,SOUTHWEST,FWY SER,S,1
2013-07-05,,19,Robbery,17E30,13R,8900-8999,BRAESWOOD,BLVD,S,1
2013-07-05,,21,Robbery,10H10,18R,4700-4799,HARRISBURG,BLVD,-,1
2013-07-05,,21,Robbery,17E40,24E,11100-11199,FONDREN,RD,-,1
2013-07-05,,21,Robbery,17E20,13R,7500-7599,BISSONNET,ST,-,1
2013-07-05,,22,Robbery,6B10,20A,6200-6299,NORTHLINE,DR,-,1
2013-07-05,,21,Robbery,6B40,20A,9600-9699,MONTGOMERY,RD,W,1
2013-07-05,,22,Robbery,19G20,20D,11300-11399,BANDLON,DR,-,1
2013-07-05,,23,Robbery,20G40,13R,11200-11299,LAKESIDE PLACE,DR,-,1
2013-07-04,,09,Robbery,9C20,120,5800-5899,LYONS,-,-,1
2013-07-04,,03,Robbery,15E30,13R,9900-9999,MAIN,ST,-,1
2013-07-04,,00,Robbery,4F10,18A,9500-9599,LONG POINT,RD,-,1
2013-07-04,,01,Robbery,6B60,18A,300-399,BENMAR,DR,-,1
2013-07-04,,00,Robbery,20G10,18A,6000-6099,RANCHESTER,DR,-,1
2013-07-03,,23,Robbery,8C10,20R,4900-4999,KEELAND,-,-,1
2013-07-04,,00,Robbery,18F50,13B,5800-5899,HILLCROFT,-,-,1
2013-07-03,,16,Robbery,7C30,13R,3200-3299,TIDWELL,RD,-,1
2013-07-06,,00,Robbery,7C30,13R,9000-9099,JENSEN,DR,-,1
2013-07-05,,21,Robbery,20G30,20A,2900-2999,HAYES,RD,-,1
2013-07-06,,02,Robbery,14D20,13R,7200-7299,PEERLESS,-,-,1
2013-07-06,,03,Robbery,14D40,13R,5000-5099,SELINSKY,-,-,1
2013-07-06,,10,Robbery,13D10,23S,3400-3499,REVEILLE,-,-,1
2013-07-06,,08,Robbery,4F30,20D,10900-10999,RIDGEVIEW,-,-,1
2013-07-05,,23,Robbery,6B40,210,10200-10299,NORTH,FWY,-,1
2013-07-06,,11,Robbery,18F60,18T,8800-8899,BELLAIRE,BLVD,-,1
2013-07-06,,05,Robbery,16E30,13R,12600-12699,ZAVALLA,-,-,1
2013-07-06,,11,Robbery,7C40,24B,3400-3499,ORLANDO,-,-,1
2013-07-06,,11,Robbery,9C20,24C,5800-5899,LYONS,-,-,1
2013-07-05,,22,Robbery,9C20,18R,8600-8699,NORTH LP E,-,-,1
2013-07-06,,12,Robbery,2A50,18P,100-199,YALE,-,-,1
2013-07-06,,13,Robbery,2A10,05D,200-299,PATTON,ST,-,1
2013-07-05,,21,Robbery,19G20,11R,7700-7799,BOONE,RD,-,1
2013-07-06,,10,Robbery,17E20,09H,7600-7699,BEECHNUT,ST,-,1
2013-07-06,,20,Robbery,8C60,13R,10600-10699,BAINBRIDGE,ST,-,1
2013-07-06,,20,Robbery,20G10,18A,8700-8799,TOWN PARK,DR,-,1
2013-07-06,,20,Robbery,17E10,20R,6000-6099,ELM,ST,-,1
2013-07-08,,14,Robbery,17E20,13R,7200-7299,ALBACORE,DR,-,1
2013-07-06,,21,Robbery,17E20,18A,6900-6999,BISSONNET,ST,-,1
2013-07-06,,22,Robbery,19G10,13R,10100-10199,REEDWOOD,LN,-,1
2013-07-06,,23,Robbery,1A10,11R,1000-1099,COMMERCE,ST,-,1
2013-07-06,,23,Robbery,3B40,18C,4400-4499,AIRLINE,DR,-,1
2013-07-07,,00,Robbery,3B40,13R,1300-1399,NEYLAND,-,-,1
2013-07-07,,01,Robbery,18F50,18N,6600-6699,SOUTHWEST,FWY,-,1
2013-07-07,,01,Robbery,19G10,18A,10200-10299,CLUB CREEK,DR,-,1
2013-07-07,,01,Robbery,10H30,13R,2200-2299,BELL,ST,-,1
2013-07-07,,02,Robbery,15E40,13R,2900-2999,WESTRIDGE,ST,-,1
2013-07-07,,01,Robbery,18F50,13S,7600-7699,CLAREWOOD,DR,-,1
2013-07-07,,01,Robbery,7C30,18O,6900-6999,JENSEN,DR,-,1
2013-07-07,,02,Robbery,13D20,13R,7700-7799,BELLFORT,ST,-,1
2013-07-07,,03,Robbery,18F50,18R,9400-9499,RICHMOND,AVE,-,1
2013-07-07,,02,Robbery,17E10,18A,6200-6299,GULFTON,-,-,1
2013-07-07,,03,Robbery,19G20,13R,4100-4199,BUGLE,-,-,1
2013-07-07,,03,Robbery,17E10,18T,5900-5999,GULFTON,-,-,1
2013-07-10,,23,Robbery,14D20,140,3400-3499,AIRPORT,BLVD,-,1
2013-07-11,,00,Robbery,14D20,13R,8300-8399,CULLEN,BLVD,-,1
2013-07-11,,00,Robbery,12D60,13R,900-999,RAMADA,DR,-,1
2013-07-11,,00,Robbery,14D40,20R,4000-4099,MARCHANT,RD,-,1
2013-07-11,,00,Robbery,16E30,13S,15200-15299,MAIN,ST,-,1
2013-07-07,,04,Robbery,18F40,13R,2700-2799,CROSSVIEW,DR,-,1
2013-07-07,,08,Robbery,18F40,18G,8600-8699,WESTHEIMER,RD,-,1
2013-07-07,,11,Robbery,19G10,20A,10000-10099,SPICE,LN,-,1
2013-07-07,,11,Robbery,6B10,250,9700-9799,CLARK,RD,-,1
2013-07-07,,12,Robbery,11H20,18C,8000-8099,LAWNDALE,-,-,1
2013-07-07,,13,Robbery,17E10,18R,6100-6199,CLAREWOOD,DR,-,1
