Date,Hour,Offense Type,Beat,Block Range,Street Name,Type,Suffix,# Offenses
2014-07-19,11,Theft,,2100-2199,VINTAGE,-,-,1
2014-07-13,08,Theft,,500-599,W.38TH,-,-,1
2014-07-26,15,Rape,,6100-6199,ATTWATER,-,-,1
2014-07-13,15,Theft,,7800-7899,FM 1960,-,W,1
2014-07-14,09,Theft,,6600-6699,MERRY,LN,-,1
2014-07-22,20,Theft,,,WALKER,-,-,1
2014-07-03,02,Theft,,8400-8499,S. GESSNER,-,-,1
2014-07-16,13,Theft,,,PEASE,-,-,1
2014-07-26,14,Rape,,6100-6199,ATTWATER,-,-,1
2014-07-10,20,Theft,,800-899,GESSNER SUITE 970,-,-,1
2014-07-28,20,Theft,10H10,400-499,HUTCHESON,ST,N,1
2014-07-29,17,Robbery,10H10,4500-4599,CANAL,ST,-,1
2014-07-26,12,Theft,10H10,4700-4799,HARRISBURG,-,-,1
2014-07-26,05,Robbery,10H10,2100-2199,CANAL,ST,-,1
2014-07-24,03,Aggravated Assault,10H10,3900-3999,SHERMAN,-,-,1
2014-07-19,09,Auto Theft,10H10,200-299,MILBY,-,-,1
2014-07-02,12,Theft,10H10,500-599,LOCKWOOD,DR,S,1
2014-07-06,17,Theft,10H10,2300-2399,ANN,ST,-,1
2014-07-07,11,Theft,10H10,300-399,HUTCHESON,-,-,1
2014-07-12,12,Auto Theft,10H10,400-499,HUTCHESON,ST,N,1
2014-07-29,05,Auto Theft,10H10,3300-3399,NAVIGATION,-,-,1
2014-07-16,06,Burglary,10H10,100-199,YORK,-,N,1
2014-07-22,10,Theft,10H10,3900-3999,CANAL,ST,-,1
2014-07-03,01,Theft,10H10,100-199,ENNIS,ST,N,1
2014-07-05,21,Robbery,10H10,5000-5099,HARRISBURG,-,-,1
2014-07-30,14,Theft,10H10,0-99,LOCKWOOD,DR,-,1
2014-07-27,07,Burglary,10H10,,212.5 LENOX,-,-,1
2014-07-27,19,Aggravated Assault,10H10,2800-2899,CANAL,ST,-,1
2014-07-17,01,Burglary,10H10,2300-2399,SPERBER,LN,-,1
