Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-06-07,23,Murder,13D20,03B,7700-7799,PARK PLACE,BLVD,-,2
2011-06-17,21,Murder,14D30,20R,5400-5499,CHENNAULT,RD,-,1
2011-06-27,02,Murder,16E20,20R,3800-3899,WESTHAMPTON,DR,-,1
2011-06-14,21,Murder,4F30,20A,1500-1599,SHERWOOD FOREST,ST,-,1
2011-06-16,23,Murder,12D10,100,9500-9599,SCRANTON,-,-,1
2011-06-27,20,Murder,11H30,100,8300-8399,PARK PLACE,BLVD,-,1
2011-06-04,03,Murder,9C30,18O,3900-3999,MCCARTY,-,N,1
2011-06-25,06,Murder,3B10,20A,5800-5899,SUNFOREST,-,-,1
2011-06-17,15,Murder,7C20,20R,3900-3999,KRESS,-,-,1
2011-06-20,11,Murder,14D20,18A,5100-5199,MALLOW,-,-,1
2011-06-14,23,Murder,6B60,20D,500-599,GREENS,RD,-,1
2011-06-17,16,Murder,7C10,18C,5400-5499,EAST,FWY,-,1
2011-06-13,00,Murder,6B60,18A,13300-13399,NORTHBOROUGH,DR,-,1
2011-06-16,21,Murder,19G20,13R,11400-11499,HARWIN,DR,-,1
2011-06-02,03,Murder,16E30,13R,12200-12299,HODGES,-,-,1
2011-06-13,20,Rape,7C20,140,5400-5499,CAVALCADE,-,-,1
2011-06-17,05,Rape,13D20,140,8800-8899,AIRPORT,BLVD,-,1
2011-06-18,22,Rape,18F20,140,0-99,RIVERWAY,-,-,1
2011-06-24,21,Rape,17E20,18W,10600-10699,FONDREN,RD,-,1
2011-04-03,00,Rape,20G30,20A,11100-11199,RICHMOND,AVE,-,1
2011-06-15,17,Rape,12D70,20R,15200-15299,SILVERMAN,ST,-,1
2011-06-24,08,Rape,14D10,20A,6800-6899,PEERLESS,-,-,1
2011-06-12,12,Rape,16E30,140,13900-13999,MAIN,ST,-,1
2011-06-20,00,Rape,2A20,140,100-199,CAVALCADE,-,W,1
2010-08-01,17,Rape,14D30,20A,11900-11999,MYKAWA,-,-,1
2011-06-26,01,Rape,14D30,250,5600-5699,BELDART,ST,-,1
2011-06-27,06,Rape,13D20,140,8900-8999,GULF,FWY SER,W,1
2010-11-01,07,Rape,7C20,11R,2900-2999,RALSTON,ST,-,1
2011-06-07,01,Rape,9C10,18C,300-399,FIDELITY,ST,-,1
2010-05-01,00,Rape,10H50,20R,2900-2999,MCGOWEN,ST,-,1
2011-06-02,09,Rape,12D10,20R,9200-9299,GARFIELD PARK,LN,-,1
2011-06-11,21,Rape,14D10,13R,4000-4099,SCOTTCREST,DR,-,1
