Date,Hour,Offense Type,Beat,Block Range,Street Name,Type,Suffix,# Of
2014-06-20,07,Burglary,9C20,6900-6999,ZOLTOWSKI,-,-,1
2014-06-18,05,Theft,9C20,7000-7099,ZOLTOWSKI,-,-,1
2014-06-14,22,Aggravated Assault,9C20,500-599,ZOE,-,-,1
2014-06-29,15,Theft,14D10,3800-3899,ZEPHYR,-,-,1
2014-06-29,10,Aggravated Assault,19G20,4300-4399,YUPON RIDGE,-,-,1
2014-06-20,19,Auto Theft,1A30,3300-3399,YUPON,-,-,1
2014-06-21,09,Theft,1A30,4400-4499,YUPON,-,-,1
2014-06-21,10,Theft,1A30,4400-4499,YUPON,-,-,1
2014-06-12,08,Auto Theft,4F20,11900-11999,YOUNGWOOD,LN,S,1
2014-06-15,14,Theft,14D10,3600-3699,YOSEMITE,-,-,1
2014-06-17,08,Burglary,18F20,2600-2699,YORKTOWN,ST,-,1
2014-06-02,'15,Theft,'18F20,1700-1799,YORKTOWN,ST,-,1
2014-06-22,02,Aggravated Assault,3B50,800-899,YORKSHIRE,-,-,1
2014-06-23,05,Theft,3B50,900-999,YORKSHIRE,-,-,1
2014-06-28,12,Theft,8C60,7400-7499,YOE,-,-,1
2014-06-17,15,Burglary,8C60,7700-7799,YOE,-,-,1
2014-06-29,09,Theft,1A20,2400-2499,YOAKUM,BLVD,-,1
2014-06-20,12,Burglary,1A30,3400-3499,YOAKUM,BLVD,-,1
2014-06-02,'07,Theft,'1A30,3600-3699,YOAKUM,BLVD,-,1
2014-06-12,16,Burglary,14D10,3800-3899,YELLOWSTONE,BLVD,-,1
2014-06-18,08,Burglary,14D10,3300-3399,YELLOWSTONE,BLVD,-,1
2014-05-31,'19,Theft,'14D10,3700-3799,YELLOWSTONE,BLVD,-,1
2014-06-02,'18,Theft,'14D10,4400-4499,YELLOWSTONE,BLVD,-,1
2014-06-29,21,Aggravated Assault,2A30,1000-1099,YALE,-,-,1
2014-06-11,17,Aggravated Assault,2A30,2700-2799,YALE,-,-,1
2014-06-19,09,Theft,2A30,600-699,YALE,-,-,1
2014-06-17,10,Theft,2A30,700-799,YALE,-,-,1
2014-06-25,21,Theft,2A30,1200-1299,YALE,-,-,1
2014-06-17,16,Theft,2A50,100-199,YALE,-,-,1
2014-06-11,11,Theft,2A50,100-199,YALE,-,-,1
2014-06-18,13,Theft,2A50,100-199,YALE,-,-,1
2014-06-24,16,Theft,2A50,100-199,YALE,-,-,1
2014-06-16,13,Theft,2A50,100-199,YALE,-,-,1
2014-06-25,13,Theft,2A50,100-199,YALE,-,-,1
2014-06-27,18,Theft,2A50,100-199,YALE,-,-,1
2014-06-17,19,Robbery,3B40,5100-5199,YALE,-,-,1
2014-06-20,21,Robbery,3B40,5000-5099,YALE,-,-,1
2014-06-14,06,Theft,3B40,4400-4499,YALE,-,-,1
2014-06-30,21,Robbery,3B40,4600-4699,YALE,-,-,1
2014-06-15,09,Theft,6B20,5600-5699,YALE,-,-,1
2014-06-19,18,Aggravated Assault,6B20,5700-5799,YALE,-,-,1
2014-06-23,14,Aggravated Assault,6B20,5700-5799,YALE,ST,-,1
2014-06-21,14,Theft,6B20,5600-5699,YALE,ST,-,1
2014-06-13,13,Burglary,6B20,5600-5699,YALE,-,-,1
2014-06-02,'00,Theft,'6B20,5800-5899,YALE,-,-,1
2014-06-02,'05,Robbery,'3B40,5000-5099,YALE,-,-,1
2014-06-02,'13,Theft,'2A50,100-199,YALE,-,-,1
2014-06-02,'14,Theft,'2A30,1700-1799,YALE,-,-,1
2014-06-02,'22,Theft,'6B20,5800-5899,YALE,-,-,1
2014-06-02,'23,Robbery,'3B40,4900-4999,YALE,-,-,1
2014-06-29,14,Burglary,7C20,3500-3599,WYRICK,-,-,1
2014-06-28,17,Theft,14D10,3700-3799,WYOMING,-,-,1
2014-06-23,19,Burglary,13D10,4000-4099,WYNONA,-,-,1
2014-06-12,07,Theft,13D20,8300-8399,WYNBROOK,-,-,1
2014-06-10,09,Burglary,20G50,800-899,WYCLIFFE,DR,-,1
2014-06-27,15,Theft,4F30,1500-1599,WYCLIFFE,DR,-,1
2014-06-24,10,Theft,10H80,2500-2599,WROXTON,RD,-,1
2014-06-22,04,Aggravated Assault,17E30,12400-12499,WRENTHORPE,DR,-,2
2014-06-21,03,Burglary,2A60,700-799,WORTHSHIRE,ST,-,1
2014-06-17,07,Theft,7C50,4600-4699,WORLD HOUSTON,PKWY,-,1
2014-06-15,13,Theft,8C60,9900-9999,WOODWICK,-,-,1
2014-06-23,19,Burglary,18F20,5200-5299,WOODWAY,DR,-,1
2014-06-20,23,Theft,18F30,5700-5799,WOODWAY,DR,-,1
2014-06-23,20,Robbery,18F30,6400-6499,WOODWAY,DR,-,1
2014-06-24,06,Theft,18F40,8700-8799,WOODWAY,DR,-,1
2014-06-01,'14,Theft,'18F30,6500-6599,WOODWAY,DR,-,1
2014-06-12,11,Burglary,15E30,3700-3799,WOODVALLEY,DR,-,1
2014-06-17,17,Theft,24C30,2700-2799,WOODSPRING FOREST,DR,-,1
2014-06-27,08,Theft,24C60,14600-14699,WOODSON PARK,DR,-,1
2014-06-14,13,Theft,6B30,7100-7199,WOODSMAN,TRL,-,1
2014-06-30,23,Burglary,10H20,4400-4499,WOODSIDE,ST,-,1
2014-06-22,00,Aggravated Assault,16E20,13400-13499,WOODRING,DR,-,1
2014-06-19,12,Theft,11H20,7200-7299,WOODRIDGE,-,-,1
2014-06-12,16,Auto Theft,11H20,6900-6999,WOODRIDGE,-,-,1
2014-06-25,12,Theft,13D10,2800-2899,WOODRIDGE,-,-,1
2014-06-28,20,Theft,13D10,3300-3399,WOODRIDGE,-,-,1
2014-06-28,15,Theft,1A10,,WOODRIDGE,-,-,1
2014-05-27,'20,Theft,'13D10,3100-3199,WOODRIDGE,DR,-,1
2014-05-31,'16,Theft,'13D10,3100-3199,WOODRIDGE,DR,-,1
2014-06-24,12,Theft,8C30,8100-8199,WOODLYN,RD,-,1
2014-06-24,18,Burglary,8C40,9100-9199,WOODLYN,RD,-,1
2014-06-19,14,Burglary,8C40,9200-9299,WOODLYN,RD,-,1
2014-06-02,'18,Burglary,'8C30,8200-8299,WOODLYN,RD,-,1
2014-06-12,15,Theft,1A10,3200-3299,WOODLAND PARK,DR,-,1
2014-06-25,20,Theft,1A10,3000-3099,WOODLAND PARK,DR,-,1
2014-06-12,17,Burglary,1A10,3200-3299,WOODLAND PARK,DR,-,1
2014-06-26,20,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-14,22,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-28,01,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-29,03,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-13,01,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-16,19,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-20,08,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-12,22,Burglary,20G30,3200-3299,WOODLAND PARK,DR,-,1
2014-06-17,13,Burglary,20G40,2500-2599,WOODLAND PARK,DR,-,2
2014-06-21,01,Aggravated Assault,24C10,3400-3499,WOODLAND HILLS,DR,-,2
2014-06-02,'17,Auto Theft,'24C10,1700-1799,WOODLAND HILLS,DR,-,1
2014-06-13,11,Theft,HCSO,500-599,WOODLAND,DR,-,1
2014-06-22,12,Aggravated Assault,9C40,500-599,WOODHURST,-,-,1
2014-06-26,16,Burglary,2A60,1100-1199,WOODHILL,RD,-,1
2014-06-28,08,Auto Theft,1A30,2600-2699,WOODHEAD,-,-,1
2014-06-17,14,Theft,1A10,,WOODFOREST BLVD / JOHN RALSTON RD,-,-,1
2014-06-17,01,Robbery,9C40,12400-12499,WOODFOREST,BLVD,-,1
2014-06-12,16,Theft,9C40,12400-12499,WOODFOREST,BLVD,-,1
2014-06-05,17,Aggravated Assault,9C40,12400-12499,WOODFOREST,BLVD,-,1
2014-06-19,02,Aggravated Assault,19G10,9400-9499,WOODFAIR,DR,-,3
2014-06-13,21,Aggravated Assault,19G10,9300-9399,WOODFAIR,DR,-,1
2014-06-28,16,Rape,19G10,9300-9399,WOODFAIR,DR,-,1
2014-06-25,23,Aggravated Assault,19G10,9400-9499,WOODFAIR,DR,-,1
2014-06-23,12,Auto Theft,19G10,9400-9499,WOODFAIR,DR,-,1
2014-06-20,15,Theft,19G10,9400-9499,WOODFAIR,DR,-,1
