Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2012-03-01,20,Murder,12D20,20L,10900-10999,TANNER PARK,CT,-,1
2012-03-01,19,Murder,3B10,18A,5500-5599,ANTOINE,DR,-,1
2012-03-14,00,Murder,14D50,13R,13200-13299,PEMBROKE,-,-,1
2012-03-18,21,Murder,7C20,13R,3800-3899,LEE,-,-,1
2012-03-05,22,Murder,17E30,18A,8700-8799,GUSTINE,LN,-,1
2012-03-05,18,Murder,13D20,13R,8800-8899,GULF,FWY,-,1
2012-03-08,16,Murder,20G30,20A,2700-2799,WOODLAND PARK,DR,-,1
2012-03-02,05,Murder,1A30,20A,1900-1999,MAIN,ST,W,1
2011-10-04,14,Murder,11H20,20A,7500-7599,PLUM CREEK,DR,-,1
2012-03-05,03,Murder,5F20,18A,1800-1899,HOLLISTER,-,-,1
2012-03-05,05,Murder,20G70,13R,2700-2799,ASHFORD OAK,DR,-,1
2012-02-25,15,Murder,16E40,20R,5100-5199,BEECHAVEN,DR,-,1
2012-02-28,23,Murder,6B30,18C,3400-3499,LITTLE YORK,RD,W,1
2012-03-04,21,Murder,6B60,18A,300-399,BENMAR,DR,-,1
2012-03-04,21,Murder,14D40,13R,12200-12299,ROANDALE,DR,-,1
2012-03-11,05,Murder,5F30,20A,5700-5799,GUHN,-,-,1
2012-03-07,12,Murder,10H50,13R,3400-3499,REEVES,-,-,1
2012-03-13,21,Murder,19G40,13R,12200-12299,TROULON,DR,-,1
2012-03-25,22,Murder,19G10,18A,9800-9899,CLUB CREEK,DR,-,1
2012-03-25,19,Murder,6B40,13R,1400-1499,TARBERRY,RD,-,1
2012-03-01,02,Murder,13D20,18A,4100-4199,BROADWAY,ST,-,1
2012-03-25,01,Murder,17E40,18O,12600-12699,GESSNER,DR,S,1
2012-03-03,22,Murder,6B50,18A,0-99,NORTHPOINT,DR,-,1
2012-03-03,21,Murder,3B50,13R,7400-7499,IRVINGTON,BLVD,-,1
2012-03-12,20,Murder,19G50,20A,10400-10499,SOUTH,DR,-,1
2012-03-24,16,Murder,14D40,13R,12400-12499,CULLEN,BLVD,-,1
2012-03-06,00,Murder,7C30,140,3600-3699,TIDWELL,RD,-,1
2012-02-28,23,Rape,18F60,20R,6500-6599,GESSNER,DR,S,1
2012-03-10,23,Rape,2A10,100,2500-2599,HARDY,-,-,1
2012-03-09,00,Rape,10H70,20R,6600-6699,FANNIN,-,-,1
2012-02-16,18,Rape,17E10,20A,6000-6099,GULFTON,-,-,1
2012-03-26,19,Rape,14D10,13B,6000-6099,SCOTTCREST,DR,-,1
2012-03-14,22,Rape,7C30,13R,7600-7699,JENSEN,DR,-,1
2012-03-21,17,Rape,14D10,13R,4000-4099,CORDER,ST,-,1
2012-03-06,05,Rape,6B20,20A,5600-5699,YALE,-,-,1
2012-03-14,21,Rape,20G10,18A,9900-9999,RICHMOND,AVE,-,1
2012-03-23,20,Rape,2A10,210,3500-3599,IRVINGTON,BLVD,-,1
2012-03-27,02,Rape,3B10,20A,6000-6099,SUNFOREST,-,-,1
2012-03-18,18,Rape,18F60,13R,8900-8999,TANAGER,-,-,1
2012-03-18,09,Rape,7C20,140,5300-5399,LELIA,-,-,1
2012-03-23,09,Rape,13D20,140,9000-9099,AIRPORT,BLVD,-,1
2012-03-16,03,Rape,12D10,18A,100-199,EDGEBROOK,DR,E,1
2012-03-20,15,Rape,17E20,20A,7500-7599,BISSONNET,ST,-,1
2012-02-25,21,Rape,1A10,20R,1200-1299,TRAVIS,ST,-,1
2012-03-26,16,Rape,7C20,250,4900-4999,JEWEL,ST,-,1
2012-03-04,23,Rape,14D10,13R,4500-4599,IDAHO,-,-,1
2012-03-26,16,Rape,17E20,20A,10500-10599,FONDREN,RD,-,1
2012-03-29,07,Rape,14D20,20A,7400-7499,CALHOUN,RD,-,1
2012-03-24,01,Rape,14D30,20R,8300-8399,MYKAWA,-,-,1
2011-11-01,16,Rape,12D20,20M,5100-5199,SABO,RD,-,1
2012-03-26,02,Rape,3B10,18O,5600-5699,PINEMONT,DR,-,1
2012-03-21,22,Rape,14D10,13R,6700-6799,CALHOUN,RD,-,1
2012-03-04,20,Rape,14D20,20P,7800-7899,TIERWESTER,-,-,1
2012-03-12,23,Rape,7C30,140,3800-3899,TIDWELL,RD,-,1
2011-12-20,15,Rape,8C30,20R,8100-8199,ST LOUIS,-,-,1
2012-02-29,02,Rape,3B40,140,4800-4899,SHEPHERD,DR,N,1
2012-03-18,21,Rape,6B10,140,5600-5699,AIRLINE,DR,-,1
2012-03-25,23,Rape,5F40,20A,8400-8499,WILLOW PLACE,DR,N,1
2012-03-04,22,Rape,20G20,20A,1600-1699,WILCREST,DR,-,1
2012-03-10,02,Rape,10H10,20A,5400-5499,CANAL,ST,-,1
2012-03-04,07,Rape,14D10,20R,4900-4999,HULL,-,-,1
2012-03-04,06,Rape,17E30,20A,12200-12299,SAPLING,WAY,-,1
2012-03-28,01,Rape,6B30,13R,6100-6199,ANTOINE,DR,-,1
2012-03-07,00,Rape,6B60,20W,17100-17199,IMPERIAL VALLEY,DR,-,1
2012-03-21,02,Rape,18F30,03B,6200-6299,RICHMOND,AVE,-,1
2012-03-25,02,Rape,6B30,20A,5300-5399,GULF BANK,RD,W,1
2012-03-30,19,Rape,20G80,20A,14500-14599,BRIAR FOREST,DR,-,1
2012-03-30,19,Rape,11H10,20R,7600-7699,AVE E,-,-,1
2012-03-28,03,Rape,6B30,18C,6000-6099,TIDWELL,RD,W,1
2011-12-29,03,Rape,2A40,20R,3200-3299,RIESNER,-,-,1
2012-03-24,03,Rape,10H10,20R,400-499,LIVE OAK,ST,N,1
2012-03-24,16,Rape,18F60,20A,6500-6599,GESSNER,DR,S,1
2011-08-02,22,Rape,12D10,20R,10000-10099,ARMATTA,CT,-,1
2012-02-09,14,Rape,2A50,250,4900-4999,MEMORIAL,DR,-,1
2012-03-27,16,Rape,12D40,20R,6400-6499,EAST SAM HOUSTON,PKWY,S,1
2012-03-24,22,Rape,18F40,140,8700-8799,WESTHEIMER,RD,-,1
2012-03-01,15,Robbery,8C30,13R,7600-7699,WAYSIDE,-,N,1
2012-03-01,21,Robbery,18F60,20D,9500-9599,CARAWAY,-,-,1
2012-03-02,05,Robbery,10H50,13R,2100-2199,WEBSTER,-,-,1
2012-03-03,21,Robbery,11H10,080,7300-7399,HARRISBURG,BLVD,-,1
2012-03-04,20,Robbery,9C40,23S,12300-12399,EAST,FWY,-,1
2012-03-04,21,Robbery,5F20,18C,1700-1799,HOLLISTER,-,-,1
2012-03-04,20,Robbery,19G10,120,10200-10299,CLUB CREEK,DR,-,1
2012-03-05,01,Robbery,10H40,01B,2100-2199,MAIN,ST,-,1
2012-03-05,05,Robbery,13D20,18D,7900-7999,BELLFORT,ST,-,1
2012-03-05,05,Robbery,13D10,18A,2700-2799,BEATTY,ST,-,1
2012-03-05,08,Robbery,18F50,13R,6000-6099,REIMS,RD,-,1
2012-03-05,17,Robbery,8C30,13R,8100-8199,SNOWDEN,-,-,1
2011-03-06,22,Robbery,20G40,18A,12700-12799,BRIAR FOREST,DR,-,1
2012-02-05,23,Robbery,18F40,20A,6400-6499,ELLA LEE,LN,-,1
2012-03-05,23,Robbery,14D20,05B,9100-9199,SCOTT,-,-,1
2012-03-06,00,Robbery,20G10,18A,5900-5999,RANCHESTER,DR,-,1
2012-03-06,00,Robbery,20G10,18A,9200-9299,BELLWOOD,-,-,1
2012-03-06,00,Robbery,20G10,18A,6000-6099,RANCHESTER,DR,-,1
2012-03-05,14,Robbery,14D10,250,5400-5499,SOUTH LP E,-,-,1
2012-03-06,10,Robbery,19G30,05Q,13200-13299,BELLAIRE,BLVD,-,1
2012-03-06,06,Robbery,3B40,13B,2800-2899,YALE,-,-,1
2012-03-06,07,Robbery,3B10,20A,6500-6599,JIM,-,-,1
2012-03-06,02,Robbery,13D20,18A,8400-8499,BROADWAY,ST,-,1
2012-03-06,02,Robbery,4F10,20A,1700-1799,GESSNER,DR,-,1
2012-03-06,01,Robbery,18F20,20A,2300-2399,MCCUE,RD,-,1
2012-03-05,22,Robbery,18F50,23S,9800-9899,WESTPARK,-,-,1
2012-03-05,22,Robbery,17E10,18A,5400-5499,ELM,ST,-,1
2012-03-05,20,Robbery,13D20,140,7900-7999,MOSLEY,RD,-,1
2012-03-05,20,Robbery,3B10,20A,4200-4299,SHERWOOD,LN,-,1
2012-03-05,20,Robbery,6B30,210,8600-8699,NORTH HOUSTON ROSSLYN,RD,-,1
2012-03-05,19,Robbery,19G20,18W,10800-10899,SHARPVIEW,-,-,1
2012-03-05,19,Robbery,6B40,13R,1700-1799,ESTHER,DR,-,1
2012-03-05,18,Robbery,7C20,13R,4600-4699,LELIA,-,-,1
2012-03-05,18,Robbery,19G10,18A,7200-7299,CORPORATE,DR,-,1
2012-03-05,16,Robbery,19G50,13R,10100-10199,FORUM PARK,DR,-,1
2012-03-05,16,Robbery,5F40,080,7000-7099,FM 1960,-,W,1
2012-03-05,16,Robbery,7C20,13R,2900-2999,KASHMERE,-,-,1
2012-03-05,14,Robbery,13D20,18C,8600-8699,BROADWAY,ST,-,1
2012-03-05,14,Robbery,16E30,18A,12300-12399,ORMANDY,-,-,1
2012-03-05,13,Robbery,12D20,170,11000-11099,FUQUA,ST,-,1
2012-03-05,09,Robbery,10H10,13B,3900-3999,CANAL,ST,-,1
2012-03-05,10,Robbery,5F30,210,12700-12799,HEMPSTEAD,HWY,-,1
2012-03-05,07,Robbery,8C60,20R,7300-7399,BIGWOOD,ST,-,1
2012-03-04,22,Robbery,7C30,18A,2000-2099,TIDWELL,RD,-,1
2012-03-04,22,Robbery,18F50,13R,6100-6199,FONDREN,RD,-,1
