Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-05-13,23,Murder,19G30,18A,12700-12799,RODEO SQUARE,DR,-,1
2011-05-01,06,Murder,19G50,20A,10100-10199,FORUM PARK,DR,-,1
2011-05-13,04,Murder,19G10,22M,9200-9299,BOONE,RD,-,1
2011-05-21,06,Murder,1A10,160,700-799,FRANKLIN,ST,-,1
2011-05-24,04,Murder,10H50,11R,3000-3099,DOWLING,ST,-,1
2011-05-03,22,Murder,24C20,20R,5400-5499,FOREST SPRINGS,DR,-,1
2011-05-02,00,Murder,5F10,250,7500-7599,LONG POINT,RD,-,1
2011-05-05,21,Murder,17E10,13R,6000-6099,RAMPART,-,-,1
2011-05-19,21,Murder,14D40,20R,4200-4299,GROTON,DR,-,1
2011-05-09,01,Murder,17E10,18N,5900-5999,GULFTON,-,-,1
2011-05-01,21,Murder,5F30,03B,8100-8199,TIDWELL,RD,W,1
2011-05-07,20,Murder,6B10,20A,600-699,TIDWELL,RD,E,1
2011-05-26,23,Murder,9C40,20R,12900-12999,ORLEANS,-,-,1
2011-05-19,23,Murder,14D20,20R,8900-8999,FERDINAND,-,-,2
2011-05-15,11,Murder,20G30,20A,10800-10899,RICHMOND,AVE,-,1
2011-05-21,00,Murder,9C40,18T,1300-1399,FEDERAL,RD,-,1
2011-05-14,22,Murder,7C10,20A,600-699,SCHWEIKHARDT,-,-,1
2011-05-11,22,Murder,14D10,05D,3300-3399,OLD SPANISH,TRL,-,1
2010-01-18,22,Murder,14D10,13R,3500-3599,OLD SPANISH,TRL,-,1
2011-05-23,08,Murder,9C40,18A,12400-12499,WOODFOREST,BLVD,-,1
2011-05-28,03,Murder,6B20,20R,700-799,RITTENHOUSE,ST,W,1
2011-05-28,13,Murder,3B50,20A,100-199,NEYLAND,-,-,1
2011-05-28,05,Rape,5F20,20A,4000-4099,HOLLISTER,-,-,1
2011-05-21,21,Rape,3B10,20A,5900-5999,PINEMONT,DR,-,1
2011-05-04,21,Rape,1A10,20A,1200-1299,TRAVIS,ST,-,1
2011-05-03,10,Rape,1A10,250,800-899,COMMERCE,ST,-,1
2011-05-28,23,Rape,10H50,13R,2500-2599,STUART,-,-,1
2011-05-21,14,Rape,1A10,20R,1200-1299,TRAVIS,ST,-,1
2011-05-26,20,Rape,1A10,20A,1200-1299,TRAVIS,ST,-,1
2011-05-09,02,Rape,1A10,250,0-99,MAIN,ST,-,1
2011-05-06,03,Rape,1A10,250,900-999,COMMERCE,ST,-,1
2011-05-01,07,Rape,6B30,20A,8000-8099,ANTOINE,DR,-,1
2010-05-28,08,Rape,18F40,20A,1200-1299,WINROCK,BLVD,-,1
2011-05-22,01,Rape,17E10,13R,6600-6699,BINTLIFF,DR,-,1
2011-05-28,20,Rape,17E10,140,6800-6899,HORNWOOD,DR,-,1
2011-05-05,02,Rape,1A20,20A,1500-1599,COLUMBUS,-,-,1
2011-05-10,06,Rape,1A30,05L,2100-2199,DUNLAVY,-,-,1
2011-05-11,12,Rape,2A30,140,200-299,27TH,ST,E,1
2011-05-08,15,Rape,8C20,20R,7500-7599,MILEY,-,-,1
2011-05-06,01,Rape,3B10,18N,800-899,NORTHWEST MALL,-,-,1
2011-05-03,09,Rape,9C20,20R,7200-7299,SAN ANGELO,-,-,1
2005-01-01,00,Rape,17E10,20A,6100-6199,RENWICK,-,-,1
2011-05-13,09,Rape,14D40,20R,5000-5099,HOLLOWAY,DR,-,1
2011-05-29,00,Rape,1A50,20A,3900-3999,ESSEX,LN,-,1
2011-05-16,16,Rape,14D30,20R,8300-8399,MYKAWA,-,-,1
2011-05-14,17,Rape,10H70,250,1500-1599,BEN TAUB LOOP,-,-,1
2011-05-17,15,Rape,15E40,140,3000-3099,MURWORTH,DR,-,1
2011-05-27,05,Rape,8C10,20A,7600-7699,BONITA,ST,-,1
2011-05-03,05,Rape,14D40,22M,5600-5699,SELINSKY,-,-,1
2011-05-19,06,Rape,1A20,250,3700-3799,MONTROSE,BLVD,-,1
2011-05-11,07,Rape,9C40,20A,400-499,MAXEY,RD,-,1
2011-04-05,17,Rape,14D20,20P,4600-4699,ALVIN,ST,-,1
2011-05-25,15,Rape,14D20,20R,4600-4699,LARKSPUR,ST,-,1
2011-05-11,09,Rape,7C30,13R,9000-9099,DODSON,ST,-,1
2011-05-21,03,Rape,15E40,140,2400-2499,REED,RD,-,1
2010-01-01,00,Rape,12D30,20R,9000-9099,SHASTA SPRINGS,DR,-,1
2011-05-08,20,Rape,13D10,18A,4900-4999,EVERGREEN,DR,-,1
2011-05-21,22,Rape,12D20,20D,11400-11499,SAGEDOWNE,LN,-,1
2011-05-20,15,Rape,12D10,20R,10300-10399,BANFIELD,CT,-,1
2011-04-16,17,Rape,6B60,140,12400-12499,GREENSPOINT,DR,-,1
2011-05-28,13,Rape,10H60,20R,3200-3299,DIXIE,DR,-,1
2011-05-19,04,Rape,12D70,210,19400-19499,GULF,FWY,-,1
2002-01-01,12,Rape,10H60,20R,3400-3499,PARKWOOD,DR,-,1
2011-05-23,13,Rape,20G80,100,2100-2199,HWY 6,-,S,1
2011-05-04,02,Rape,19G50,140,11700-11799,SOUTHWEST,FWY,-,1
2011-05-16,06,Rape,11H30,13R,3900-3999,RIVER,DR,-,1
2011-05-13,12,Rape,3B10,20A,4800-4899,LAMONTE,LN,-,1
2011-05-16,23,Rape,20G70,20A,12700-12799,BRANT ROCK,DR,-,1
2011-05-20,12,Rape,12D20,20R,10500-10599,SEAFORD,DR,-,1
2011-05-30,01,Rape,5F20,20R,8000-8099,CEDEL,DR,-,1
2011-05-13,23,Rape,10H10,20A,1900-1999,RUNNELS,-,-,1
2011-05-19,21,Rape,11H10,20W,7300-7399,AVE J,-,-,1
2011-05-23,00,Rape,19G30,250,7500-7599,COOK,RD,-,1
2011-05-10,22,Rape,12D10,20A,8200-8299,MINNESOTA,ST,-,1
2011-05-23,00,Rape,17E10,20A,5400-5499,CHIMNEY ROCK,RD,-,1
2011-05-28,23,Rape,15E20,20R,5500-5599,DRYAD,DR,-,1
2011-05-26,08,Rape,6B60,20A,1300-1399,GREENS,PKWY,-,1
2008-06-01,00,Rape,18F50,20A,3700-3799,GESSNER,DR,S,1
2011-05-25,05,Rape,20G10,18A,9900-9999,RICHMOND,AVE,-,1
2011-05-26,20,Rape,20G40,100,1400-1499,BRIAR BAYOU,DR,-,1
2011-05-20,20,Rape,5F30,20A,6000-6099,HOLLISTER,-,-,1
2011-05-30,00,Rape,8C10,20R,9400-9499,PEMBROOK,-,-,1
2011-05-19,16,Rape,11H50,20R,5700-5799,MEADOW CREEK,LN,-,1
2004-05-01,00,Rape,19G10,20A,7200-7299,CORPORATE,DR,-,2
2010-05-19,02,Rape,19G10,25V,10500-10599,BEECHNUT,ST,-,1
2011-04-12,15,Rape,19G10,20A,10500-10599,BEECHNUT,ST,-,1
2011-05-16,04,Rape,18F50,13R,6100-6199,REIMS,RD,-,1
2011-05-06,01,Rape,14D10,13R,7000-7099,CULLEN,BLVD,-,1
2011-05-17,13,Robbery,12D70,18O,100-199,EL DORADO,BLVD,-,1
2011-05-01,22,Robbery,12D70,18A,200-299,EL DORADO,BLVD,-,1
2011-05-13,23,Robbery,13D20,070,7100-7199,DIXIE,DR,-,1
2011-05-23,18,Robbery,7C20,070,5900-5999,LOCKWOOD,DR,-,1
2011-05-10,23,Robbery,12D10,20R,9600-9699,VERMONT GREEN,TRL,-,1
2011-05-18,23,Robbery,13D10,20D,7300-7399,MOLINE,-,-,1
2011-05-19,10,Robbery,13D10,18P,5500-5599,LANCASTER,-,-,1
2011-05-11,07,Robbery,7C20,09H,5600-5699,KELLEY,-,-,1
2011-05-25,19,Robbery,7C20,13R,5600-5699,KELLEY,-,-,1
2011-05-13,22,Robbery,7C20,070,3500-3599,LOCKWOOD,DR,-,1
2011-05-18,15,Robbery,19G30,13R,13300-13399,INDIAN BLANKET,LN,-,1
2011-05-01,04,Robbery,16E40,20R,16300-16399,VALLEJO,DR,-,1
2011-05-05,15,Robbery,12D10,02B,10200-10299,ALMEDA GENOA,RD,-,1
2011-05-17,16,Robbery,12D70,18T,18100-18199,GULF,FWY,-,1
2011-05-24,21,Robbery,12D70,18A,200-299,EL DORADO,BLVD,W,1
2011-05-21,14,Robbery,12D10,120,9500-9599,ROWLETT,-,-,1
2011-05-20,19,Robbery,12D10,080,9500-9599,ROWLETT,-,-,1
2011-05-20,20,Robbery,12D10,18A,9800-9899,HOLLOCK,-,-,1
2011-05-21,11,Robbery,15E10,250,10000-10099,HILLCROFT,-,-,1
2011-05-02,14,Robbery,19G30,20A,6500-6599,BRIAR BAYOU,DR,S,1
2011-05-03,19,Robbery,14D20,18P,9600-9699,SCOTT,-,-,1
