Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2013-11-10,01,Murder,12D20,20R,9200-9299,KINGSFLOWER,CIR,-,1
2013-11-10,03,Murder,10H40,03B,2900-2999,FANNIN,-,-,1
2013-11-10,01,Murder,6B50,13R,100-199,CASA GRANDE,-,-,1
2013-11-03,21,Murder,8C30,13R,7700-7799,ROMEA,-,-,1
2013-11-24,07,Murder,10H50,20R,3700-3799,DELANO,-,-,1
2012-10-02,15,Murder,6B40,20R,8200-8299,TOWER,-,-,1
2013-11-15,00,Murder,17E20,13R,5500-5599,PINE,-,-,1
2013-11-14,20,Murder,5F30,070,5400-5499,GESSNER,DR,-,1
2013-11-08,01,Murder,6B60,18A,13300-13399,NORTHBOROUGH,DR,-,1
2013-11-05,21,Murder,11H10,05C,7100-7199,AVE B,-,-,1
2013-11-05,20,Murder,18F60,20A,8900-8999,BEECHNUT,ST,-,1
2012-04-28,16,Murder,6B30,20A,5700-5799,THOUSAND OAKS,CIR,-,1
2013-11-02,20,Murder,6B50,05D,16200-16299,IMPERIAL VALLEY,DR,-,1
2013-11-19,18,Murder,11H30,20A,7800-7899,DETROIT,ST,-,1
2013-11-04,22,Murder,14D30,20R,5400-5499,KENILWOOD,DR,-,1
2013-11-09,22,Murder,19G40,13R,11600-11699,LIMA,DR,-,1
2013-11-09,20,Murder,11H10,18A,800-899,FAIR OAKS,DR,-,1
2013-11-16,00,Murder,16E20,13R,4400-4499,TIFFANY,DR,-,1
2013-11-06,20,Murder,10H60,18C,5200-5299,DOWLING,ST,-,1
2013-11-05,14,Rape,9C30,20R,800-899,WESTSHIRE,DR,-,1
2013-11-16,22,Rape,10H50,20R,2600-2699,BRILEY,ST,-,1
2013-11-10,10,Rape,6B30,20R,7400-7499,LUMBER JACK,DR,-,1
2013-11-29,07,Rape,19G10,20A,10000-10099,SPICE,LN,-,1
2013-11-17,09,Rape,10H20,140,4100-4199,GULF,FWY SER,E,1
2013-11-15,14,Rape,13D40,20R,0-99,UNKNOWN,-,-,1
2004-01-01,18,Rape,3B50,20A,400-499,KING,ST,-,1
2013-10-31,22,Rape,17E20,250,7600-7699,BEECHNUT,ST,-,1
