Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-11-06,19,Burglary,10H10,Residence or House,200-299,EVERTON,ST,-,1
2014-11-11,09,Theft,10H10,"Other, Unknown, or Not Listed",6000-6099,HARRISBURG,-,-,1
2014-11-18,16,Theft,10H10,Apartment,3800-3899,MENARD,-,-,1
2014-11-19,04,Theft,10H10,"Factory, Manufacturing, or Industrial",6400-6499,ESPERSON,-,-,1
2014-11-26,06,Aggravated Assault,10H10,"Road, Street, or Sidewalk",100-199,BURR,-,N,1
2014-11-28,11,Theft,10H10,"Vacant Storage Fac (Barn,Garage,Warehouse)",2900-2999,CANAL,ST,-,1
2014-11-29,15,Theft,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-,-,1
2014-05-01,08,Rape,10H10,Residence or House,1900-1999,RUNNELS,-,-,1
2014-11-04,07,Burglary,10H10,"Factory, Manufacturing, or Industrial",300-399,VELASCO,-,-,1
2014-11-09,17,Theft,10H10,"Road, Street, or Sidewalk",100-199,MILBY,ST,N,1
2014-11-19,11,Theft,10H10,Commercial Building,5100-5199,HARRISBURG,-,-,1
2014-11-21,18,Burglary,10H10,Residence or House,200-299,BRYAN,-,-,1
2014-11-24,11,Theft,10H10,Miscellaneous Business (Non-Specific),200-299,YORK,-,N,1
2014-11-28,02,Aggravated Assault,10H10,Residence or House,4000-4099,GARROW,-,-,1
2014-10-25,10,Burglary,10H10,Warehouse,400-499,VELASCO,ST,N,1
2014-11-05,10,Theft,10H10,Residence or House,3800-3899,MENARD,-,-,1
2014-11-07,19,Burglary,10H10,Apartment,2800-2899,CANAL,ST,-,1
2014-11-07,23,Burglary,10H10,Residence or House,UNK,JENKINS,-,-,1
2014-11-25,05,Theft,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2014-11-27,09,Theft,10H10,Construction Site,200-299,VELASCO,-,-,1
2014-11-28,02,Auto Theft,10H10,"Road, Street, or Sidewalk",400-499,MILBY,ST,N,1
2014-11-29,05,Robbery,10H10,Bar or Night Club Parking Lot,3900-3999,CANAL,ST,-,1
2014-11-29,19,Robbery,10H10,Convenience Store,5500-5599,SHERMAN,-,-,1
2014-11-30,23,Theft,10H10,Bar or Night Club Parking Lot,3900-3999,CANAL,ST,-,1
2014-11-07,14,Aggravated Assault,10H10,Driveway,2100-2199,CANAL,ST,-,1
2014-11-07,16,Theft,10H10,Miscellaneous Business (Non-Specific),4600-4699,SHERMAN,-,-,1
2014-11-20,04,Theft,10H10,Commercial Parking Lot or Garage,6400-6499,ESPERSON,-,-,1
2014-11-25,21,Robbery,10H10,Residence or House,4500-4599,SHERMAN,-,-,1
2014-10-19,15,Burglary,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",200-299,DRENNAN,ST,-,1
2014-11-13,22,Burglary,10H10,Apartment,3900-3999,CANAL,ST,-,1
2014-11-02,20,Rape,10H10,Residence or House,4100-4199,BERING,-,-,1
2014-11-17,12,Theft,10H10,Restaurant or Cafeteria Parking Lot,2700-2799,NAVIGATION,-,-,1
2014-11-21,08,Burglary,10H10,Warehouse,3300-3399,TEXAS,ST,-,1
2014-11-26,13,Theft,10H10,Residence or House,1900-1999,RUNNELS,-,-,1
2014-11-29,09,Robbery,10H10,"Road, Street, or Sidewalk",100-199,ESTELLE,ST,-,1
2014-11-04,13,Burglary,10H10,Residence or House,3800-3899,SHERMAN,-,-,1
2014-11-20,20,Theft,10H10,"Road, Street, or Sidewalk",3300-3399,PRESTON,ST,-,1
2014-11-28,20,Theft,10H10,Convenience Store,4400-4499,HARRISBURG,-,-,1
2014-11-05,04,Theft,10H20,Apartment Parking Lot,4200-4299,LAMAR,-,-,1
2014-11-02,01,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",4500-4599,MCKINNEY,ST,-,1
2014-11-02,04,Theft,10H20,Residence or House,4400-4499,COYLE,ST,-,1
2014-11-08,12,Aggravated Assault,10H20,"Road, Street, or Sidewalk",1400-1499,HENNINGER,-,-,2
2014-11-13,09,Theft,10H20,Apartment,4300-4399,POLK,-,-,1
2014-11-10,23,Theft,10H20,Apartment Parking Lot,5000-5099,JEFFERSON,ST,-,1
2014-11-22,03,Aggravated Assault,10H20,Residence or House,4400-4499,CLAY,-,-,1
2014-11-24,16,Burglary,10H20,Residence or House,5100-5199,CLAREMONT,ST,-,1
2014-11-29,01,Robbery,10H20,Apartment Parking Lot,5000-5099,JEFFERSON,ST,-,1
2014-11-30,10,Theft,10H20,"Road, Street, or Sidewalk",4300-4399,JEFFERSON,ST,-,1
2014-11-02,11,Theft,10H20,Bar or Night Club,2400-2499,SAN JACINTO,ST,-,1
2014-11-02,17,Theft,10H20,Garage or Carport,4300-4399,HARBY,-,-,1
2014-11-04,04,Theft,10H20,Residence or House,4200-4299,WOODLEIGH,-,-,1
2014-11-06,16,Theft,10H20,Other Parking Lot,4200-4299,LEELAND,-,-,1
2014-11-19,11,Theft,10H20,"Road, Street, or Sidewalk",4400-4499,WALKER,ST,-,1
2014-11-20,13,Auto Theft,10H20,Driveway,4500-4599,WOODSIDE,ST,-,1
2014-11-22,08,Auto Theft,10H20,Residence or House,5200-5299,LEELAND,-,-,2
2014-11-26,23,Burglary,10H20,Residence or House,4000-4099,POLK,-,-,1
2014-11-11,13,Theft,10H20,Driveway,3800-3899,WALKER,ST,-,1
2014-11-11,14,Burglary,10H20,Bar or Night Club,1300-1399,CULLEN,BLVD,-,1
2014-11-29,18,Aggravated Assault,10H20,"Road, Street, or Sidewalk",5200-5299,JEFFERSON,ST,-,2
2014-11-24,20,Aggravated Assault,10H20,"Road, Street, or Sidewalk",4200-4299,LAMAR,-,-,1
2014-11-19,16,Burglary,10H20,Apartment,4900-4999,STIMSON,-,-,1
2014-11-09,15,Theft,10H20,Residence or House,1800-1899,HUSSION,-,-,1
2014-11-11,09,Theft,10H20,Other Parking Lot,3800-3899,LAMAR,-,-,1
2014-11-01,20,Aggravated Assault,10H20,Residence or House,1500-1599,HUSSION,-,-,1
