Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-10-18,21,Murder,17E10,05D,7100-7199,ALDER,DR,-,1
2010-10-01,21,Murder,7C10,13R,5200-5299,MARKET,ST,-,1
2010-10-10,15,Murder,6B20,20R,3300-3399,CREEKMONT,DR,-,1
2010-09-14,10,Murder,11H10,20A,7500-7599,HARRISBURG,BLVD,-,1
2010-10-14,02,Murder,20G40,18O,2400-2499,GRAY FALLS,DR,-,1
2010-10-19,14,Murder,19G50,13R,11600-11699,BELLFORT,ST,W,1
2010-10-21,04,Murder,5F10,18A,7400-7499,LONG POINT,RD,-,1
2010-10-09,13,Murder,14D20,20R,3800-3899,SEABROOK,-,-,1
2010-10-03,02,Murder,16E40,13R,6800-6899,SWAY,-,-,1
2010-10-22,14,Murder,17E30,18T,11900-11999,WILCREST,DR,S,1
2010-10-19,00,Murder,6B10,20D,200-299,TALLANT,-,-,1
2010-10-20,00,Murder,5F30,20A,7500-7599,PINEMONT,DR,-,1
2010-09-28,08,Murder,17E40,20A,10400-10499,SANDPIPER,DR,-,1
2010-10-28,00,Murder,14D30,13R,5600-5699,RIDGEWAY,DR,-,1
2010-10-29,18,Murder,14D30,13R,7700-7799,CRESTMONT,ST,-,1
2010-10-07,16,Murder,7C40,20D,4500-4599,SAUNDERS,RD,-,1
2010-10-12,16,Murder,6B20,250,5400-5499,WHEATLEY,ST,-,1
2010-10-31,02,Murder,6B20,23S,5600-5699,SHEPHERD,DR,N,1
2010-10-03,13,Murder,17E40,20A,6400-6499,BANKSIDE,DR,-,1
2010-10-03,17,Murder,2A30,20R,400-499,24TH,ST,W,1
2010-09-29,11,Murder,20G50,20R,700-799,CHERRYBARK,LN,-,1
2010-10-20,15,Murder,2A10,070,3500-3599,ELYSIAN,ST,-,1
2010-10-16,06,Murder,12D10,20A,100-199,EDGEBROOK,DR,E,1
2010-10-24,23,Murder,10H50,20R,3300-3399,ANITA,ST,-,1
2010-10-30,02,Murder,11H30,13R,8200-8299,CONCORD,ST,-,1
2010-10-24,19,Murder,10H50,20P,2200-2299,HUTCHINS,-,-,1
2010-10-10,17,Murder,1A10,05G,1600-1699,LOUISIANA,ST,-,1
2010-10-16,21,Murder,1A20,20A,200-299,ALABAMA,ST,W,1
2010-10-21,01,Murder,18F60,03B,9500-9599,BEECHNUT,ST,-,1
2010-06-01,09,Rape,18F60,20A,9500-9599,BEECHNUT,ST,-,1
2009-11-01,00,Rape,17E30,20A,8900-8999,GESSNER,DR,S,1
2010-10-04,20,Rape,15E30,09H,2700-2799,HOLCOMBE,BLVD,W,1
2010-10-10,20,Rape,2A30,11R,2100-2199,WHITE OAK,DR,-,1
2010-10-26,17,Rape,18F40,20A,2100-2199,TANGLEWILDE,-,-,1
2010-10-25,18,Rape,2A10,20R,1800-1899,GENTRY,ST,-,1
2010-10-15,23,Rape,2A10,20R,1900-1999,COMMON,ST,-,1
2010-10-17,03,Rape,14D30,11R,8000-8099,SOUTHBANK,-,-,1
2010-10-22,02,Rape,1A20,13R,400-499,HADLEY,ST,-,1
2010-10-14,23,Rape,3B10,20A,6000-6099,SUNFOREST,-,-,1
2010-10-28,23,Rape,17E10,18O,6800-6899,SOUTHWEST,FWY,-,1
2010-10-19,23,Rape,UNK,20R,13000-13099,BASSFORD,DR,-,1
2010-10-09,21,Rape,14D10,20R,5100-5199,BROWNCROFT,-,-,1
2010-10-07,20,Rape,4F10,20A,10000-10099,HANKA,-,-,1
2010-10-21,02,Rape,15E10,18G,9800-9899,HILLCROFT,-,-,1
2010-10-23,12,Rape,17E20,20G,6300-6399,SCRIBNER,RD,-,1
2010-10-17,05,Rape,18F60,100,6600-6699,HARBOR TOWN,DR,-,1
2010-10-02,04,Rape,12D60,18O,800-899,PEBBLESHIRE,DR,-,1
2010-10-16,00,Rape,19G50,20A,10100-10199,FORUM PARK,DR,-,1
