Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-10-09,17,Theft,10H10,Residence or House,200-299,SUPER,-,-,1
2014-10-10,10,Theft,10H10,"Laundry, Dry Cleaners, Washaterias",5100-5199,HARRISBURG,-,-,1
2014-10-16,19,Aggravated Assault,10H10,Residence or House,6100-6199,NAVIGATION,-,-,1
2014-10-23,09,Burglary,10H10,Residence or House,UNK,STILES,-,-,1
2014-10-24,18,Burglary,10H10,Apartment,2100-2199,RUNNELS,-,-,1
2014-09-30,06,Theft,10H10,"Field, Woods, Forest, Park",800-899,YORK,-,N,1
2014-10-12,18,Theft,10H10,Garage or Carport,100-199,EASTWOOD,ST,N,1
2014-10-12,19,Burglary,10H10,Residence or House,200-299,SIDNEY,-,-,1
2014-10-15,06,Aggravated Assault,10H10,"Road, Street, or Sidewalk",4100-4199,BERING,-,-,1
2014-10-19,10,Aggravated Assault,10H10,Residence or House,2200-2299,COMMERCE,ST,-,1
2014-10-19,21,Aggravated Assault,10H10,Apartment,200-299,DRENNAN,ST,N,1
2014-10-21,14,Theft,10H10,Residence or House,UNK,GARROW,-,-,1
2014-10-24,15,Auto Theft,10H10,Commercial Parking Lot or Garage,4400-4499,NAVIGATION,-,-,1
2014-10-27,14,Robbery,10H10,Residence or House,200-299,MILBY,ST,N,1
2014-10-09,20,Theft,10H10,Warehouse,300-399,ADAMS,ST,-,1
2014-10-12,15,Theft,10H10,Driveway,100-199,EASTWOOD,ST,N,1
2014-10-12,18,Theft,10H10,Residence or House,UNK,COLBY,ST,-,1
2014-10-14,15,Burglary,10H10,Bar or Night Club,3900-3999,CANAL,ST,-,1
2014-10-15,08,Auto Theft,10H10,"Other, Unknown, or Not Listed",100-199,HUTCHESON,-,-,1
2014-10-21,12,Theft,10H10,Residence or House,100-199,DRENNAN,ST,-,1
2014-10-21,16,Theft,10H10,Bar or Night Club,3000-3099,CANAL,ST,-,1
2014-10-03,04,Robbery,10H10,"Road, Street, or Sidewalk",4700-4799,CANAL,ST,-,1
2014-10-04,23,Rape,10H10,"Hotel, Motel, Inn, Etc.",200-299,CAYLOR,-,-,1
2014-10-16,12,Auto Theft,10H10,Residence or House,5300-5399,TEXAS,ST,-,1
2014-10-18,19,Theft,10H10,,2100-2199,CANAL,ST,-,1
2014-10-29,00,Aggravated Assault,10H10,"Road, Street, or Sidewalk",3300-3399,NAVIGATION,-,-,1
2014-10-03,14,Burglary,10H10,Miscellaneous Business (Non-Specific),2500-2599,CANAL,ST,-,1
2014-10-17,16,Burglary,10H10,Residence or House,200-299,STILES,-,-,1
2014-10-23,03,Burglary,10H10,Miscellaneous Business (Non-Specific),500-599,SAMPSON,-,-,1
2014-10-26,22,Theft,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2014-10-30,15,Burglary,10H10,Residence or House,500-599,DRENNAN,ST,N,1
2014-10-17,11,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2014-10-21,20,Robbery,10H10,Warehouse,400-499,STILES,ST,N,1
2014-10-01,03,Burglary,10H10,"Laundry, Dry Cleaners, Washaterias",5400-5499,HARRISBURG,-,-,1
2014-10-04,02,Burglary,10H10,Residence or House,3200-3299,N.MACGREGOR,WAY,-,1
2014-10-18,15,Theft,10H10,Residence or House,200-299,ADAMS,ST,N,1
2014-10-29,15,Burglary,10H10,Auto Repair,3300-3399,NAVIGATION,-,-,1
2014-10-30,08,Burglary,10H10,Bar or Night Club,3500-3599,HARRISBURG,-,-,1
2014-10-30,13,Burglary,10H10,Apartment,200-299,MILBY,-,-,1
2014-10-20,20,Theft,10H10,Residence or House,100-199,BRYAN,-,N,1
2014-10-26,00,Theft,10H20,Residence or House,5000-5099,PEASE,-,-,1
2014-10-15,21,Auto Theft,10H20,,1800-1899,DUMBLE,ST,-,1
2014-10-16,06,Robbery,10H20,"Road, Street, or Sidewalk",1300-1399,MUNGER,-,-,1
2014-10-17,11,Theft,10H20,,4200-4299,CLAY,-,-,1
2014-10-02,14,Auto Theft,10H20,,4100-4199,RUSK,ST,-,1
2014-10-07,02,Auto Theft,10H20,Driveway,5100-5199,LEELAND,-,-,1
2014-10-10,18,Theft,10H20,Convenience Store Parking Lot,1300-1399,CULLEN,BLVD,-,1
2014-10-19,11,Aggravated Assault,10H20,"Road, Street, or Sidewalk",1800-1899,CULLEN,BLVD,-,1
2014-10-21,07,Theft,10H20,Vacant Building (Commercial),3900-3999,THARP,-,-,1
2014-10-14,16,Burglary,10H20,Apartment,UNK,4218.5 BELL,-,-,1
2014-10-23,08,Burglary,10H20,Warehouse,3800-3899,POLK,-,-,1
2014-10-25,14,Aggravated Assault,10H20,Residence or House,700-799,OAKHURST,-,-,1
2014-10-25,21,Aggravated Assault,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",800-899,OAKHURST,-,-,1
2014-10-09,05,Burglary,10H20,Commercial Building,4000-4099,POLK,-,-,1
2014-10-21,15,Burglary,10H20,Residence or House,4700-4799,POLK,-,-,1
2014-10-15,20,Burglary,10H20,Residence or House,4200-4299,RUSK,ST,-,1
2014-10-23,19,Theft,10H20,Driveway,4600-4699,WALKER,ST,-,1
2014-09-10,19,Burglary,10H20,"Vacant Storage Fac (Barn,Garage,Warehouse)",5100-5199,CLAY,-,-,1
2014-10-04,19,Theft,10H20,,4400-4499,DALLAS,ST,-,1
2014-10-07,20,Auto Theft,10H20,"Road, Street, or Sidewalk",1200-1299,LAWSON,-,-,1
2014-10-30,10,Burglary,10H20,Garage or Carport,5000-5099,RUSK,ST,-,1
2014-10-28,07,Robbery,10H20,"Road, Street, or Sidewalk",5400-5499,BELL,ST,-,1
2014-10-22,09,Auto Theft,10H20,Driveway,1900-1999,EASTWOOD,ST,-,1
2014-10-08,05,Theft,10H20,"Road, Street, or Sidewalk",1300-1399,PEARSON,-,-,1
2014-10-10,07,Burglary,10H20,Bar or Night Club,800-899,DUMBLE,ST,-,1
2014-10-26,14,Burglary,10H20,Residence or House,4400-4499,CLAY,-,-,1
2014-10-26,22,Theft,10H20,"Road, Street, or Sidewalk",4300-4399,DALLAS,ST,-,1
2014-10-10,09,Theft,10H20,"Road, Street, or Sidewalk",4600-4699,PARK,DR,-,1
2014-10-09,14,Theft,10H20,,1900-1999,CULLEN,BLVD,-,1
2014-10-29,13,Burglary,10H20,Residence or House,4100-4199,WOODLEIGH,-,-,1
2014-10-17,14,Theft,10H20,Department or Discount Store,4000-4099,POLK,-,-,1
2014-10-14,05,Theft,10H20,Driveway,5100-5199,LINDSAY,-,-,1
2014-10-12,18,Theft,10H20,,4100-4199,POLK,-,-,1
2014-10-04,04,Auto Theft,10H20,Driveway,3900-3999,DALLAS,ST,-,1
2014-10-06,05,Burglary,10H20,Residence or House,4400-4499,DALLAS,ST,-,1
2014-10-07,02,Theft,10H20,Apartment Parking Lot,1600-1699,MARLIN,ST,-,1
2014-10-07,09,Theft,10H20,,4900-4999,RUSK,ST,-,1
2014-10-29,13,Burglary,10H20,Residence or House,4200-4299,BELL,ST,-,1
2014-10-31,12,Theft,10H20,Other Parking Lot,3800-3899,LAMAR,-,-,1
2014-10-10,13,Burglary,10H20,Residence or House,1400-1499,LAWSON,-,-,1
2014-10-08,10,Burglary,10H20,Residence or House,4700-4799,MCKINNEY,ST,-,1
2014-10-28,16,Auto Theft,10H20,"Road, Street, or Sidewalk",4900-4999,LEELAND,-,-,1
2014-10-29,13,Burglary,10H20,Residence or House,4400-4499,BELL,ST,-,1
2014-10-30,07,Burglary,10H20,Restaurant or Cafeteria,900-999,TELEPHONE,-,-,1
2014-10-11,08,Theft,10H30,Residence or House,2100-2199,WALKER,ST,-,1
2014-10-13,08,Theft,10H30,Residence or House,900-999,MCKINNEY PARK,LN,-,1
2014-10-02,09,Theft,10H30,,800-899,ST EMANUEL,-,-,1
2014-10-04,03,Theft,10H30,"Road, Street, or Sidewalk",2000-2099,BELL,ST,-,1
2014-10-05,04,Theft,10H30,Bar or Night Club,2100-2199,BELL,ST,-,1
2014-10-15,16,Theft,10H30,Driveway,2700-2799,LEELAND,-,-,1
2014-10-14,05,Theft,10H30,Miscellaneous Business (Non-Specific),500-599,DOWLING,ST,-,1
2014-10-19,05,Auto Theft,10H30,,3500-3599,POLK,-,-,1
2014-10-19,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,CLAY,-,-,1
2014-10-30,00,Theft,10H30,Other Parking Lot,900-999,ST. EMANUEL,-,-,1
2014-10-04,05,Robbery,10H30,"Road, Street, or Sidewalk",600-699,LIVE OAK,-,-,1
2014-08-23,17,Theft,10H30,Other Parking Lot,UNK,CHARTRES,-,-,1
2014-10-01,06,Burglary,10H30,Commercial Building,2800-2899,GULF,FWY,-,1
2014-10-11,15,Robbery,10H30,"Road, Street, or Sidewalk",1700-1799,DOWLING,ST,-,1
2014-10-19,12,Theft,10H30,"Road, Street, or Sidewalk",2900-2999,GULF,FWY,-,1
2014-10-24,07,Theft,10H30,Service or Gas Station,3500-3599,IH 45,-,S,1
2014-10-22,09,Auto Theft,10H30,"Road, Street, or Sidewalk",1200-1299,DELANO,-,-,1
2014-10-23,10,Burglary,10H30,Construction Site,2200-2299,JEFFERSON,ST,-,1
2014-10-06,18,Theft,10H30,"Road, Street, or Sidewalk",2600-2699,MCKINNEY,ST,-,1
2014-10-13,08,Theft,10H30,"Road, Street, or Sidewalk",900-999,MCKINNEY PARK,LN,-,1
2014-10-02,10,Theft,10H30,,2600-2699,MCKINNEY,ST,-,1
2014-10-16,19,Theft,10H30,Commercial Parking Lot or Garage,2100-2199,PRESTON,ST,-,1
2014-10-31,14,Theft,10H30,Miscellaneous Business (Non-Specific),800-899,SAINT EMANUEL,ST,-,1
2014-10-16,04,Theft,10H30,Vacant Industrial or Manufacturing Blding,1800-1899,EDMUNDSON,ST,-,1
2014-10-23,09,Theft,10H30,Commercial Parking Lot or Garage,400-499,DOWLING,ST,-,1
