WARNING *** file size (2752234) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses,Field11
2010-09-29,22,Murder,11H40,13R,2900-2999,STARMOUNT,BLVD,-,1,
2010-08-30,23,Murder,12D20,20R,9900-9999,SOUTHPORT,DR,-,1,
2010-09-26,11,Murder,6B40,18A,1400-1499,GULF BANK,RD,W,1,
2010-09-26,02,Murder,5F20,18T,9400-9499,KEMPWOOD,DR,-,1,
2010-09-22,22,Murder,17E10,18A,6200-6299,GULFTON,-,-,1,
2010-09-25,20,Murder,2A10,20R,5100-5199,TERRY,-,-,1,
2010-09-05,01,Murder,3B10,20A,3100-3199,MANGUM,-,-,1,
2010-09-01,15,Murder,19G50,18A,11100-11199,PLUMPOINT,DR,-,1,
2010-09-19,14,Murder,15E10,18A,5400-5499,BIRDWOOD,RD,-,1,
2010-09-10,18,Murder,8C50,20R,9700-9799,GALAXY,-,-,1,
2010-09-13,04,Murder,2A10,20A,200-299,FRAWLEY,-,-,1,
2010-09-16,02,Murder,7C20,13R,4500-4599,PARDEE,-,-,1,
2010-09-15,14,Murder,10H70,13R,1600-1699,ROSEWOOD,-,-,1,
2010-09-09,22,Murder,19G20,18G,11700-11799,BEECHNUT,ST,-,1,
2010-09-30,14,Murder,14D20,20D,4500-4599,MAGGIE,-,-,1,
2010-09-15,11,Murder,3B50,20A,0-99,BURRESS,ST,-,1,
2010-09-30,06,Murder,1A10,040,1700-1799,SAN JACINTO,-,-,1,
2010-09-14,23,Murder,8C10,20R,6200-6299,ANTHA,ST,-,1,
2010-09-07,03,Murder,17E10,20A,6100-6199,BELLAIRE,BLVD,-,1,
2010-09-26,00,Murder,17E40,13R,6300-6399,AIRPORT,BLVD,W,1,
2010-09-15,22,Rape,10H70,11R,6100-6199,FANNIN,-,-,1,
2010-09-26,02,Rape,20G20,20A,300-399,WILCREST,DR,-,1,
2010-09-05,12,Rape,7C20,20A,5600-5699,KELLEY,-,-,1,
2010-09-05,23,Rape,20G40,20R,11600-11699,BRIAR FOREST,DR,-,1,
2010-09-02,18,Rape,20G10,20A,3400-3499,WOODCHASE,-,-,1,
2010-09-29,05,Rape,14D20,20R,4100-4199,ROCKINGHAM,AVE,-,1,
2010-09-24,15,Rape,14D30,250,7500-7599,MARTIN LUTHER KING,BLVD,-,1,
2010-09-05,00,Rape,7C20,20D,3000-3099,BRILL,ST,-,1,
2010-09-16,13,Rape,10H70,11R,6200-6299,GOLF COURSE,DR,-,1,
2010-09-11,00,Rape,1A10,03B,700-799,FRANKLIN,ST,-,1,
2010-09-11,03,Rape,1A50,140,2500-2599,WEST LP S,SER,E,1,
2010-09-26,03,Rape,17E20,18O,9100-9199,FONDREN,RD,-,1,
2010-09-21,23,Rape,20G10,20A,9000-9099,TOWN PARK,DR,-,1,
2010-09-25,11,Rape,7C20,20R,4900-4999,JEWEL,ST,-,1,
2010-09-19,19,Rape,9C40,20A,12200-12299,FLEMING,DR,-,1,
2010-05-24,20,Rape,16E40,20R,4700-4799,RIDGECREEK,DR,E,1,
2010-09-24,23,Rape,17E10,20A,5700-5799,GULFTON,-,-,1,
2010-09-19,00,Rape,7C20,20R,2500-2599,STAPLES,-,-,1,
2010-09-13,15,Rape,3B10,140,11000-11099,NORTHWEST,FWY SER,E,1,
2009-11-01,00,Rape,17E40,20A,12500-12599,DUNLAP,ST,-,1,
2010-09-11,20,Rape,18F50,140,6700-6799,SOUTHWEST,FWY,-,1,
