Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2013-09-11,03,Murder,3B40,13R,4200-4299,AIRLINE,DR,-,1
2013-09-25,13,Murder,10H60,20A,3800-3899,CANFIELD,ST,-,1
2013-09-19,03,Murder,19G10,13R,9500-9599,COUNTRY CREEK,DR,-,1
2013-09-04,07,Murder,19G20,13R,7600-7699,BOONE,RD,-,1
2013-09-10,00,Murder,19G10,20A,10600-10699,BEECHNUT,ST,-,1
2013-09-09,20,Murder,14D40,20R,4200-4299,MADDEN,LN,-,1
2013-09-30,10,Murder,14D10,210,4500-4599,GRIGGS,-,-,1
2013-09-23,22,Murder,2A10,03B,1100-1199,HOGAN,-,-,1
2013-09-17,21,Murder,14D30,210,6400-6499,MARTIN LUTHER KING,BLVD,-,1
2013-09-11,20,Murder,3B50,18C,300-399,CROSSTIMBERS,-,E,1
2013-09-05,20,Murder,3B40,13R,3400-3499,AIRLINE,DR,-,1
2013-09-08,21,Murder,5F20,18P,4000-4099,HOLLISTER,-,-,1
2013-09-22,08,Murder,7C20,13R,6400-6499,GOLD,-,-,1
2013-09-01,09,Murder,19G40,250,12400-12499,TAMBOURINE,DR,-,1
2013-09-01,05,Murder,18F30,13R,6300-6399,RICHMOND,AVE,-,1
2013-09-08,03,Murder,17E20,18A,7000-7099,BISSONNET,ST,-,1
2013-09-10,19,Murder,14D40,20G,5200-5299,DUMORE,DR,-,1
2013-09-08,00,Rape,1A50,20A,4600-4699,WILD INDIGO,-,-,1
2013-09-07,15,Rape,10H60,140,3500-3599,SOUTHMORE,BLVD,-,1
2013-09-22,10,Rape,11H10,13R,7400-7499,ERATH,ST,-,1
2013-09-22,13,Rape,17E40,140,7800-7899,AIRPORT,BLVD,W,1
2013-09-22,13,Rape,20G50,05M,300-399,MEMORIAL CITY,WAY,-,1
2013-09-21,23,Rape,2A60,13R,1600-1699,NORTH LP W,-,-,1
2013-09-06,22,Rape,19G40,20A,9700-9799,COURT GLEN,DR,-,1
