Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-09-01,15,Aggravated Assault,10H10,,100-199,NORWOOD,ST,N,1
2014-09-02,13,Theft,10H10,Apartment,3900-3999,CANAL,ST,-,1
2014-09-06,13,Theft,10H10,Driveway,2100-2199,RUNNELS,-,-,1
2014-09-12,18,Auto Theft,10H10,Residence or House,400-499,LINWOOD,-,-,1
2014-09-14,21,Theft,10H10,Miscellaneous Business (Non-Specific),4500-4599,HARRISBURG,-,-,1
2014-09-21,22,Theft,10H10,Service or Gas Station,500-599,LOCKWOOD,DR,-,1
2014-09-21,23,Burglary,10H10,"Garden Supply, Nursery, or Florist",3100-3199,HARRISBURG,-,-,1
2014-09-22,20,Burglary,10H10,Residence or House,200-299,GREENWOOD,ST,-,1
2014-09-23,08,Theft,10H10,Rental Storage Facility,6100-6199,INDUSTRIAL,WAY,-,1
2014-09-02,08,Theft,10H10,,3200-3299,HARRISBURG,-,-,1
2014-09-10,08,Theft,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
2014-09-13,15,Theft,10H10,Residence or House,6200-6299,SHERMAN,-,-,1
2014-09-23,13,Aggravated Assault,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
2014-09-06,08,Theft,10H10,,100-199,SIDNEY,ST,N,1
2014-09-06,23,Theft,10H10,Service or Gas Station,500-599,LOCKWOOD,DR,-,1
2014-09-07,12,Aggravated Assault,10H10,"Road, Street, or Sidewalk",3400-3499,NAVIGATION,-,-,1
2014-09-07,16,Theft,10H10,Drug Store or Medical Supply,4700-4799,HARRISBURG,-,-,1
2014-09-10,18,Theft,10H10,,3400-3499,NAVIGATION,-,-,1
2014-09-17,12,Theft,10H10,Apartment Parking Lot,2200-2299,COMMERCE,ST,-,1
2014-09-19,05,Theft,10H10,Bar or Night Club,300-399,MILBY,-,-,1
2014-09-20,17,Aggravated Assault,10H10,,5300-5399,TEXAS,ST,-,1
2014-09-21,12,Burglary,10H10,Restaurant or Cafeteria Parking Lot,2800-2899,NAVIGATION,-,-,1
2014-09-26,14,Theft,10H10,"Laundry, Dry Cleaners, Washaterias",2100-2199,CANAL,ST,-,1
2014-09-29,21,Theft,10H10,,5400-5499,SHERMAN,-,-,1
2014-09-07,08,Burglary,10H10,Commercial Building,4000-4099,NAVIGATION,-,-,1
2014-09-14,08,Theft,10H10,,3500-3599,HARRISBURG,-,-,1
2014-09-18,10,Robbery,10H10,"Road, Street, or Sidewalk",UNK,HAMILTON AND CONGRESS,-,-,1
2014-09-02,17,Robbery,10H10,"Road, Street, or Sidewalk",5400-5499,BRADY,ST,-,1
2014-09-04,09,Theft,10H10,Residence or House,5600-5699,SHERMAN,-,-,1
2014-09-04,11,Robbery,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2014-09-05,13,Theft,10H10,"Road, Street, or Sidewalk",300-399,ROBERTS,ST,-,1
2014-09-08,09,Theft,10H10,Convenience Store,4500-4599,HARRISBURG,-,-,1
2014-09-20,19,Aggravated Assault,10H10,Apartment,5400-5499,CANAL,ST,-,1
2014-09-21,08,Burglary,10H10,"Factory, Manufacturing, or Industrial",100-199,PALMER,ST,N,1
2014-09-22,12,Theft,10H10,Warehouse,3900-3999,HARRISBURG,-,-,1
2014-09-23,01,Burglary,10H10,Miscellaneous Business (Non-Specific),3100-3199,HARRISBURG,-,-,1
2014-09-27,00,Theft,10H10,Other Parking Lot,4500-4599,HARRISBURG,-,-,1
2014-09-29,07,Theft,10H10,,200-299,YORK,-,-,1
2014-09-30,04,Burglary,10H10,Check Cashing Places,5400-5499,HARRISBURG,-,-,1
2014-09-06,07,Burglary,10H10,Commercial Building,200-299,NAGLE,-,-,1
2014-09-07,16,Rape,10H10,"Laundry, Dry Cleaners, Washaterias",200-299,CAYLOR,-,-,1
2014-09-08,05,Auto Theft,10H10,Driveway,2600-2699,NAVIGATION,-,-,1
2014-09-18,15,Theft,10H10,Apartment Parking Lot,1900-1999,RUNNELS,-,-,1
2014-09-21,18,Aggravated Assault,10H10,,500-599,SIDNEY,ST,N,2
2014-09-14,06,Theft,10H10,Vehicle/Auto Sales/Lease/Auto Parts Store,4700-4799,HARRISBURG,-,-,1
2014-09-18,02,Theft,10H10,Car Wash,UNK,DELANO,-,-,1
2014-09-18,14,Theft,10H10,,4500-4599,HARRISBURG,-,-,1
2014-09-20,15,Aggravated Assault,10H10,"Road, Street, or Sidewalk",5300-5399,TEXAS,ST,-,1
2014-09-27,11,Theft,10H10,"Gym, Recreat, Club House, Indoor Pool, Spa",2300-2399,CANAL,ST,-,1
2014-09-11,10,Theft,10H10,Residence or House,300-399,HUTCHESON,-,-,1
2014-09-28,13,Theft,10H10,"Road, Street, or Sidewalk",UNK,ST CHARLES,-,-,1
2014-09-11,11,Theft,10H20,"Road, Street, or Sidewalk",4200-4299,WOODLEIGH,-,-,1
2014-09-01,13,Theft,10H20,Residence or House,5300-5399,LINDSAY,-,-,1
2014-09-02,18,Robbery,10H20,Specialty Store (Non-Specific),4000-4099,POLK,-,-,1
2014-09-14,23,Auto Theft,10H20,,4700-4799,BELL,ST,-,1
2014-09-22,13,Theft,10H20,Convenience Store Parking Lot,4700-4799,GULF,FWY,-,1
2014-09-26,06,Burglary,10H20,Department or Discount Store,4000-4099,POLK,-,-,1
2014-09-06,23,Theft,10H20,,1100-1199,WYATT,-,-,1
2014-09-11,01,Auto Theft,10H20,"Road, Street, or Sidewalk",4500-4599,RUSK,ST,-,1
2014-09-11,17,Theft,10H20,Other Parking Lot,1000-1099,MUNGER,-,-,1
2014-09-24,05,Theft,10H20,Apartment Parking Lot,5000-5099,PEASE,-,-,1
2014-09-27,03,Burglary,10H20,Department or Discount Store,4000-4099,POLK,-,-,1
2014-09-04,20,Theft,10H20,,1700-1799,TELEPHONE,-,-,1
2014-09-01,16,Burglary,10H20,Residence or House,5200-5299,LEELAND,-,-,1
2014-09-28,17,Burglary,10H20,Residence or House,4000-4099,WALKER,ST,-,1
2014-09-25,07,Theft,10H20,"Road, Street, or Sidewalk",4300-4399,DALLAS,ST,-,1
2014-09-25,12,Burglary,10H20,Vacant Building (Commercial),4800-4899,GULF,FWY,-,1
2014-09-25,03,Burglary,10H20,"Road, Street, or Sidewalk",4000-4099,POLK,-,-,1
2014-08-31,14,Theft,10H20,,1600-1699,MARLIN,ST,-,1
2014-09-15,08,Theft,10H20,,2100-2199,ERNESTINE,ST,-,1
2014-09-21,14,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",4800-4899,WALKER,ST,-,1
2014-09-21,08,Burglary,10H20,Residence or House,1400-1499,LOMBARDY,ST,-,1
2014-09-20,12,Theft,10H20,Grocery Store or Supermarket,4000-4099,POLK,-,-,1
2014-09-13,01,Aggravated Assault,10H20,"Road, Street, or Sidewalk",3800-3899,WALKER,ST,-,1
2014-09-26,08,Theft,10H20,Auto Repair,3900-3999,POLK,-,-,1
2014-09-28,07,Theft,10H20,Apartment Parking Lot,5100-5199,JEFFERSON,ST,-,1
2014-09-18,13,Theft,10H20,Restaurant or Cafeteria Parking Lot,1700-1799,TELEPHONE,-,-,1
2014-09-12,09,Theft,10H20,Residence or House,4400-4499,WALKER,ST,-,1
2014-09-22,22,Burglary,10H20,Residence or House,4700-4799,MCKINNEY,ST,-,1
2014-09-24,17,Robbery,10H20,"Road, Street, or Sidewalk",5000-5099,CLAREMONT,ST,-,1
2014-09-15,07,Burglary,10H20,"Multi-Plex Home (Duplex,Triplex Etc.)",3900-3999,DALLAS,ST,-,1
2014-09-18,19,Theft,10H20,Commercial Building,5300-5399,LEELAND,-,-,1
2014-09-04,08,Theft,10H20,Apartment,4900-4999,POLK,-,-,1
2014-06-21,16,Theft,10H30,Condominium,2900-2999,LEELAND,-,-,1
2014-09-13,12,Auto Theft,10H30,Commercial Parking Lot or Garage,1700-1799,VELASCO,-,-,1
2014-09-10,16,Theft,10H30,Other Parking Lot,2100-2199,DALLAS,ST,-,1
2014-09-20,23,Theft,10H30,Commercial Parking Lot or Garage,400-499,BASTROP,ST,-,1
2014-09-18,07,Robbery,10H30,Warehouse,1600-1699,ST EMANUEL,-,-,1
2014-09-24,03,Theft,10H30,"Other, Unknown, or Not Listed",1200-1299,SAMPSON,-,-,1
2014-09-23,12,Theft,10H30,Residence or House,1400-1499,MILBY,-,-,1
2014-09-29,13,Theft,10H30,,3100-3199,LAMAR,-,-,1
2014-09-30,09,Burglary,10H30,"Vacant Single Occ Resd(House,Townhs,Dplex)",2500-2599,LAMAR,-,-,1
2014-09-08,13,Burglary,10H30,Residence or House,2600-2699,CAPITOL,ST,-,1
2014-09-02,16,Theft,10H30,,2900-2999,LEELAND,-,-,1
2014-09-05,23,Theft,10H30,"Road, Street, or Sidewalk",1300-1399,HUTCHINS,-,-,1
2014-09-20,13,Theft,10H30,Commercial Parking Lot or Garage,2200-2299,TEXAS,ST,-,1
2014-09-27,12,Theft,10H30,Residence or House,1200-1299,SAMPSON,-,-,1
2014-09-04,09,Theft,10H30,Construction Site,2700-2799,RUSK,ST,-,1
2014-09-18,11,Auto Theft,10H30,Alley,2900-2999,BELL,ST,-,1
2014-09-23,22,Burglary,10H30,Miscellaneous Business (Non-Specific),2800-2899,GULF,FWY,-,1
2014-09-22,06,Burglary,10H30,Strip Business Center Parking Lot,2800-2899,GULF,FWY,-,1
2014-09-25,22,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,HUTCHINS,-,-,1
2014-09-14,12,Robbery,10H30,Bar or Night Club,800-899,ST EMANUEL,-,-,1
2014-09-07,19,Auto Theft,10H30,Service or Gas Station,2000-2099,PEASE,-,-,2
2014-09-10,10,Aggravated Assault,10H30,,1500-1599,HUTCHINS,-,-,1
2014-09-11,00,Theft,10H30,Commercial Parking Lot or Garage,1100-1199,ST EMANUEL,-,-,1
2014-09-10,23,Theft,10H30,,1000-1099,ST EMANUEL,-,-,1
2014-09-23,20,Aggravated Assault,10H30,,1900-1999,SCOTT,-,-,1
2014-09-15,10,Theft,10H30,,2300-2399,CONGRESS,-,-,1
2014-09-15,13,Theft,10H30,Residence or House,800-899,PAIGE,-,-,1
2014-09-19,11,Burglary,10H30,Condominium,1700-1799,ADEN,DR,-,1
2014-09-22,22,Burglary,10H30,"Other, Unknown, or Not Listed",2800-2899,GULF,FWY,-,1
2014-09-23,09,Theft,10H30,Residence or House,1200-1299,SAMPSON,-,-,1
2014-09-18,17,Robbery,10H30,"Road, Street, or Sidewalk",2700-2799,MCKINNEY,ST,-,1
2014-09-16,20,Theft,10H30,Apartment Parking Lot,2000-2099,TEXAS,ST,-,1
2014-09-29,21,Theft,10H30,Other Parking Lot,400-499,DOWLING,ST,-,1
2014-09-12,14,Auto Theft,10H30,Alley,2300-2399,PRESTON,ST,-,1
2014-09-06,22,Theft,10H30,,2000-2099,CONGRESS,-,-,1
2014-08-29,11,Burglary,10H30,Construction Site,2100-2199,JEFFERSON,ST,-,1
2014-09-19,13,Theft,10H30,,1200-1299,SAMPSON,-,-,1
2014-09-23,18,Robbery,10H30,Residence or House,3600-3699,DENVER,ST,-,1
2014-09-26,16,Auto Theft,10H30,,2500-2599,JEFFERSON,ST,-,1
2014-09-20,08,Burglary,10H30,Residence or House,700-799,PAIGE,-,-,1
2014-08-31,03,Theft,10H30,,2300-2399,MCKINNEY,ST,-,1
2014-09-07,08,Auto Theft,10H30,Garage or Carport,2000-2099,TEXAS,ST,-,1
2014-09-08,09,Aggravated Assault,10H40,"Road, Street, or Sidewalk",1300-1399,HOLMAN,-,-,1
2014-09-09,02,Auto Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-09-09,22,Theft,10H40,,3300-3399,MILAM,-,-,1
2014-09-11,16,Auto Theft,10H40,,4100-4199,MAIN,ST,-,1
2014-08-31,14,Theft,10H40,,2200-2299,CHENEVERT,-,-,1
2014-09-01,08,Robbery,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-02,22,Theft,10H40,,3400-3499,MILAM,-,-,1
2014-09-02,01,Theft,10H40,Bar or Night Club Parking Lot,1800-1899,WEBSTER,-,-,1
2014-09-03,14,Robbery,10H40,Check Cashing Places,2000-2099,FANNIN,-,-,1
2014-09-06,02,Robbery,10H40,"Road, Street, or Sidewalk",1600-1699,MCGOWEN,ST,-,1
2014-09-17,11,Theft,10H40,Other Parking Lot,3700-3799,TRAVIS,-,-,1
2014-09-14,16,Theft,10H40,,2400-2499,SAN JACINTO,-,-,1
2014-09-13,17,Theft,10H40,,4200-4299,FANNIN,-,-,1
2014-09-28,00,Aggravated Assault,10H40,"Road, Street, or Sidewalk",800-899,ELGIN,ST,-,2
2014-09-25,02,Burglary,10H40,Residence or House,1300-1399,ELGIN,ST,-,1
2014-09-25,09,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-25,21,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",700-799,ELGIN,ST,-,1
2014-09-19,07,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-19,01,Theft,10H40,Bar or Night Club Parking Lot,2500-2599,TRAVIS,-,-,1
2014-09-14,07,Auto Theft,10H40,"Road, Street, or Sidewalk",800-899,HADLEY,ST,-,1
2014-09-15,15,Theft,10H40,"Road, Street, or Sidewalk",UNK,MAIN,ST,-,1
2014-09-02,06,Burglary,10H40,Barber And Beauty Shops,1000-1099,EAGLE,ST,-,1
2014-09-02,12,Theft,10H40,Restaurant or Cafeteria Parking Lot,3800-3899,SAN JACINTO,-,-,1
2014-09-03,14,Theft,10H40,,1300-1399,HOLMAN,-,-,1
2014-09-06,11,Burglary,10H40,Vacant Building (Commercial),2400-2499,HAMILTON,ST,-,1
2014-09-07,01,Aggravated Assault,10H40,,2100-2199,FANNIN,-,-,1
2014-09-07,04,Robbery,10H40,Bus Station,2200-2299,MAIN,ST,-,1
2014-09-07,10,Theft,10H40,"Furniture, Appliances, Radios, TV Store",3100-3199,TRAVIS,-,-,1
2014-09-09,14,Robbery,10H40,Bus Stop,3400-3499,FANNIN,-,-,1
2014-09-09,16,Robbery,10H40,Bar or Night Club,2400-2499,MAIN,ST,-,1
2014-09-12,14,Theft,10H40,Clothing Store,4200-4299,MAIN,ST,-,1
2014-09-29,15,Theft,10H40,,3200-3299,MILAM,-,-,1
2014-09-30,15,Theft,10H40,,1100-1199,TUAM,-,-,1
2014-09-27,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-28,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-30,18,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-16,01,Theft,10H40,,2100-2199,FANNIN,-,-,1
2014-09-15,02,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,BREMOND,ST,-,1
2014-09-19,14,Theft,10H40,Apartment Parking Lot,3600-3699,CHENEVERT,-,-,1
2014-09-20,09,Theft,10H40,Other Parking Lot,1400-1499,ROSALIE,-,-,1
2014-09-20,11,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-09-27,11,Theft,10H40,Bar or Night Club,3700-3799,MAIN,ST,-,1
2014-09-27,15,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-26,20,Theft,10H40,,3900-3999,FANNIN,-,-,1
2014-09-24,21,Aggravated Assault,10H40,"Road, Street, or Sidewalk",3500-3599,MILAM,-,-,1
2014-09-24,22,Theft,10H40,Restaurant or Cafeteria Parking Lot,3400-3499,MILAM,-,-,1
2014-09-25,09,Auto Theft,10H40,,4100-4199,FANNIN,-,-,1
2014-09-01,14,Robbery,10H40,"Field, Woods, Forest, Park",3200-3299,JACKSON,ST,-,1
2014-09-05,14,Theft,10H40,Commercial Building,3300-3399,FANNIN,-,-,1
2014-09-05,16,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-09-07,19,Aggravated Assault,10H40,Bar or Night Club,2400-2499,MAIN,ST,-,1
2014-09-10,09,Theft,10H40,,1700-1799,DREW,ST,-,1
2014-09-10,11,Theft,10H40,Office Building,3400-3499,FANNIN,ST,-,1
2014-09-11,12,Theft,10H40,,2600-2699,MAIN,ST,-,1
2014-09-16,10,Theft,10H40,,2100-2199,SAN JACINTO,-,-,1
2014-09-16,17,Theft,10H40,Bus Station,UNK,BLODGETT,ST,-,1
2014-09-26,16,Theft,10H40,,2100-2199,MAIN,ST,-,1
2014-09-23,09,Theft,10H40,Apartment Parking Lot,2700-2799,TRAVIS,-,-,1
2014-09-12,10,Theft,10H40,Bus Station,2100-2199,MAIN,ST,-,1
2014-09-08,15,Theft,10H40,,2400-2499,SAN JACINTO,-,-,1
2014-09-26,23,Theft,10H40,,2100-2199,MAIN,ST,-,1
2014-09-29,13,Burglary,10H40,,2200-2299,TRAVIS,-,-,1
2014-09-09,06,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-09,16,Aggravated Assault,10H40,Apartment,4600-4699,MAIN,ST,-,1
2014-09-10,16,Theft,10H40,,4200-4299,MAIN,ST,-,1
2014-08-29,09,Robbery,10H40,"Hotel, Motel, Inn, Etc.",2600-2699,CAROLINE,ST,-,1
2014-09-03,15,Theft,10H40,,2500-2599,SAN JACINTO,-,-,1
2014-09-05,02,Aggravated Assault,10H40,,2400-2499,SAN JACINTO,-,-,1
2014-09-13,15,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-19,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-26,10,Theft,10H40,"Road, Street, or Sidewalk",3900-3999,AUSTIN,ST,-,1
2014-09-27,03,Robbery,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,-,-,1
2014-09-28,08,Auto Theft,10H40,"Road, Street, or Sidewalk",2400-2499,SAN JACINTO,-,-,1
2014-09-24,01,Burglary,10H40,"Church, Synagogue, or Temple",4100-4199,MAIN,ST,-,1
2014-09-24,19,Theft,10H40,,1700-1799,FRANCIS,ST,-,1
2014-09-28,23,Aggravated Assault,10H40,,3400-3499,FANNIN,-,-,1
2014-09-23,10,Theft,10H40,Driveway,2300-2399,JACKSON,-,-,1
2014-09-24,15,Auto Theft,10H40,,3100-3199,CAROLINE,ST,-,1
2014-09-25,14,Theft,10H40,,4000-4099,FANNIN,ST,-,1
2014-09-18,08,Theft,10H40,,1700-1799,MCILHENNY,ST,-,1
2014-09-14,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-16,08,Theft,10H40,,3500-3599,MOSLEY,CT,-,1
2014-09-05,12,Theft,10H40,Department or Discount Store,4200-4299,MAIN,ST,-,1
2014-09-01,04,Auto Theft,10H40,,3000-3099,TRAVIS,-,-,1
2014-09-02,09,Theft,10H40,,1000-1099,ELGIN,ST,-,1
2014-09-02,13,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
2014-09-26,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2014-09-21,18,Theft,10H40,Bar or Night Club,UNK,BREMOND,ST,-,1
2014-09-20,15,Theft,10H40,,2600-2699,MILAM,-,-,1
2014-09-19,13,Aggravated Assault,10H40,Apartment,1500-1599,HOLMAN,-,-,1
2014-09-19,13,Theft,10H40,,4200-4299,SAN JACINTO,-,-,1
