Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-12-29,02,Murder,13D20,20A,8700-8799,BROADWAY,ST,-,1
2011-08-02,12,Murder,16E30,100,14800-14899,POST OAK,RD,S,1
2011-12-16,06,Murder,17E10,20A,7100-7199,HILLCROFT,-,-,1
2011-12-28,20,Murder,17E30,20A,8800-8899,BRAESWOOD,BLVD,S,1
2011-12-29,18,Murder,20G80,20A,14900-14999,RICHMOND,AVE,S,1
2011-12-18,20,Murder,17E20,18A,8500-8599,NAIRN,-,-,1
2011-12-20,22,Murder,10H50,20R,2200-2299,BRILEY,ST,-,1
2011-12-14,01,Murder,6B50,03B,100-199,NORTH SAM HOUSTON,PKWY,E,1
2011-09-27,17,Murder,9C40,100,200-299,MAXEY,RD,-,1
2011-12-18,02,Murder,10H60,20A,3500-3599,DIXIE,DR,-,1
2011-12-11,21,Murder,14D20,18A,4200-4299,BARBERRY,DR,-,1
2011-12-11,19,Murder,19G50,18A,10200-10299,FORUM WEST,DR,-,1
2011-12-16,07,Murder,11H30,13R,4100-4199,RIVER,DR,-,1
2011-12-01,03,Rape,6B60,18A,400-499,GREENS,RD,-,1
2011-12-16,06,Rape,2A20,05C,4500-4599,MAIN,-,N,1
2011-12-13,22,Rape,12D30,11R,11700-11799,PALMSPRINGS,DR,-,1
2011-12-11,11,Rape,14D10,18N,3900-3999,YELLOWSTONE,BLVD,-,1
2011-12-11,16,Rape,14D10,20A,5100-5199,BROWNCROFT,-,-,1
2011-12-26,18,Rape,19G50,140,10500-10599,SOUTHWEST,FWY SER,N,1
2011-12-19,00,Rape,16E40,20R,7500-7599,FUQUA,ST,W,1
2011-12-09,21,Rape,8C10,20R,5300-5399,FIRNAT,-,-,1
2011-12-28,21,Rape,12D10,13R,10100-10199,HARTSOOK,-,-,1
2011-12-29,01,Rape,9C40,13R,1000-1099,MAIN,ST,S,1
2011-12-16,13,Rape,4F30,20A,1500-1599,SHERWOOD FOREST,ST,-,1
2011-11-01,02,Rape,2A50,20P,3300-3399,MEMORIAL CREST,BLVD,-,1
2011-12-19,11,Rape,6B60,20A,13000-13099,NORTHBOROUGH,DR,-,1
2011-12-18,21,Rape,2A10,13R,600-699,HOGAN,-,-,1
2011-12-05,08,Rape,20G80,20A,1500-1599,ENCLAVE,PKWY,-,1
2011-12-09,23,Rape,11H10,20R,1100-1199,76TH,ST,N,1
2011-09-12,12,Rape,13D10,20R,7100-7199,GAMMAGE,ST,-,1
2011-12-29,15,Rape,8C60,20R,7300-7399,BIGWOOD,ST,-,1
2011-11-09,00,Rape,18F60,20R,9000-9099,BEECHNUT,ST,-,1
2011-12-23,22,Rape,19G50,20A,10200-10299,FORUM PARK,DR,-,1
2011-12-04,17,Rape,1A20,20R,200-299,FARGO,-,-,1
2011-12-09,09,Rape,11H20,20A,7500-7599,OFFICE CITY,DR,-,1
2011-12-18,21,Rape,2A50,09H,4000-4099,SPENCER,-,-,1
2011-12-12,11,Rape,1A30,20A,2000-2099,MARSHALL,-,-,1
