Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-12-02,16,Aggravated Assault,10H10,"Road, Street, or Sidewalk",200-299,BRYAN,-,-,1
2014-12-08,06,Theft,10H10,Driveway,200-299,LINWOOD,-,-,1
2014-12-08,19,Burglary,10H10,Apartment Parking Lot,2800-2899,CANAL,ST,-,1
2014-12-29,15,Auto Theft,10H10,"Road, Street, or Sidewalk",100-199,BASTROP,ST,-,1
2014-12-30,07,Burglary,10H10,Restaurant or Cafeteria,2700-2799,NAVIGATION,-,-,1
2014-12-20,02,Burglary,10H10,Residence or House,1900-1999,RUNNELS,-,-,1
2014-12-24,11,Theft,10H10,Convenience Store Parking Lot,5000-5099,HARRISBURG,-,-,1
2014-11-30,09,Theft,10H10,Bar or Night Club,3800-3899,HARRISBURG,-,-,1
2014-12-06,08,Auto Theft,10H10,Residence or House,400-499,LOCKWOOD,DR,-,1
2014-12-11,22,Burglary,10H10,Residence or House,300-399,HUTCHESON,-,-,1
2014-12-14,00,Auto Theft,10H10,"Road, Street, or Sidewalk",2100-2199,CANAL,ST,-,1
2014-12-19,04,Robbery,10H10,"Road, Street, or Sidewalk",6200-6299,HARRISBURG,-,-,1
2014-12-27,04,Robbery,10H10,Bar or Night Club,4000-4099,CANAL,ST,-,1
2014-12-27,15,Rape,10H10,Residence or House,300-399,DRENNAN,ST,N,1
2014-12-31,05,Robbery,10H10,"Road, Street, or Sidewalk",4200-4299,GARROW,-,-,1
2014-09-01,16,Theft,10H10,Apartment,200-299,GRACE,ST,-,1
2014-11-30,16,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2014-12-01,12,Robbery,10H10,Convenience Store,3300-3399,NAVIGATION,-,-,1
2014-12-15,15,Auto Theft,10H10,Apartment Parking Lot,2100-2199,CANAL,ST,-,1
2014-12-23,09,Aggravated Assault,10H10,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-,-,1
2014-12-23,17,Theft,10H10,Residence or House,400-499,SIDNEY,-,-,1
2014-12-25,17,Theft,10H10,"Road, Street, or Sidewalk",UNK,NORWOOD,-,-,1
2014-12-26,22,Aggravated Assault,10H10,Driveway,200-299,SUPER,-,-,1
2014-12-31,05,Aggravated Assault,10H10,Residence or House,200-299,EVERTON,ST,N,1
2014-11-26,23,Theft,10H10,"Factory, Manufacturing, or Industrial",6200-6299,INDUSTRIAL,WAY,-,1
2014-11-30,13,Aggravated Assault,10H10,Residence or House,5800-5899,SHERMAN,-,-,1
2014-12-10,18,Theft,10H10,Warehouse,6300-6399,NAVIGATION,-,-,1
2014-12-24,02,Robbery,10H10,"Road, Street, or Sidewalk",400-499,LOCKWOOD,DR,-,1
2014-12-27,22,Burglary,10H10,Residence or House,300-399,EASTWOOD,ST,-,1
2014-11-29,12,Theft,10H10,Garage or Carport,2100-2199,RUNNELS,-,-,1
2014-12-11,23,Burglary,10H10,Apartment,2100-2199,CANAL,ST,-,1
2014-12-14,12,Rape,10H10,Residence or House,2100-2199,RUNNELS,-,-,1
2014-12-15,01,Robbery,10H10,"Road, Street, or Sidewalk",3800-3899,COMMERCE,-,-,1
2014-12-15,16,Theft,10H10,"Factory, Manufacturing, or Industrial",4000-4099,NAVIGATION,-,-,1
2014-12-16,06,Burglary,10H10,Apartment,200-299,MILBY,-,-,1
2014-12-21,09,Aggravated Assault,10H10,Residence or House,300-399,NAGLE,-,N,1
2014-12-25,14,Theft,10H10,Residence or House,5100-5199,BRADY,ST,-,1
2014-12-29,13,Auto Theft,10H10,Restaurant or Cafeteria Parking Lot,2400-2499,NAVIGATION,-,-,1
2014-11-30,08,Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2014-12-07,15,Theft,10H10,Garage or Carport,4500-4599,IRA,-,-,1
2014-12-18,10,Theft,10H10,Restaurant or Cafeteria,2000-2099,RUNNELS,-,-,1
2014-12-18,19,Robbery,10H10,Miscellaneous Business (Non-Specific),200-299,LOCKWOOD,DR,S,1
2014-12-27,21,Burglary,10H10,Residence or House,5300-5399,AVENUE J,-,-,1
2014-12-12,14,Aggravated Assault,10H10,"Field, Woods, Forest, Park",2800-2899,NAVIGATION,-,-,1
2014-12-20,14,Theft,10H10,Other Parking Lot,300-399,JENSEN,DR,S,1
2014-12-23,06,Theft,10H10,Bar or Night Club,UNK,NORWOOD,-,-,1
2014-12-23,08,Auto Theft,10H10,"Road, Street, or Sidewalk",2100-2199,CANAL,ST,-,1
2014-12-23,13,Auto Theft,10H10,"Factory, Manufacturing, or Industrial",200-299,DELMAR,ST,-,1
2014-12-20,22,Burglary,10H20,Apartment,1500-1599,LOMBARDY,ST,-,1
