Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-02-26,04,Murder,7C30,18G,6900-6999,JENSEN,DR,-,1
2011-02-05,17,Murder,9C10,20R,1200-1299,TEAL,-,-,1
2011-02-21,11,Murder,12D10,20A,3900-3999,ARLINGTON SQUARE,DR,-,1
2011-02-06,13,Murder,10H50,20R,3200-3299,BERRY,ST,-,1
2011-02-13,04,Murder,12D20,03B,11000-11099,FUQUA,ST,-,1
2010-12-28,11,Murder,12D30,18A,4400-4499,SHAVER,ST,S,1
1988-09-16,14,Murder,7C10,18A,5300-5399,COKE,ST,-,1
2011-02-26,00,Murder,6B50,18A,100-199,DYNA,DR,-,1
2011-02-06,02,Murder,13D10,20A,6700-6799,FAIRWAY,DR,-,1
2011-02-13,19,Murder,5F20,18A,7900-7999,AMELIA,RD,-,1
2011-02-25,12,Murder,14D30,13R,7000-7099,SUR,CT,-,1
2011-02-20,18,Murder,20G20,20A,1200-1299,WILCREST,DR,-,1
2011-02-20,03,Murder,8C60,13R,11000-11099,HOMESTEAD,RD,-,1
2011-02-24,03,Murder,14D30,20R,5600-5699,KENILWOOD,DR,-,2
2011-02-05,02,Murder,2A40,20R,1300-1399,WINTER,-,-,1
2011-02-19,03,Murder,13D20,20A,8500-8599,BROADWAY,ST,-,1
2011-02-16,05,Murder,2A60,20A,2100-2199,ELLA,BLVD,-,1
2011-02-07,12,Rape,7C30,070,7600-7699,JENSEN,DR,-,1
2011-02-02,15,Rape,2A50,22E,5400-5499,CORNISH,ST,-,1
2011-02-20,04,Rape,2A50,18A,4400-4499,MEMORIAL,DR,-,1
2011-01-01,21,Rape,9C40,03S,500-599,UVALDE,RD,-,1
2010-12-13,17,Rape,11H10,140,6800-6899,AVE Q,-,-,1
2011-02-26,20,Rape,5F20,18A,1100-1199,BLALOCK,RD,-,1
2011-02-03,22,Rape,18F50,20A,8900-8999,RICHMOND,AVE,-,1
2011-02-12,00,Rape,19G50,18P,10500-10599,KIPP WAY,DR,-,1
2011-02-10,11,Rape,10H60,20R,5000-5099,CALHOUN,RD,-,1
2011-02-22,22,Rape,10H60,20A,3700-3799,SOUTHMORE,BLVD,-,1
2011-02-20,09,Rape,18F60,080,9500-9599,BEECHNUT,ST,-,1
2011-02-01,05,Rape,10H60,20A,3200-3299,SOUTHMORE,BLVD,-,1
2011-02-08,11,Rape,19G50,13R,9800-9899,BISSONNET,ST,-,1
2011-02-21,02,Rape,12D70,20A,200-299,EL DORADO,BLVD,W,1
2011-01-22,02,Rape,2A30,20C,400-499,HARVARD,ST,-,1
2011-02-23,00,Rape,5F20,250,9000-9099,KEMPWOOD,DR,-,1
2011-02-14,04,Rape,5F30,18O,5600-5699,GUHN,-,-,1
2011-02-11,15,Rape,17E20,20R,8100-8199,BRAES MEADOW,DR,-,1
2011-02-15,17,Rape,10H50,22H,3700-3799,SAMPSON,-,-,1
2011-02-04,18,Rape,1A50,18A,3700-3799,BISSONNET,ST,-,1
2010-10-15,22,Rape,17E40,20R,6100-6199,CLARIDGE,DR,-,1
2011-02-03,18,Rape,12D30,20A,11700-11799,FUQUA,ST,-,1
2011-02-26,22,Rape,13D10,23S,4300-4399,TELEPHONE,RD,-,1
2011-02-06,23,Rape,17E30,20A,8700-8799,GUSTINE,LN,-,1
2011-02-02,15,Rape,9C40,20R,12600-12699,DORWAYNE,CT,-,1
2011-02-06,17,Rape,24C20,20A,3700-3799,KINGWOOD,DR,-,1
2011-02-17,04,Rape,6B50,20R,15000-15099,KALER,RD,-,1
2011-02-17,21,Rape,6B60,20A,600-699,SEMINAR,DR,-,1
2011-02-25,04,Rape,2A40,20R,900-999,HENDERSON,-,-,1
2011-02-02,16,Rape,5F10,---,2200-2299,WIRT,RD,-,1
2011-01-13,14,Rape,3B30,250,2100-2199,LOU ELLEN,LN,-,1
2011-02-18,15,Rape,12D10,20R,1200-1299,LASKEY,-,-,1
2011-02-04,20,Rape,3B10,18U,9900-9999,HEMPSTEAD,HWY,-,1
2010-08-03,00,Rape,14D30,20R,5900-5999,BELLFORT,ST,-,1
2011-01-23,05,Rape,5F10,20R,6600-6699,MAYBANK,DR,-,1
2011-02-25,22,Rape,1A10,100,1400-1499,CONGRESS,-,-,1
1999-01-01,18,Rape,11H10,20R,7600-7699,AVE E,-,-,1
2011-02-28,18,Rape,11H10,20R,500-599,78TH,ST,N,1
2011-01-22,19,Rape,1A10,250,500-599,TEXAS,ST,-,1
