Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-02-06,19,Burglary,10H10,Residence or House,UNK,OLDHAM,-,-,1
2015-02-12,08,Burglary,10H10,Commercial Building,4600-4699,HARRISBURG,-,-,1
2015-02-14,21,Theft,10H10,Restaurant or Cafeteria Parking Lot,2700-2799,NAVIGATION,-,-,1
2015-02-20,20,Theft,10H10,Government or Public Building,1900-1999,RUNNELS,-,-,1
2015-02-14,09,Auto Theft,10H10,Bar or Night Club Parking Lot,3800-3899,CANAL,ST,-,1
2015-02-22,16,Aggravated Assault,10H10,Apartment Parking Lot,300-399,EASTWOOD,ST,-,1
2015-02-23,19,Robbery,10H10,Restaurant or Cafeteria,3400-3499,NAVIGATION,-,-,1
2015-02-10,23,Robbery,10H10,Bar or Night Club,300-399,MILBY,-,-,1
2015-02-17,05,Burglary,10H10,Bar or Night Club,3000-3099,CANAL,ST,-,1
2015-02-22,01,Murder,10H10,Residence or House,3100-3199,GARROW,-,-,1
2015-02-22,10,Auto Theft,10H10,Apartment Parking Lot,9900-9999,ARLINGTON SQURE,DR,-,1
2015-02-02,10,Theft,10H10,Residence or House,UNK,CLIFTON,-,-,1
2015-02-05,09,Robbery,10H10,"Road, Street, or Sidewalk",4500-4599,HARRISBURG,-,-,1
2015-02-18,22,Robbery,10H10,"Road, Street, or Sidewalk",2000-2099,RUNNELS,-,-,1
2015-02-19,13,Burglary,10H10,"Road, Street, or Sidewalk",200-299,EVERTON,ST,N,1
2015-02-23,00,Aggravated Assault,10H10,Bar or Night Club,4800-4899,CANAL,ST,-,1
2015-02-07,11,Burglary,10H10,Residence or House,2500-2599,CANAL,ST,-,1
2015-02-14,09,Theft,10H10,"Road, Street, or Sidewalk",2400-2499,COMMERCE,ST,-,1
2015-02-15,11,Theft,10H10,Commercial Building,2000-2099,RUNNELS,-,-,1
2015-02-18,12,Theft,10H10,Middle School,4400-4499,NAVIGATION,-,-,1
2015-02-18,17,Theft,10H10,Apartment,2100-2199,CANAL,ST,-,1
2015-02-20,10,Burglary,10H10,Residence or House,4300-4399,GARROW,-,-,1
2015-02-04,15,Theft,10H10,Vacant Building (Commercial),3500-3599,HARRISBURG,-,-,1
2015-02-09,16,Burglary,10H10,Residence or House,5000-5099,BRADY,ST,-,1
2015-02-16,05,Robbery,10H10,Driveway,3700-3799,ENGELKE,-,-,1
2015-02-17,14,Auto Theft,10H10,Residence or House,100-199,SUPER,ST,N,1
2015-02-21,15,Robbery,10H20,Convenience Store,1600-1699,HENNINGER,-,-,1
2015-02-12,17,Burglary,10H20,Residence or House,5100-5199,LINDSAY,-,-,1
2015-02-08,14,Murder,10H20,Apartment,1600-1699,MARLIN,ST,-,1
