Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-01-08,,22,Murder,11H30,20R,3000-3099,BROADWAY,ST,-,1
2010-01-17,,18,Murder,10H50,18C,2800-2899,MCGOWEN,ST,-,1
2010-01-01,,00,Murder,15E30,18A,9600-9699,MARLIVE,LN,-,1
2010-01-09,,14,Murder,5F20,13R,9000-9099,LONG POINT,RD,-,1
2010-01-18,,14,Murder,10H40,13R,4300-4399,GARROTT,ST,-,1
2010-01-18,,16,Murder,8C20,070,8100-8199,HOMESTEAD,RD,-,1
2010-01-06,,18,Murder,6B40,20R,1000-1099,MARJORIE,-,-,1
2010-01-06,,18,Murder,8C50,20R,8200-8299,PARKER,RD,-,1
2010-01-07,,01,Murder,10H50,13R,2700-2799,CANFIELD,ST,-,1
2010-01-15,,22,Murder,10H60,20R,3400-3499,TAMPA,-,-,1
2010-01-07,,15,Murder,8C20,20A,6700-6799,BENNINGTON,-,-,1
2009-08-06,,17,Murder,3B50,20A,100-199,BENNIE,ST,-,1
2010-01-22,,15,Murder,19G10,13R,9900-9999,CLUB CREEK,DR,-,1
1995-08-07,,22,Murder,9C40,070,800-899,UVALDE,RD,-,1
2009-01-08,,11,Murder,7C50,100,6300-6399,GREENS,RD,-,1
2010-01-05,,15,Murder,6B60,20A,1300-1399,GREENS,PKWY,-,1
2010-01-05,,22,Murder,19G50,18A,10200-10299,BISSONNET,ST,-,1
2010-01-10,,23,Murder,2A50,20R,1100-1199,THOMPSON,-,-,1
2008-04-18,,00,Murder,11H50,18N,3400-3499,RICHEY,-,S,1
2010-02-11,,17,Rape,10H70,250,6600-6699,FANNIN,-,-,1
2008-01-29,,12,Rape,13D20,20A,7600-7699,BELLFORT,ST,-,1
2010-01-22,,23,Rape,6B40,18N,7500-7599,DE PRIEST,ST,-,1
2009-08-31,,06,Rape,19G40,20R,10700-10799,NOBILITY,DR,-,1
1966-01-01,,00,Rape,10H50,20A,3300-3399,ALABAMA,ST,-,1
2010-01-21,,18,Rape,10H70,20R,1500-1599,BEN TAUB LOOP,-,-,1
2009-01-12,,23,Rape,20G70,20A,12600-12699,ASHFORD POINT,DR,-,1
2010-01-15,,13,Rape,16E40,20R,16500-16599,QUAIL MEADOW,DR,-,1
2010-01-27,,12,Rape,20G10,20A,9200-9299,CLAREWOOD,DR,-,1
2010-01-01,,06,Rape,10H10,20R,2300-2399,SPERBER,LN,-,1
2009-12-17,,20,Rape,16E20,250,5200-5299,DANFIELD,DR,-,1
2010-01-28,,06,Rape,2A60,20R,1600-1699,NORTH LP W,-,-,1
2009-09-01,,00,Rape,6B50,---,11900-11999,AIRLINE,DR,-,1
2010-01-02,,11,Rape,19G10,20A,7500-7599,CORPORATE,DR,-,1
2009-01-01,,00,Rape,12D60,20R,16800-16899,HOLLY TRAIL,DR,-,1
2010-01-24,,00,Rape,15E30,20A,7500-7599,BROMPTON,ST,-,1
2010-01-27,,14,Rape,7C20,18A,2800-2899,COLLINGSWORTH,-,-,1
2010-01-02,,17,Rape,9C10,20R,1100-1199,FIDELITY,ST,-,1
2010-01-01,,03,Rape,17E10,250,5900-5999,GLENMONT,DR,-,1
2010-01-22,,10,Rape,18F50,140,6700-6799,SOUTHWEST,FWY,-,1
2010-01-10,,20,Rape,7C30,05H,2300-2399,BERRY,RD,-,1
2010-01-19,,17,Rape,11H40,20R,1000-1099,RUELL,-,-,1
2010-01-25,,22,Rape,13D20,18A,8200-8299,BROADWAY,ST,-,1
2010-01-01,,08,Rape,16E40,20R,5800-5899,MACKINAW,RD,-,1
2010-01-24,,04,Rape,5F20,20A,3400-3499,BLALOCK,RD,-,1
2010-01-13,,10,Rape,14D10,20A,3300-3399,YELLOWSTONE,BLVD,-,1
2010-01-16,,01,Rape,2A60,13R,1600-1699,NORTH LP W,-,-,1
2010-01-11,,14,Rape,10H40,13R,4200-4299,MAIN,ST,-,1
2010-01-30,,05,Rape,2A60,140,1600-1699,NORTH LP W,SER,S,1
2010-01-07,,17,Rape,19G40,100,13200-13299,WEB,LN,-,1
2010-01-24,,01,Rape,6B20,20R,1100-1199,DESOTO,ST,-,1
2010-01-18,,08,Rape,6B60,05O,400-499,BENMAR,DR,-,1
2010-01-30,,02,Rape,20G60,13R,14300-14399,LOST MEADOW,LN,-,1
2010-01-24,,20,Rape,19G50,250,10800-10899,WILCREST,DR,-,1
2010-01-08,,20,Rape,8C40,250,8000-8099,MESA,DR,-,1
2010-01-07,,13,Rape,2A60,20A,1700-1799,T C JESTER,BLVD,W,1
2010-01-16,,02,Rape,4F30,20R,1300-1399,MOORWICK,LN,-,1
2010-01-11,,01,Rape,13D20,18A,7600-7699,GLENVIEW,DR,-,1
2010-01-01,,13,Rape,18F30,140,5800-5899,SOUTHWEST,FWY,-,1
2010-01-05,,22,Rape,17E40,20A,12100-12199,FONDREN,RD,-,1
2010-01-05,,10,Rape,20G70,20R,3200-3299,WESTWICK,DR,-,1
2009-12-23,,02,Rape,5F30,140,12900-12999,NORTHWEST,FWY,-,1
2010-01-12,,02,Rape,2A60,250,1600-1699,NORTH LP W,-,-,1
2010-01-31,,04,Rape,9C40,13H,900-999,FEDERAL,RD,-,1
2010-01-10,,20,Rape,6B60,20A,16800-16899,CITY VIEW,PL,-,1
2010-01-23,,14,Rape,12D20,20R,9900-9999,CARMALEE,-,-,1
2010-01-19,,23,Rape,11H30,040,8100-8199,KINGSLEY,-,-,1
2010-01-22,,19,Rape,9C40,18A,12200-12299,FLEMING,DR,-,1
2010-01-20,,00,Rape,10H50,100,3200-3299,HOLMAN,-,-,1
2010-01-12,,13,Rape,10H50,20R,2200-2299,TRUXILLO,-,-,1
2009-12-15,,18,Rape,20G40,20R,12800-12899,CHASELAND,LN,-,1
2006-07-01,,00,Rape,20G40,20R,1400-1499,HEATHWOOD,DR,-,1
2010-01-29,,03,Rape,5F30,070,13400-13499,NORTHWEST,FWY,-,1
2009-11-14,,00,Rape,20G40,20R,1400-1499,HEATHWOOD,DR,-,1
2010-01-24,,01,Rape,10H40,100,3800-3899,TRAVIS,ST,-,1
