Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2012-01-21,03,Murder,19G40,13A,12700-12799,DAIRY BROOK,DR,-,2
2011-11-24,17,Murder,14D10,13R,4500-4599,BALKIN,ST,-,1
2012-01-21,01,Murder,6B20,05E,7000-7099,SHEPHERD,DR,N,1
2012-01-11,09,Murder,1A50,20R,3000-3099,LAS PALMAS,DR,-,1
2011-06-03,08,Murder,3B10,20A,5800-5899,SUNFOREST,-,-,1
2012-01-09,03,Murder,14D20,250,3500-3599,AMOS,ST,-,1
2012-01-15,23,Murder,18F30,13R,800-899,AUGUSTA,DR,-,1
2012-01-12,20,Murder,15E20,20R,5700-5799,SANFORD,RD,-,1
2012-01-12,22,Murder,8C40,20R,9300-9399,LAURA KOPPE,RD,-,1
2012-01-13,03,Murder,8C60,20R,6300-6399,MICOLLET,-,-,1
2012-01-03,19,Murder,14D10,13R,6800-6899,FOSTER,ST,-,1
2012-01-19,10,Murder,1A30,20R,1700-1799,WELCH,-,-,1
2012-01-10,21,Murder,20G40,20A,2400-2499,GRAY FALLS,DR,-,1
2012-01-14,12,Murder,14D20,20R,3600-3699,BLOOMFIELD,ST,-,1
2012-01-12,19,Rape,6B10,20R,1100-1199,WELLINGTON,-,-,1
2012-01-24,05,Rape,3B30,20R,4400-4499,ELLA,BLVD,-,1
2012-01-01,09,Rape,11H20,05P,2800-2899,GULF CREEK,DR,-,1
2012-01-27,03,Rape,1A10,03B,700-799,FRANKLIN,ST,-,1
2012-01-01,05,Rape,16E30,13B,15200-15299,POST OAK,RD,S,1
2012-01-01,03,Rape,8C60,20R,7300-7399,LANGLEY,-,-,1
2012-01-29,19,Rape,2A10,20R,100-199,FRAWLEY,-,-,1
2012-01-27,13,Rape,3B10,20R,6300-6399,GRANITE,-,-,1
2011-12-27,01,Rape,19G10,20A,7700-7799,CORPORATE,DR,-,1
2012-01-07,22,Rape,18F30,20A,6300-6399,BEVERLYHILL,ST,-,1
2012-01-15,01,Rape,19G50,20A,10200-10299,BISSONNET,ST,-,1
1999-01-31,07,Rape,3B40,20R,800-899,32ND,ST,E,1
2012-01-01,23,Rape,17E10,13R,7300-7399,ASHCROFT,DR,-,1
2012-01-15,17,Rape,5F10,20R,7600-7699,KATY,FWY,-,1
1994-03-01,00,Rape,19G40,20R,10100-10199,LEAWOOD,BLVD,-,1
2012-01-12,01,Rape,17E10,13R,6600-6699,SOUTHWEST,FWY,-,1
2012-01-30,14,Rape,7C10,20P,2200-2299,WEST,ST,-,1
2012-01-31,14,Rape,3B10,140,5500-5599,34TH,ST,W,1
2012-01-18,22,Rape,12D10,20A,3900-3999,ARLINGTON SQUARE,DR,-,1
2012-01-27,08,Rape,1A50,20A,4700-4799,OAKSHIRE,DR,-,1
2012-01-23,00,Rape,10H30,20A,800-899,ST EMANUEL,-,-,1
2011-01-03,20,Rape,14D20,20R,3700-3799,NOAH,-,-,1
2012-01-09,09,Rape,14D10,20A,5100-5199,BROWNCROFT,-,-,1
2011-01-16,00,Rape,17E30,20A,10100-10199,GESSNER,DR,S,1
2012-01-23,19,Rape,20G30,250,2800-2899,DAIRY ASHFORD,-,S,1
2012-01-16,08,Rape,6B30,20A,5700-5799,DEEP FOREST,DR,-,1
2012-01-22,02,Rape,14D40,18A,11900-11999,MARTIN LUTHER KING,BLVD,-,1
2011-11-01,15,Rape,10H20,20R,1500-1599,ELLIOTT,ST,-,1
2012-01-19,09,Rape,17E40,20A,8000-8099,AIRPORT,BLVD,W,1
2011-01-03,00,Rape,14D40,20R,11800-11899,BAY CEDAR,DR,-,1
2011-11-03,00,Rape,10H50,20R,3300-3399,WEBSTER,-,-,1
2012-01-31,22,Rape,10H40,13R,4200-4299,FANNIN,-,-,1
2012-01-14,17,Rape,11H20,20A,7700-7799,GLOVER,-,-,1
2012-01-19,16,Rape,2A10,20R,2900-2999,ROBERTSON,-,-,1
2012-01-16,13,Rape,16E40,250,16800-16899,AMY RIDGE,RD,-,1
2012-01-22,01,Rape,19G50,140,10500-10599,BISSONNET,ST,-,1
2012-01-22,21,Rape,6B60,100,17600-17699,IMPERIAL VALLEY,DR,-,1
2012-01-06,15,Rape,6B20,20A,3700-3799,PINEMONT,DR,-,1
2012-01-23,00,Rape,6B50,20R,15100-15199,DOGWOOD TREE,ST,-,1
2012-01-09,17,Rape,17E10,20A,5400-5499,RAMPART,-,-,1
2011-02-02,00,Rape,3B10,13R,6000-6099,ANTOINE,DR,-,1
2012-01-06,22,Rape,18F30,13R,3300-3399,GREENRIDGE,DR,W,1
2012-01-06,13,Rape,16E10,20R,12600-12699,MONARCH,RD,-,1
2011-11-24,12,Rape,20G20,18A,10400-10499,VALLEY FORGE,-,-,1
2012-01-16,23,Rape,8C10,20P,4900-4999,WEAVER,RD,-,1
2009-01-01,12,Rape,16E40,20R,16100-16199,ROSENRIDGE,DR,-,1
2007-01-01,16,Rape,11H20,20A,7200-7299,WOODRIDGE,DR,-,1
2012-01-11,04,Rape,11H30,20A,7900-7999,SOUTH LP E,-,-,1
2012-01-14,04,Rape,20G10,140,2900-2999,WEST SAM HOUSTON,PKWY,S,1
2012-01-14,02,Rape,6B60,20A,600-699,RUSHCREEK,DR,-,1
2011-05-06,00,Rape,4F20,20A,10000-10099,HAMMERLY,-,-,1
2011-11-29,18,Rape,19G50,13R,10500-10599,SOUTH,DR,-,1
2012-01-23,05,Rape,12D30,20R,12600-12699,GREEN,DR,S,1
2012-01-20,18,Rape,16E10,13R,12100-12199,KIRBY,DR,-,1
2006-01-01,17,Rape,11H30,05Z,7900-7999,EASTON,ST,-,1
2012-01-09,18,Rape,14D20,22H,9200-9299,SCOTT,-,-,1
2012-01-07,19,Rape,1A10,250,1900-1999,TRAVIS,ST,-,1
1982-01-01,15,Rape,19G30,20A,13000-13099,LEADER,ST,-,1
2012-01-14,15,Robbery,1A20,13R,100-199,TUAM,-,-,1
2012-01-20,22,Robbery,8C20,13R,6600-6699,LOCKWOOD,DR,-,1
2012-01-17,22,Robbery,24C20,18T,4000-4099,LAKE HOUSTON,PKWY,W,1
2012-01-17,23,Robbery,19G10,18A,9200-9299,WOODFAIR,DR,-,1
2012-01-20,23,Robbery,8C40,18N,8000-8099,MESA,DR,-,1
2012-01-26,22,Robbery,18F30,20A,6100-6199,WINSOME,LN,-,1
2012-01-30,03,Robbery,7C20,13R,4900-4999,HOFFMAN,-,-,1
2012-01-14,17,Robbery,4F20,18A,9500-9599,KEMPWOOD,DR,-,1
2012-01-20,20,Robbery,18F50,05P,3800-3899,GESSNER,DR,S,1
2012-01-21,00,Robbery,6B60,11R,500-599,GREENS,RD,-,1
2012-01-30,14,Robbery,18F60,02B,8300-8399,SOUTHWEST,FWY,-,1
2012-01-14,18,Robbery,14D20,250,3600-3699,BELLFORT,ST,-,1
2012-01-14,18,Robbery,13D40,18A,10200-10299,TELEPHONE,RD,-,1
2012-01-14,19,Robbery,2A10,13R,1100-1199,QUITMAN,-,-,1
2012-01-14,19,Robbery,2A10,13R,1400-1499,ALBER,ST,-,1
2012-01-14,19,Robbery,20G80,210,2800-2899,HWY 6,-,S,1
2012-01-18,06,Robbery,3B30,23S,3000-3099,ELLA,BLVD,-,1
2012-01-21,01,Robbery,1A20,13R,600-699,FAIRVIEW,ST,-,1
2012-01-14,19,Robbery,15E10,250,300-399,MEYERLAND PLAZA,-,-,1
2012-01-14,20,Robbery,12D10,18A,1200-1299,REDFORD,-,-,1
2012-01-14,20,Robbery,13D20,18A,8700-8799,BROADWAY,ST,-,1
2012-01-21,02,Robbery,17E30,18C,9200-9299,BISSONNET,ST,-,1
2012-01-21,03,Robbery,20G10,18A,9800-9899,MEADOWGLEN,LN,-,1
2012-01-14,20,Robbery,6B40,210,9400-9499,NORTH,FWY,-,1
2012-01-14,21,Robbery,19G20,13R,4500-4599,WILDACRES,DR,-,1
2012-01-14,21,Robbery,13D20,20D,6800-6899,RIDGEWAY,DR,-,1
2012-01-21,04,Robbery,17E20,18A,6900-6999,BISSONNET,ST,-,1
2012-01-21,06,Robbery,17E40,18A,6200-6299,BELLFORT,ST,W,1
2012-01-13,14,Robbery,17E30,18A,8700-8799,GUSTINE,LN,-,1
2012-01-21,06,Robbery,14D20,20D,9600-9699,BUFFUM,ST,-,1
2011-12-31,21,Robbery,6B30,13R,6800-6899,ALABONSON,RD,-,1
2012-01-01,03,Robbery,1A50,18C,2900-2999,WESTPARK,-,-,1
2012-01-04,19,Robbery,17E30,20A,10100-10199,GESSNER,DR,S,1
2012-01-04,22,Robbery,6B30,18A,5800-5899,GULF BANK,RD,W,1
2012-01-01,13,Robbery,17E10,13R,6000-6099,CHIMNEY ROCK,RD,-,1
2012-01-01,14,Robbery,13D40,18A,7900-7999,SOUTH SAM HOUSTON,PKWY,E,1
2012-01-05,01,Robbery,9C40,18N,11900-11999,EAST,FWY,-,1
2012-01-01,13,Robbery,13D40,18A,7900-7999,SOUTH SAM HOUSTON,PKWY,E,1
2012-01-05,02,Robbery,3B40,18R,2900-2999,AIRLINE,DR,-,1
2012-01-14,09,Robbery,12D20,20A,9800-9899,BLACKHAWK,BLVD,-,1
2012-01-14,23,Robbery,3B40,20R,300-399,41ST,ST,E,1
2012-01-18,07,Robbery,3B10,18A,5300-5399,DEEP FOREST,DR,-,1
2012-01-14,23,Robbery,18F20,09D,5200-5299,RICHMOND,AVE,-,1
2012-01-15,00,Robbery,20G60,210,700-799,DAIRY ASHFORD,-,-,1
2012-01-18,10,Robbery,5F30,18R,13000-13099,NORTHWEST,FWY,-,1
2012-01-26,22,Robbery,17E40,13R,6900-6999,AIRPORT,BLVD,W,1
2012-01-15,00,Robbery,18F30,18A,6300-6399,WINDSWEPT,LN,-,1
2012-01-15,01,Robbery,18F30,18A,6300-6399,SKYLINE,DR,-,1
2012-01-18,10,Robbery,6B10,250,200-299,LITTLE YORK,RD,E,1
2011-01-18,11,Robbery,4F10,080,1100-1199,LUMPKIN,-,-,1
2012-01-27,09,Robbery,7C10,20P,1400-1499,BRINGHURST,ST,-,1
2012-01-15,01,Robbery,18F30,18S,3100-3199,BERING,DR,-,1
2012-01-15,01,Robbery,9C40,18A,12300-12399,FLEMING,DR,-,1
2012-01-17,11,Robbery,15E20,18A,10600-10699,POST OAK,RD,S,1
2012-01-18,11,Robbery,2A60,250,900-999,NORTH LP W,-,-,1
