Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2012-07-02,19,Murder,4F20,18R,11300-11399,CLAY,RD,-,2
2012-07-29,12,Murder,6B20,20A,5600-5699,YALE,-,-,1
2012-07-17,16,Murder,7C20,20R,3700-3799,LELIA,-,-,2
2012-07-08,02,Murder,6B30,13R,7200-7299,T C JESTER,BLVD,-,1
2012-07-25,22,Murder,8C10,18A,9500-9599,CROFTON,ST,-,1
2012-07-20,03,Murder,12D10,13R,9800-9899,LEDGE,-,-,1
2012-07-25,17,Murder,11H40,20R,5500-5599,SHAMROCK,-,-,1
2012-07-13,18,Murder,17E10,190,6200-6299,WESTWARD,-,-,1
2012-07-31,03,Murder,19G50,18A,10200-10299,FORUM PARK,DR,-,1
2012-07-27,15,Murder,19G20,20R,10700-10799,CORONA,LN,-,1
2012-07-21,23,Murder,11H20,05P,1500-1599,EVERGREEN,DR,-,1
2012-07-18,14,Murder,3B10,20R,5700-5799,SAXON,-,-,1
2012-07-21,11,Murder,20G40,20A,2200-2299,HAYES,RD,-,1
2012-07-21,02,Murder,14D20,20A,10000-10099,CULLEN,BLVD,-,1
2011-11-15,17,Murder,1A50,20R,5300-5399,WESLAYAN,-,-,1
2012-07-23,16,Murder,19G40,20A,9400-9499,COVENTRY SQUARE,DR,-,1
2012-07-23,16,Murder,17E10,20A,5500-5599,EL CAMINO DEL REY,-,-,1
2012-07-11,21,Murder,17E40,13R,11100-11199,ALBURY,DR,-,1
2012-07-23,04,Murder,7C50,13R,20900-20999,BIRNAM WOOD,BLVD,-,1
2012-07-19,19,Murder,11H30,20A,7900-7999,SOUTH LP E,-,-,1
2012-07-31,02,Rape,1A10,13R,1100-1199,FANNIN,-,-,1
2012-07-25,12,Rape,13D10,140,3300-3399,TELEPHONE,RD,-,1
1999-01-01,00,Rape,3B40,20A,5000-5099,YALE,-,-,1
2000-10-01,00,Rape,24C10,20R,1300-1399,KINGWOOD,DR,-,1
2012-07-22,02,Rape,2A20,250,2000-2099,AIRLINE,DR,-,1
2012-07-23,01,Rape,16E30,20R,6500-6599,BROOKFIELD,DR,-,1
2012-07-13,02,Rape,UNK,20A,700-799,FM 1960,-,W,1
2011-07-01,00,Rape,7C10,20R,2000-2099,WORMS,-,-,1
2012-07-21,02,Rape,24C20,20A,3400-3499,KINGWOOD,DR,-,1
2011-12-01,12,Rape,8C30,20R,7800-7899,DARLINGTON,DR,-,1
2012-07-06,01,Rape,6B50,20A,11400-11499,GREEN PLAZA,DR,-,1
2012-07-15,02,Rape,10H70,05Z,6400-6499,FANNIN,-,-,1
2012-07-09,23,Rape,6B50,03B,11400-11499,NORTH,FWY,-,1
2012-07-21,00,Rape,1A10,13R,1100-1199,MAIN,ST,-,1
2012-07-26,22,Rape,18F50,20A,7200-7299,BELLERIVE,DR,-,1
2009-07-01,00,Rape,20G40,20A,11700-11799,SOUTHLAKE,DR,-,1
2012-07-12,12,Rape,16E20,22H,13700-13799,WHITE HEATHER,-,-,1
2012-07-21,09,Rape,12D20,20R,10400-10499,SAGEDOWNE,LN,-,1
