Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2009-06-24,,14,Murder,18F40,18A,2900-2999,CROSSVIEW,DR,-,1
2009-06-24,,10,Murder,16E20,20R,4800-4899,MACRIDGE,BLVD,-,1
2009-06-23,,21,Murder,17E10,18T,6700-6799,HILLCROFT,-,-,1
2009-06-08,,00,Murder,3B40,11R,900-999,40TH 1/2,ST,E,1
2009-06-03,,23,Murder,9C30,20R,3900-3999,MANITOU,DR,-,1
2009-03-29,,02,Murder,18F50,18N,7600-7699,DASHWOOD,DR,-,1
2009-06-28,,05,Murder,18F50,20A,5800-5899,FONDREN,RD,-,1
2009-06-14,,18,Murder,6B10,13R,11000-11099,HARDY,RD,W,1
2009-05-31,,10,Murder,19G50,19V,10500-10599,ROCKLEY,RD,-,1
2009-06-20,,02,Murder,17E30,20A,8800-8899,BRAESWOOD,BLVD,S,1
2009-06-11,,20,Murder,20G60,20A,600-699,NOTTINGHAM OAKS,TRL,-,1
2009-06-03,,08,Murder,10H10,070,3700-3799,HARRISBURG,BLVD,-,2
2009-06-06,,06,Murder,6B60,18A,1100-1199,LANGWICK,DR,-,1
2009-06-06,,04,Murder,17E10,18N,6000-6099,HILLCROFT,-,-,1
2009-06-30,,01,Murder,20G10,20A,9300-9399,TOWN PARK,DR,-,1
2009-06-18,,19,Murder,8C60,100,5500-5599,VAN ZANDT,-,-,1
2009-06-18,,20,Murder,9C20,20D,600-699,WOOLWORTH,-,-,1
2009-06-22,,06,Murder,7C20,20R,5100-5199,LELIA,-,-,1
2009-06-02,,22,Murder,19G50,20A,10600-10699,WILCREST,DR,-,1
2009-06-13,,03,Murder,7C20,20D,3800-3899,WYLIE,-,-,1
2008-09-08,,02,Murder,14D20,100,8400-8499,SCOTT,-,-,1
2009-06-05,,02,Murder,2A30,18N,2700-2799,SHEPHERD,DR,N,1
2009-06-29,,07,Murder,3B10,20R,4900-4999,HOOVER,-,-,1
2006-04-07,,11,Murder,20G20,20A,1200-1299,WILCREST,DR,-,1
2009-06-16,,17,Murder,18F30,18A,6100-6199,FAIRDALE,LN,-,2
2009-06-06,,05,Rape,14D20,20R,9500-9599,CHESTERFIELD,DR,-,1
2009-06-03,,22,Rape,20G30,20D,10800-10899,RICHMOND,AVE,-,1
2009-06-26,,18,Rape,7C10,20A,5300-5399,COKE,ST,-,1
2009-06-26,,21,Rape,17E30,20A,8700-8799,BRAESWOOD,BLVD,S,1
2009-06-05,,17,Rape,6B20,140,7100-7199,SHEPHERD,DR,N,1
2009-06-13,,00,Rape,6B10,20R,800-899,DUNKLEY,DR,-,1
2009-06-13,,12,Rape,2A10,13R,1000-1099,BOUNDARY,-,-,1
2009-06-12,,12,Rape,6B30,---,5300-5399,GULF BANK,RD,W,1
2009-06-24,,17,Rape,10H40,20R,4200-4299,FANNIN,-,-,1
2009-06-12,,21,Rape,10H30,250,400-499,DOWLING,ST,-,1
2009-06-26,,02,Rape,7C20,140,4200-4299,KELLEY,-,-,1
2009-06-12,,19,Rape,13D20,18R,8300-8399,BROADWAY,ST,-,1
2009-06-23,,02,Rape,12D60,20A,1900-1999,BAY AREA,BLVD,-,1
2009-06-07,,17,Rape,5F20,18A,2000-2099,OJEMAN,RD,-,1
2009-06-07,,21,Rape,9C40,20R,1100-1199,WESTMONT,DR,-,1
2009-06-10,,10,Rape,7C20,20R,3200-3299,EASTEX,FWY,-,1
2009-05-24,,04,Rape,2A10,20A,4400-4499,FULTON,ST,-,1
2009-06-15,,11,Rape,4F30,20A,1500-1599,SHERWOOD FOREST,ST,-,1
2009-01-01,,00,Rape,14D30,20R,5400-5499,HERON,DR,-,1
2009-06-25,,18,Rape,11H10,22H,7000-7099,AVE K,-,-,1
2009-02-01,,00,Rape,1A20,20R,1000-1099,WAUGH,-,-,1
2009-06-20,,00,Rape,8C20,20A,6600-6699,LOCKWOOD,DR,-,1
2009-06-07,,05,Rape,7C10,20R,1000-1099,GREGG,ST,-,1
2009-06-09,,23,Rape,UNK,250,12000-12099,NORTH SAM HOUSTON,PKWY,E,1
2009-06-22,,22,Rape,19G10,250,8800-8899,BOONE,RD,-,1
2009-05-29,,00,Rape,8C40,20R,9100-9199,TALTON,-,-,1
2009-06-12,,10,Rape,20G70,20R,3100-3199,HAZEL PARK,DR,-,1
2009-06-15,,09,Rape,7C10,20R,4600-4699,SHARON,-,-,1
2009-05-01,,12,Rape,17E10,20A,6100-6199,RENWICK,-,-,1
2009-06-22,,03,Rape,14D20,20A,4200-4299,BARBERRY,DR,-,1
2009-06-14,,21,Rape,18F30,20A,6100-6199,SOUTHWEST,FWY,-,1
2009-06-20,,15,Rape,20G50,20A,700-799,BATESWOOD,DR,-,1
2009-05-20,,18,Rape,19G10,20A,10200-10299,CLUB CREEK,DR,-,1
2009-06-20,,06,Rape,6B30,18N,6800-6899,BINGLE,RD,-,1
2009-06-12,,21,Rape,10H40,20C,3000-3099,LA BRANCH,-,-,1
1993-07-13,,10,Rape,6B40,20R,1400-1499,WILLOW ROCK,RD,-,1
2009-06-27,,18,Rape,5F20,20A,2000-2099,OJEMAN,RD,-,1
2008-06-09,,01,Rape,20G70,20A,12600-12699,ASHFORD POINT,DR,-,1
2006-12-07,,00,Rape,9C40,20A,600-699,MAXEY,RD,-,1
2009-06-11,,03,Rape,2A60,20A,1600-1699,NORTH LP W,-,-,1
2009-06-10,,21,Rape,10H10,13R,500-599,ADAMS,ST,N,1
2009-06-26,,09,Rape,18F50,20A,9200-9299,PAGEWOOD,LN,-,1
2009-06-14,,04,Rape,17E10,23S,6000-6099,HILLCROFT,-,-,1
2009-06-20,,15,Rape,3B10,20A,4600-4699,SHERWOOD,LN,-,1
2009-06-22,,16,Rape,7C30,20R,7200-7299,JENSEN,DR,-,1
2009-06-03,,00,Rape,3B40,13R,4400-4499,AIRLINE,DR,-,1
2009-06-14,,01,Rape,11H10,20P,7200-7299,AVE F,-,-,1
2009-06-27,,02,Rape,15E40,100,1600-1699,SOUTH LP W,-,-,1
2009-06-29,,22,Rape,19G10,18A,8000-8099,BOONE,RD,-,1
2009-04-01,,00,Rape,17E30,20R,10600-10699,OFFER,DR,-,1
2009-06-06,,02,Rape,15E40,20A,8300-8399,EL MUNDO,ST,-,1
2009-06-24,,16,Rape,19G10,20A,8800-8899,BOONE,RD,-,1
1996-07-13,,10,Rape,6B40,20R,1400-1499,WILLOW ROCK,RD,-,1
2009-06-06,,12,Rape,UNK,20M,500-599,GULF BANK,RD,W,1
2009-06-08,,00,Rape,14D20,20R,4400-4499,GALESBURG,ST,-,1
2009-06-02,,07,Rape,6B50,20A,11900-11999,AIRLINE,DR,-,1
2009-06-26,,02,Rape,18F40,20A,2800-2899,ROLIDO,DR,-,1
2009-06-09,,23,Rape,10H60,18M,2600-2699,RIVERSIDE,DR,-,1
2009-06-10,,16,Rape,6B60,20A,13500-13599,NORTHBOROUGH,DR,-,1
2009-06-21,,04,Rape,19G10,20A,8500-8599,WEST SAM HOUSTON,PKWY,S,1
2009-06-11,,11,Rape,6B40,250,1400-1499,GULF BANK,RD,W,1
2009-05-17,,15,Rape,6B20,APT,5800-5899,TUSKEGEE,-,-,1
2009-06-08,,03,Rape,10H40,20A,3900-3999,MAIN,ST,-,1
2009-06-01,,20,Rape,17E30,210,9500-9599,SOUTHWEST,FWY SER,S,1
2009-06-16,,16,Rape,5F30,20A,8000-8099,GROW,LN,-,1
2009-06-01,,20,Robbery,6B60,18G,200-299,GREENS,RD,W,1
2009-06-01,,20,Robbery,11H10,140,6100-6199,GULF,FWY,-,1
2008-12-20,,09,Robbery,7C20,18H,5600-5699,KELLEY,-,-,1
2009-06-02,,09,Robbery,18F50,18A,9200-9299,PAGEWOOD,LN,-,1
2009-06-02,,21,Robbery,14D50,20A,5900-5999,SELINSKY,-,-,1
2009-06-02,,22,Robbery,20G10,13R,9300-9399,TOWN PARK,DR,-,1
2009-06-04,,14,Robbery,15E10,20A,8800-8899,BRAESMONT,DR,-,1
2009-06-04,,21,Robbery,7C20,13R,3400-3499,ADELIA,ST,-,1
2009-06-04,,21,Robbery,5F30,20A,5500-5599,GESSNER,DR,-,1
2009-06-04,,21,Robbery,8C50,18G,8800-8899,TIDWELL,RD,-,1
2009-06-04,,20,Robbery,6B10,070,0-99,TIDWELL,RD,-,1
2009-06-04,,19,Robbery,19G30,20R,12700-12799,LEADER,ST,-,1
2009-06-04,,08,Robbery,9C30,13R,8800-8899,CITY PARK LOOP,-,-,1
2009-06-04,,16,Robbery,6B20,13R,6300-6399,DE PRIEST,ST,-,1
2009-06-04,,16,Robbery,17E10,18T,6300-6399,HILLCROFT,-,-,1
2009-06-04,,15,Robbery,14D20,20R,9100-9199,ST LO,-,-,1
2009-06-04,,15,Robbery,9C40,13R,700-799,COOLWOOD,DR,-,1
2009-06-04,,15,Robbery,15E10,080,9500-9599,POST OAK,RD,S,1
2009-06-05,,01,Robbery,14D10,13R,4000-4099,CORDER,ST,-,1
2009-05-25,,16,Robbery,3B30,18C,3000-3099,ELLA,BLVD,-,1
2009-06-04,,11,Robbery,6B60,20A,12600-12699,NORTHBOROUGH,DR,-,1
2009-06-03,,11,Robbery,19G10,18A,10200-10299,CLUB CREEK,DR,-,1
2009-06-04,,11,Robbery,7C20,18O,4900-4999,LOCKWOOD,DR,-,1
2009-06-03,,15,Robbery,17E40,13R,11400-11499,FONDREN,RD,-,1
2009-06-04,,06,Robbery,20G70,070,3800-3899,SYNOTT,RD,-,1
2009-06-04,,05,Robbery,13D10,13R,6000-6099,LONG,DR,-,1
2009-06-04,,06,Robbery,19G20,070,4200-4299,KIRKWOOD,DR,S,1
2009-06-04,,06,Robbery,6B60,18A,900-999,GREENS,RD,-,1
2009-06-04,,05,Robbery,19G10,13R,8100-8199,WEST SAM HOUSTON,PKWY,S,1
2009-06-03,,11,Robbery,17E40,20R,12300-12399,SANDPIPER,DR,-,1
2009-06-04,,03,Robbery,6B40,240,8900-8999,NORTH,FWY,-,1
2009-06-04,,02,Robbery,19G30,18O,13100-13199,CLAREWOOD,DR,-,1
2009-06-04,,02,Robbery,3B10,210,2200-2299,MANGUM,-,-,1
2009-06-04,,01,Robbery,15E30,13R,3900-3999,OMEARA,DR,-,1
2009-06-05,,18,Robbery,10H60,18A,3500-3599,DIXIE,DR,-,1
2009-06-05,,18,Robbery,12D70,080,200-299,BAYBROOK MALL,-,-,1
2009-06-04,,00,Robbery,19G10,18A,10500-10599,SPICE,LN,-,1
2009-06-03,,23,Robbery,6B60,18A,1000-1099,GREENS,RD,-,1
2009-06-03,,22,Robbery,18F60,18A,6500-6599,GESSNER,DR,S,1
2009-06-05,,08,Robbery,10H60,01B,3100-3199,SOUTHMORE,BLVD,-,1
2009-06-05,,20,Robbery,1A20,18O,100-199,WEBSTER,-,-,1
2009-06-03,,22,Robbery,20G30,18A,2800-2899,WALLINGFORD,DR,-,1
2009-06-03,,22,Robbery,7C10,18P,5400-5499,FARMER,ST,-,1
