Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2013-02-14,14,Murder,18F40,20A,8000-8099,RICHMOND,AVE,-,1
2013-06-02,10,Murder,6B30,20R,3300-3399,VEGA,-,-,1
2013-06-17,05,Murder,14D10,13R,6300-6399,GOFORTH,ST,-,1
2013-06-02,02,Murder,5F20,18A,8600-8699,PITNER,-,-,1
2013-06-30,01,Murder,2A20,03B,2700-2799,NORTH,FWY,-,1
2012-09-25,09,Murder,16E30,20A,12800-12899,DUNLAP,ST,-,1
2013-06-05,02,Murder,2A20,13R,100-199,CAVALCADE,-,W,1
2013-06-29,19,Murder,5F20,20A,8700-8799,HAMMERLY,-,-,1
2013-06-16,05,Murder,13D20,18N,8300-8399,GULF,FWY,-,1
2012-08-23,01,Murder,8C10,13R,4100-4199,DORCHESTER,ST,-,1
2013-06-21,12,Murder,17E10,20A,6200-6299,WESTWARD,-,-,1
2013-06-23,21,Murder,12D50,13R,4500-4599,AMBLE OAK,CT,-,1
2013-06-15,05,Murder,19G50,18N,9700-9799,BISSONNET,ST,-,1
2013-06-09,03,Murder,10H70,20A,1700-1799,HERMANN,DR,-,1
2013-06-09,02,Murder,19G50,18N,9600-9699,BISSONNET,ST,-,1
2013-06-23,01,Murder,3B10,18N,3800-3899,MANGUM,-,-,1
2013-06-17,08,Murder,12D10,20R,1300-1399,ROPER,-,-,1
2013-06-11,16,Murder,18F50,18P,9400-9499,RICHMOND,AVE,-,1
2013-06-10,23,Rape,8C10,11R,9700-9799,SPAULDING,-,-,1
2013-06-22,01,Rape,7C20,13R,2600-2699,MILWAUKEE,-,-,1
2013-06-09,02,Rape,20G70,20A,12600-12699,ASHFORD POINT,DR,-,1
2013-06-23,04,Rape,17E20,20A,7600-7699,BEECHNUT,ST,-,1
2013-06-21,23,Rape,1A30,13R,2300-2399,PARK,-,-,1
2012-11-16,18,Rape,18F40,20R,7900-7999,MEADOWGLEN,LN,-,1
2013-05-28,09,Rape,19G40,20R,12500-12599,TAMBOURINE,DR,-,1
2006-06-01,12,Rape,16E20,20R,5100-5199,ANDERSON,RD,-,1
2013-06-01,01,Rape,20G50,140,900-999,GESSNER,DR,-,1
2013-06-29,23,Rape,6B30,20A,3500-3599,LITTLE YORK,RD,W,1
2013-06-27,05,Rape,14D20,20P,4200-4299,GRASSMERE,-,-,1
2013-06-08,23,Rape,17E20,18A,7400-7499,BISSONNET,ST,-,1
2013-03-24,17,Rape,16E30,18N,5300-5399,OREM,DR,W,1
2013-05-06,20,Rape,7C50,140,7000-7099,WILL CLAYTON,PKWY,-,1
2013-06-05,01,Rape,6B40,---,10400-10499,MONTGOMERY,RD,W,1
2013-06-24,15,Rape,6B20,20M,400-499,HAMILTON,ST,E,1
2013-06-15,23,Rape,19G40,20R,12300-12399,FAIRPOINT,DR,-,1
2013-06-12,21,Rape,7C20,13R,5900-5999,LOCKWOOD,DR,-,1
2013-06-15,21,Rape,3B50,20R,1300-1399,SADLER,-,-,1
2013-06-26,03,Rape,10H50,20A,3300-3399,ALABAMA,ST,-,1
2013-06-21,01,Rape,10H20,100,4200-4299,POLK,-,-,1
2013-06-12,21,Rape,14D20,20A,4000-4099,BARBERRY,DR,-,1
2012-02-17,18,Rape,20G80,20A,14500-14599,BRIAR FOREST,DR,-,1
2013-06-07,01,Rape,15E40,20A,8300-8399,BRAESMAIN,DR,-,1
2013-06-06,22,Rape,7C10,13R,2200-2299,CAMPBELL,ST,-,1
