Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2014-03-14,23,Murder,6B40,03B,700-799,MOUNT HOUSTON,RD,W,1
2014-03-17,15,Murder,14D20,20A,4100-4199,BARBERRY,DR,-,1
2014-03-22,16,Murder,18F60,03S,6800-6899,GESSNER,DR,S,1
2014-03-25,06,Murder,12D10,20R,1400-1499,REGAL,-,-,1
2014-02-22,18,Murder,17E20,20A,7600-7699,BEECHNUT,ST,-,1
2014-03-06,20,Murder,19G10,18A,8500-8599,WEST SAM HOUSTON,PKWY,S,1
2014-03-27,12,Murder,19G50,05P,10900-10999,BISSONNET,ST,-,1
2014-03-29,04,Murder,17E10,18A,6000-6099,BELLAIRE,BLVD,-,1
2014-03-29,00,Murder,11H30,20R,8500-8599,BAKER,DR,-,1
2014-03-02,07,Murder,14D30,13R,6800-6899,KASSARINE PASS,-,-,1
2013-05-21,02,Murder,7C40,13R,10500-10599,EXETER,ST,-,1
2014-03-19,22,Murder,6B60,13R,1400-1499,GREENS,PKWY,-,1
2014-03-19,22,Rape,6B40,20R,7400-7499,MONTGOMERY,RD,W,1
2014-03-02,00,Rape,1A10,13R,500-599,MCKINNEY,ST,-,1
2014-03-02,10,Rape,18F40,20A,9100-9199,WESTHEIMER,RD,-,1
2014-03-15,17,Rape,20G80,250,13700-13799,WESTHEIMER,RD,-,1
2014-03-19,04,Rape,16E20,20A,4800-4899,GATEWOOD,AVE,-,1
2014-03-19,15,Rape,5F10,20A,1800-1899,WIRT,RD,-,1
2009-03-19,12,Rape,8C20,20R,7400-7499,HOFFMAN,-,-,1
2014-03-12,03,Rape,16E40,20R,8300-8399,MEADOW BIRD,CIR,S,1
2012-01-01,00,Rape,10H50,20R,3300-3399,DREW,ST,-,1
2014-03-03,12,Rape,20G30,20A,10900-10999,MEADOWGLEN,LN,-,1
2014-03-03,22,Rape,9C40,05Z,13300-13399,EAST,FWY SER,N,1
2014-03-20,16,Rape,2A10,20R,3900-3999,HAIN,-,-,1
2011-10-15,01,Rape,14D30,20R,8300-8399,MYKAWA,-,-,1
2014-03-22,14,Rape,6B30,20A,5400-5499,GULF BANK,RD,W,1
2014-03-22,03,Rape,14D30,20R,5800-5899,SOUTHSEAS,-,-,1
2014-03-13,14,Rape,16E20,20A,4400-4499,AIRPORT,BLVD,W,1
2014-03-07,06,Rape,6B10,20D,11900-11999,WILKIE,LN,-,1
2014-03-30,17,Rape,10H70,09H,6600-6699,FANNIN,-,-,1
2014-03-08,21,Rape,1A10,140,1200-1299,TRAVIS,ST,-,1
2014-03-04,17,Rape,9C40,20A,12200-12299,FLEMING,DR,-,1
2011-03-01,21,Rape,3B40,20R,300-399,39TH,ST,E,1
2014-03-30,12,Rape,1A10,13R,1200-1299,TRAVIS,ST,-,1
2014-03-24,00,Rape,19G20,20R,11700-11799,ROWAN,LN,-,1
2014-03-15,16,Rape,6B60,18A,13000-13099,NORTHBOROUGH,DR,-,1
2014-03-21,20,Rape,12D10,250,10800-10899,SHANNON MILLS,LN,-,1
2014-03-01,05,Rape,10H20,140,4100-4199,GULF,FWY,-,1
2014-03-04,21,Rape,18F40,20A,2500-2599,WESTERLAND,DR,-,1
2014-03-24,21,Rape,12D10,11R,2300-2399,THETA,-,-,1
2014-03-09,19,Rape,9C10,20A,10000-10099,EAST,FWY,-,1
2014-03-21,08,Rape,19G30,18A,12700-12799,RODEO SQUARE,DR,-,1
2014-03-23,23,Rape,14D10,13R,6500-6599,EASTWOOD,ST,-,1
2014-03-03,12,Rape,17E40,13R,12100-12199,SANDPIPER,DR,-,1
2014-03-21,02,Rape,10H40,18P,4100-4199,FANNIN,-,-,1
2014-03-21,20,Rape,10H70,09H,1500-1599,BEN TAUB LOOP,-,-,1
2014-03-29,09,Rape,19G50,20A,10800-10899,KIPP WAY,DR,-,1
2014-03-14,19,Rape,11H50,20A,1700-1799,COLLEGE,-,-,1
2013-12-07,17,Rape,8C40,20R,8600-8699,VALLEY LAKE,DR,-,1
2014-03-29,00,Rape,12D10,18O,100-199,GILPIN,ST,-,1
2014-03-22,14,Rape,3B50,140,5100-5199,NORTH,FWY,-,1
2014-03-20,17,Rape,6B10,20R,6600-6699,DEWVILLE,LN,-,1
2014-03-09,20,Rape,24C40,20R,24500-24599,IKES,LN,-,1
2014-03-03,10,Rape,10H40,01B,2100-2199,MAIN,ST,-,1
2014-03-14,16,Rape,10H70,09H,6600-6699,FANNIN,-,-,1
2014-03-23,00,Rape,5F10,20A,1700-1799,JACQUELYN,-,-,1
2014-03-17,21,Rape,9C20,20R,900-999,MAJESTIC,-,-,1
2012-03-02,20,Rape,20G30,20A,2800-2899,WALLINGFORD,DR,-,1
2014-03-11,14,Rape,6B60,20A,17400-17499,IMPERIAL VALLEY,DR,-,1
2014-03-02,05,Rape,6B50,18A,11500-11599,GREEN PLAZA,DR,-,1
2014-03-02,03,Rape,1A20,03B,800-899,PACIFIC,-,-,1
2014-03-30,04,Rape,10H70,20A,6400-6499,FANNIN,-,-,1
2014-03-01,00,Rape,13D40,140,0-99,UNKNOWN,-,-,1
2014-03-04,11,Rape,17E40,20R,8700-8799,RYLANDER,CIR,E,1
2014-03-07,23,Rape,13D20,20A,8200-8299,BROADWAY,ST,-,1
2014-03-15,05,Rape,17E10,20A,6100-6199,RAMPART,-,-,1
2014-03-22,01,Rape,16E20,20R,3900-3999,HEATHERBLOOM,DR,-,1
2014-03-01,22,Rape,19G20,13A,11800-11899,BELLAIRE,BLVD,-,1
2011-09-01,07,Rape,16E40,20R,16400-16499,LOST QUAIL,DR,-,1
2014-03-01,04,Robbery,20G10,13R,9800-9899,MEADOWGLEN,LN,-,1
2014-03-01,05,Robbery,6B10,18A,200-299,SUNNYSIDE,-,-,1
2014-03-01,16,Robbery,20G20,13R,1300-1399,WILCREST,DR,-,1
2014-03-01,22,Robbery,8C60,23S,7100-7199,PARKER,RD,-,1
2014-03-02,02,Robbery,9C40,13R,12200-12299,FLEMING,DR,-,1
2014-03-01,18,Robbery,10H70,09H,1700-1799,DRYDEN,RD,-,1
2014-03-02,04,Robbery,6B50,18A,0-99,GOODSON,DR,-,1
2014-03-02,05,Robbery,12D10,20A,10900-10999,GULF,FWY,-,1
2014-03-02,04,Robbery,16E40,20D,6600-6699,ROBERSON,ST,-,1
2014-03-02,06,Robbery,14D30,20D,6800-6899,KASSARINE PASS,-,-,1
2014-03-02,04,Robbery,19G10,20A,9500-9599,BISSONNET,ST,-,1
2014-03-02,02,Robbery,6B10,18A,300-399,SUNNYSIDE,-,E,1
2014-03-02,15,Robbery,19G40,240,11800-11899,BISSONNET,ST,-,1
2014-03-02,16,Robbery,20G60,210,14700-14799,MEMORIAL,DR,-,1
2014-03-03,11,Robbery,5F30,18A,7200-7299,PINEMONT,DR,-,1
2014-03-04,20,Robbery,5F30,18A,8000-8099,TIDWELL,RD,W,1
2014-03-04,17,Robbery,6B10,23S,10200-10299,BAUMAN,RD,-,1
2014-03-04,20,Robbery,10H50,13R,2100-2199,ST EMANUEL,-,-,1
2014-03-04,06,Robbery,13D20,20D,8300-8399,WYNBROOK,-,-,1
2014-03-04,20,Robbery,9C40,18A,12400-12499,WOODFOREST,BLVD,-,1
2014-03-06,19,Robbery,6B30,13R,6400-6499,ANTOINE,DR,-,1
2014-03-06,20,Robbery,1A20,13R,800-899,DREW,ST,W,1
2014-03-06,20,Robbery,6B10,05Q,7400-7499,AIRLINE,DR,-,1
2014-03-01,14,Robbery,12D10,18T,9500-9599,ROWLETT,-,-,1
2014-03-01,13,Robbery,14D20,13R,10000-10099,CULLEN,BLVD,-,1
2014-03-01,09,Robbery,14D20,20A,5000-5099,SUNFLOWER,-,-,1
2014-03-01,02,Robbery,16E20,18A,13800-13899,LOCKWAY,DR,-,1
2014-03-01,04,Robbery,14D20,13R,9200-9299,SCOTT,-,-,1
2014-03-01,01,Robbery,10H40,13R,3100-3199,MAIN,ST,-,1
2014-03-01,01,Robbery,17E10,13R,6300-6399,WESTWARD,-,-,1
2014-03-01,00,Robbery,13D20,20A,8800-8899,GLENCREST,ST,-,1
2014-03-01,00,Robbery,8C50,20A,8800-8899,FOREST HOLLOW,DR,-,1
2014-03-06,21,Robbery,18F30,210,6100-6199,WESTHEIMER,RD,-,1
2014-03-06,21,Robbery,13D10,20R,5600-5699,WALTRIP,-,-,1
2014-03-06,21,Robbery,6B60,18A,16800-16899,CITY VIEW,PL,-,1
2014-03-06,21,Robbery,6B50,210,16400-16499,IMPERIAL VALLEY,DR,-,1
2014-03-06,20,Robbery,12D10,20A,9900-9999,WINDMILL LAKES,BLVD,-,1
2014-03-06,20,Robbery,6B40,210,600-699,MOUNT HOUSTON,RD,W,1
2014-03-06,18,Robbery,4F30,24E,17700-17799,KATY,FWY SER,N,1
2014-03-06,18,Robbery,18F60,13R,8000-8099,SHARPCREST,-,-,1
2014-03-05,22,Robbery,5F20,18A,8600-8699,PITNER,-,-,1
2014-03-08,01,Robbery,2A50,13R,300-399,T C JESTER,BLVD,-,1
2014-03-05,05,Robbery,18F60,13R,7600-7699,CROTON,RD,-,1
2014-03-05,20,Robbery,19G40,13R,11800-11899,ZARROLL,DR,-,1
2014-03-06,14,Robbery,15E20,040,4900-4999,BELLFORT,ST,W,1
2014-03-06,02,Robbery,9C40,250,12900-12999,EAST,FWY SER,N,1
2014-03-06,02,Robbery,19G10,18A,10000-10099,SPICE,LN,-,1
2014-03-05,19,Robbery,14D20,20R,1200-1299,ELBERTA,ST,-,1
2014-03-05,18,Robbery,13D20,03B,7900-7999,MOSLEY,RD,-,1
2014-03-05,17,Robbery,17E20,13R,7100-7199,CARVEL,LN,-,1
2014-03-05,08,Robbery,7C10,13R,2200-2299,DAVIS,ST,-,1
2014-02-28,02,Robbery,18F50,13R,7500-7599,BELLERIVE,DR,-,1
2014-03-05,11,Robbery,18F30,20A,3000-3099,GREENRIDGE,DR,-,1
2014-03-03,21,Robbery,18F40,20A,9400-9499,WESTHEIMER,RD,-,1
2014-02-20,16,Robbery,16E20,13R,13800-13899,WHITE HEATHER,-,-,1
2014-03-05,08,Robbery,9C30,23S,3600-3699,OATES,RD,-,1
2014-03-05,02,Robbery,1A10,13R,1000-1099,LEELAND,ST,-,1
2014-03-04,23,Robbery,17E40,13R,7600-7699,SOUTHMEADOW,DR,-,1
2014-03-04,23,Robbery,9C20,03B,7300-7399,LYONS,-,-,1
2014-03-04,21,Robbery,5F30,18A,7500-7599,PINEMONT,DR,-,1
2014-03-04,18,Robbery,18F40,24E,6300-6399,WESTHEIMER,RD,-,1
2014-03-04,17,Robbery,6B60,18U,12300-12399,NORTH,FWY,-,1
2014-03-04,16,Robbery,20G70,20A,12700-12799,BRANT ROCK,DR,-,1
2014-03-04,15,Robbery,6B30,120,6400-6499,LITTLE YORK,RD,W,1
2014-03-04,15,Robbery,17E10,24P,6700-6799,HILLCROFT,-,-,1
2014-03-04,02,Robbery,7C10,20A,4100-4199,HARE,ST,-,1
2014-03-03,22,Robbery,18F40,18A,2500-2599,OLD FARM,RD,-,1
2014-03-03,21,Robbery,19G20,210,10900-10999,BELLAIRE,BLVD,-,1
2014-03-03,20,Robbery,19G40,18A,11400-11499,BISSONNET,ST,-,1
2014-03-03,20,Robbery,19G50,18A,11200-11299,WILCREST,DR,-,1
2014-03-03,19,Robbery,3B40,13R,5100-5199,NORTH,FWY SER,W,1
2014-03-03,19,Robbery,2A10,18O,1100-1199,CAVALCADE,-,-,1
2014-03-03,16,Robbery,10H40,13R,2400-2499,SAN JACINTO,-,-,1
2014-03-03,18,Robbery,3B10,18G,12000-12099,NORTHWEST,FWY,-,1
2014-03-03,16,Robbery,5F40,18G,7000-7099,FM 1960,-,W,1
2014-03-03,16,Robbery,13D20,13R,6100-6199,WALTRIP,-,-,1
2014-02-06,00,Robbery,6B10,18W,500-599,TIDWELL,RD,-,1
2014-03-01,20,Robbery,14D20,13B,4700-4799,BELLFORT,ST,-,1
2014-03-03,14,Robbery,7C20,18C,3500-3599,LOCKWOOD,DR,-,1
2014-03-03,14,Robbery,20G80,18O,2100-2199,ELDRIDGE,PKWY,-,1
2014-03-02,23,Robbery,6B10,13R,300-399,ROSAMOND,-,-,1
2014-03-03,12,Robbery,3B10,120,6500-6599,43RD,ST,W,1
2014-03-03,12,Robbery,9C40,18C,12500-12599,EAST,FWY,-,1
2014-03-03,11,Robbery,13D20,18O,7200-7299,BELLFORT,ST,-,1
2014-03-03,09,Robbery,13D20,05E,6900-6999,TELEPHONE,RD,-,1
2014-02-28,15,Robbery,11H30,13R,8300-8399,PARK PLACE,BLVD,-,1
2014-03-02,18,Robbery,6B30,18R,5600-5699,LITTLE YORK,RD,W,1
2014-03-02,22,Robbery,9C20,13R,1300-1399,WAYSIDE,-,N,1
2014-03-03,03,Robbery,17E10,13R,6900-6999,HILLCROFT,-,-,1
2014-03-03,00,Robbery,6B60,20A,16900-16999,NORTHCHASE,DR,-,1
2014-03-02,23,Robbery,6B60,20A,800-899,SEMINAR,DR,-,1
2014-03-02,21,Robbery,3B50,140,4000-4099,NORTH,FWY,-,1
2014-03-01,20,Robbery,11H30,18A,8200-8299,BROCKTON,ST,-,1
2014-03-02,20,Robbery,2A20,13R,1300-1399,29TH,ST,E,1
2014-03-02,20,Robbery,14D10,13R,6600-6699,MILART,-,-,1
2014-03-02,19,Robbery,19G50,18A,10300-10399,WILCREST,DR,-,1
2014-03-02,19,Robbery,10H20,05Z,5400-5499,BELL,ST,-,1
2014-03-02,15,Robbery,6B10,20R,200-299,TURNER,DR,-,1
2014-03-02,08,Robbery,7C50,13R,5900-5999,FROST,ST,-,1
2014-03-02,13,Robbery,20G30,13R,12400-12499,OXFORD PARK,DR,-,1
2014-03-10,23,Robbery,6B40,18C,600-699,GULF BANK,RD,W,1
2014-03-11,01,Robbery,12D10,250,4300-4399,SHAVER,ST,S,1
2014-03-02,13,Robbery,10H40,18C,2100-2199,FANNIN,-,-,1
2014-03-02,12,Robbery,19G20,18R,11600-11699,BELLAIRE,BLVD,-,1
2014-03-02,11,Robbery,16E30,140,13900-13999,MAIN,ST,-,1
2014-03-02,11,Robbery,18F60,18A,6000-6099,GESSNER,DR,S,1
2014-03-02,11,Robbery,8C10,18A,9500-9599,CROFTON,ST,-,1
2014-03-02,10,Robbery,6B30,05L,7400-7499,ALABONSON,RD,-,1
2014-03-02,10,Robbery,17E10,18G,5900-5999,BELLAIRE,BLVD,-,1
2014-03-01,22,Robbery,5F30,20A,5700-5799,GUHN,-,-,1
2014-03-02,02,Robbery,3B40,23S,4400-4499,YALE,-,-,1
2014-03-01,21,Robbery,8C10,20R,4600-4699,WEAVER,RD,-,1
2014-03-01,21,Robbery,5F30,20A,8000-8099,TIDWELL,RD,W,1
2014-03-01,09,Robbery,4F20,18A,9500-9599,KEMPWOOD,DR,-,1
2014-03-01,20,Robbery,17E10,210,6300-6399,BELLAIRE,BLVD,-,1
2014-03-01,18,Robbery,17E10,05Z,6200-6299,BISSONNET,ST,-,1
2014-03-01,17,Robbery,8C60,20R,6400-6499,HARTWICK,RD,-,1
2014-03-01,15,Robbery,13D10,250,5300-5399,TELEPHONE,RD,-,1
2014-03-11,21,Robbery,17E40,18A,12600-12699,DUNLAP,ST,-,1
2014-02-28,20,Robbery,3B40,18C,1200-1299,CROSSTIMBERS,-,-,1
2014-03-06,22,Robbery,17E40,18O,11500-11599,HAVILAND,ST,-,1
2014-03-06,22,Robbery,16E40,13R,5500-5599,RIDGECREEK,DR,W,1
2014-03-07,04,Robbery,18F50,03S,9800-9899,WESTPARK,-,-,1
2014-03-01,06,Robbery,14D10,18O,3800-3899,OLD SPANISH,TRL,-,1
2014-03-07,08,Robbery,6B50,05Q,10900-10999,NORTH,FWY SER,E,1
2014-03-07,12,Robbery,10H40,05Z,1000-1099,ELGIN,ST,-,1
2014-03-07,15,Robbery,1A10,13R,1500-1599,ST JOSEPH,PKWY,-,1
2014-03-07,17,Robbery,20G60,11R,14300-14399,KIMBERLEY,LN,-,1
2014-03-07,17,Robbery,19G40,13R,11700-11799,BISSONNET,ST,-,1
2014-03-07,19,Robbery,17E30,13R,8700-8799,BRAESWOOD,BLVD,S,1
2014-03-07,20,Robbery,10H60,20D,3200-3299,PARKWOOD,DR,-,1
2014-03-07,21,Robbery,17E10,20A,6200-6299,GULFTON,-,-,1
2014-03-07,21,Robbery,6B10,13R,1100-1199,HAVNER,LN,-,1
2014-03-07,21,Robbery,6B30,23S,7200-7299,LITTLE YORK,RD,W,1
2014-03-07,23,Robbery,1A20,13R,600-699,FARGO,-,-,1
2014-03-08,00,Robbery,7C10,120,1100-1199,GREGG,ST,-,1
2014-03-08,03,Robbery,2A20,13R,5800-5899,IRVINGTON,BLVD,-,1
2014-03-13,05,Robbery,13D10,18A,3000-3099,GOLFCREST,BLVD,-,1
2014-03-06,15,Robbery,12D10,20R,300-399,OUTLOOK,DR,-,1
2014-03-06,16,Robbery,7C10,120,5400-5499,SONORA,-,-,1
2014-03-05,14,Robbery,12D70,20A,15200-15299,GALVESTON,RD,-,1
2014-03-13,15,Robbery,10H50,13R,3400-3499,REEVES,-,-,1
2014-03-13,14,Robbery,11H50,13R,5100-5199,SILVER CREEK,DR,-,1
2014-03-06,15,Robbery,8C60,05B,10000-10099,HOMESTEAD,RD,-,1
2014-03-08,04,Robbery,20G70,13R,12600-12699,ASHFORD MEADOW,DR,-,1
2014-03-08,06,Robbery,3B10,13R,11200-11299,HEMPSTEAD,HWY,-,1
2014-03-08,06,Robbery,17E10,20A,7100-7199,HILLCROFT,-,-,1
2014-03-08,10,Robbery,12D10,05D,9400-9499,ALMEDA GENOA,RD,-,1
2014-03-08,14,Robbery,2A40,18T,2200-2299,TAYLOR,-,-,1
2014-03-08,14,Robbery,3B50,18U,4400-4499,NORTH,FWY SER,E,1
2014-03-04,20,Robbery,17E30,18G,8600-8699,BELLFORT,ST,W,1
2014-03-08,16,Robbery,19G10,18A,9400-9499,WOODFAIR,DR,-,1
2014-03-08,16,Robbery,17E10,18A,5900-5999,BISSONNET,ST,-,1
2014-03-08,17,Robbery,11H10,13R,7300-7399,SHERMAN,-,-,1
2014-03-05,14,Robbery,3B40,120,4400-4499,SHEPHERD,DR,N,1
2014-03-05,13,Robbery,8C60,18O,6300-6399,MOUNT HOUSTON,RD,-,1
2014-03-08,18,Robbery,20G20,20A,1200-1299,WILCREST,DR,-,1
2014-03-07,19,Robbery,17E10,18A,6100-6199,GLENMONT,DR,-,1
2014-03-08,20,Robbery,13D20,18A,7000-7099,BELLFORT,ST,-,1
2014-03-08,19,Robbery,20G10,18A,10000-10099,WESTPARK,-,-,1
2014-03-08,20,Robbery,16E10,13R,600-699,ANDERSON,RD,E,1
2014-03-08,20,Robbery,18F50,20A,7200-7299,BELLERIVE,DR,-,1
2014-03-08,22,Robbery,8C20,13R,7600-7699,CROFTON,ST,-,1
2014-03-08,22,Robbery,15E40,18O,8300-8399,FANNIN,-,-,1
2014-03-09,00,Robbery,9C20,13R,1700-1799,DAUGHERTY,ST,-,1
2014-03-09,01,Robbery,15E40,03B,9500-9599,MAIN,ST,-,1
2014-03-09,03,Robbery,10H40,13R,1200-1299,TUAM,-,-,1
2014-03-09,06,Robbery,17E20,18O,7100-7199,BEECHNUT,ST,-,1
2014-03-09,07,Robbery,2A10,20R,4400-4499,SIEGEL,-,-,1
2014-03-09,12,Robbery,6B30,13R,9900-9999,INWOOD SHADOWS,-,-,1
2014-03-09,12,Robbery,2A10,210,200-299,PATTON,ST,-,1
2014-03-09,12,Robbery,19G30,20C,13000-13099,CLAREWOOD,DR,-,1
2014-03-09,13,Robbery,19G10,20A,7200-7299,CORPORATE,DR,-,1
2014-03-14,22,Robbery,1A10,13R,600-699,DALLAS,ST,-,1
2014-03-14,22,Robbery,15E30,18T,3800-3899,LINK VALLEY,DR,-,1
2014-03-14,23,Robbery,17E10,13R,5600-5699,BISSONNET,ST,-,1
2014-03-15,00,Robbery,17E40,18A,6200-6299,BELLFORT,ST,W,1
2014-03-09,16,Robbery,6B40,20A,1400-1499,GULF BANK,RD,W,1
