Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2014-05-07,12,Murder,14D30,18A,6000-6099,BELARBOR,ST,-,1
2014-05-09,06,Murder,9C40,03B,1300-1399,SHEFFIELD,BLVD,-,1
2013-01-03,18,Murder,8C60,20R,11200-11299,LEMOND,DR,-,1
2014-05-29,03,Murder,7C30,13R,3100-3199,HAGE,-,-,1
2014-05-28,23,Murder,13D20,18A,8100-8199,LEONORA,-,-,1
2014-05-11,04,Murder,3B40,140,4500-4599,AIRLINE,DR,-,1
2014-05-27,22,Murder,9C40,20R,13300-13399,ORLEANS,-,-,1
2014-05-27,21,Murder,16E40,20R,17300-17399,ARTWOOD,LN,-,1
2014-05-12,21,Murder,14D10,20R,4600-4699,KINGSBURY,-,-,1
2014-05-29,22,Murder,14D20,13R,4600-4699,BRINKLEY,ST,-,1
2014-05-18,00,Murder,6B20,20R,6300-6399,EZZARD CHARLES,LN,-,2
2014-05-20,22,Murder,14D30,13R,5500-5599,LYNDHURST,DR,-,1
2014-05-17,19,Murder,9C30,20P,13800-13899,NORTHLAKE,DR,-,1
2014-05-14,16,Murder,16E30,18C,14600-14699,MAIN,ST,-,2
2011-01-01,12,Rape,16E40,20R,4500-4599,BLUE BONNET,DR,-,2
2014-05-04,02,Rape,3B10,20A,3800-3899,SHERWOOD,LN,-,1
2014-05-25,20,Rape,7C30,20A,3200-3299,TIDWELL,RD,-,1
2014-05-06,17,Rape,6B30,20A,6400-6499,ANTOINE,DR,-,1
2014-03-10,10,Rape,16E40,20R,5400-5499,CASTLECREEK,LN,-,1
2014-05-22,19,Rape,19G20,250,11200-11299,BELLAIRE,BLVD,-,1
2013-07-13,18,Rape,7C30,05E,8400-8499,EASTEX,FWY,-,1
2013-10-05,00,Rape,17E10,140,6800-6899,HORNWOOD,DR,-,1
2014-05-13,18,Rape,6B40,250,8500-8599,MONTGOMERY,RD,W,1
