WARNING *** file size (2845765) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2009-11-06,16,Murder,3B30,20R,900-999,LAMONTE,LN,-,1
2009-11-19,23,Murder,14D20,18A,4700-4799,WENDA,-,-,1
2009-11-24,10,Murder,18F30,20A,6000-6099,BEVERLYHILL,ST,-,1
2009-11-19,05,Murder,2A20,20R,1100-1199,ADELE,ST,-,1
2009-11-02,21,Murder,3B10,18A,5900-5999,PINEMONT,DR,-,1
2009-11-02,14,Murder,17E10,18A,6000-6099,GULFTON,-,-,1
2001-12-01,08,Murder,3B10,20A,4500-4599,SHERWOOD,LN,-,1
2009-11-15,19,Murder,2A10,20P,1100-1199,BROOKS,ST,-,3
2009-11-21,00,Murder,3B50,18N,7700-7799,IRVINGTON,BLVD,-,1
2009-11-20,20,Murder,14D40,20D,5400-5499,BUNGALOW,-,-,1
2009-11-18,07,Murder,3B40,18A,4700-4799,YALE,-,-,1
2009-11-12,10,Murder,5F30,18P,6300-6399,WEST SAM HOUSTON,PKWY,N,1
2009-11-15,01,Murder,19G10,18A,9300-9399,WOODFAIR,DR,-,1
2009-11-01,22,Murder,19G10,20A,10600-10699,BEECHNUT,ST,-,1
2009-11-01,18,Murder,19G30,20D,12400-12499,CENTRE,CT,-,1
2009-11-14,14,Murder,15E10,18U,100-199,MEYERLAND PLAZA,-,-,1
2009-11-06,20,Murder,2A10,05Q,2400-2499,FULTON,ST,-,1
2009-11-14,09,Murder,11H20,20A,7500-7599,OFFICE CITY,DR,-,1
2009-11-30,09,Murder,18F60,20C,7900-7999,KENDALIA,DR,-,1
2009-11-21,19,Murder,3B50,18C,6400-6499,HELMERS,ST,-,1
2009-11-12,21,Murder,16E20,13R,13500-13599,REGG,DR,-,1
2009-11-24,09,Murder,3B40,20R,1300-1399,34TH,ST,E,1
2009-11-13,18,Rape,3B40,20A,5000-5099,YALE,-,-,1
2009-11-08,05,Rape,19G10,20A,10000-10099,GREENFORK,DR,-,1
2009-11-28,00,Rape,10H70,100,1000-1099,BLODGETT,ST,-,1
2009-11-30,00,Rape,20G10,20A,10100-10199,WESTPARK,-,-,1
2009-11-08,03,Rape,14D20,13R,7700-7799,CANNON,-,-,1
2009-11-08,00,Rape,7C30,23S,2300-2399,ALDINE WESTFIELD,RD,-,1
2009-11-08,02,Rape,19G10,20A,10000-10099,GREENFORK,DR,-,1
2007-12-24,12,Rape,20G30,20A,10900-10999,MEADOWGLEN,LN,-,1
2009-11-29,12,Rape,2A40,20A,2400-2499,SAWYER HEIGHTS,ST,-,1
2009-11-15,11,Rape,3B40,140,800-899,CROSSTIMBERS,-,-,1
2009-11-10,12,Rape,5F10,250,7800-7899,HAMMERLY,-,-,1
2009-11-01,23,Rape,17E10,20A,6100-6199,RAMPART,-,-,1
2009-11-30,07,Rape,16E20,20R,15700-15799,CLARKE SPRINGS,DR,-,1
2009-11-03,12,Rape,10H50,22M,2600-2699,ELGIN,ST,-,1
