Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-11-20,,00,Murder,9C40,140,12700-12799,NIMITZ,-,-,1
2010-11-05,,17,Murder,6B20,20R,5400-5499,CANDLEMIST,-,-,1
2010-11-11,,23,Murder,20G60,20R,14500-14599,CHADBOURNE,DR,-,1
2010-11-12,,13,Murder,16E10,20A,11900-11999,OAKMOOR,PKWY,-,1
2010-11-27,,06,Murder,13D20,20D,4100-4199,DE LEON,ST,-,1
2010-11-21,,23,Murder,3B40,13R,4300-4399,SHEPHERD,DR,N,1
2010-11-28,,14,Murder,16E20,18C,3400-3499,OREM,DR,W,1
2010-08-20,,20,Murder,12D10,20A,1300-1399,REDFORD,-,-,1
2010-08-14,,21,Murder,18F60,20A,7500-7599,GESSNER,DR,S,1
2010-05-05,,21,Murder,14D50,20R,5700-5799,ALLISON,RD,-,1
2010-06-19,,19,Murder,16E20,20R,5200-5299,BROOKMEADE,DR,-,1
2010-11-26,,16,Murder,20G40,20A,2100-2199,KIRKWOOD,DR,S,1
2010-11-07,,19,Murder,1A20,13R,900-999,RICHMOND,AVE,-,1
2010-11-23,,23,Murder,20G10,18A,5900-5999,RANCHESTER,DR,-,1
2010-11-21,,03,Murder,14D20,20A,3800-3899,MAINER,-,-,1
2010-11-10,,16,Murder,19G40,20R,12100-12199,HUNTINGTON VENTURE,DR,-,1
2010-11-10,,20,Murder,7C20,13R,6200-6299,SAYERS,ST,-,1
2010-11-11,,00,Murder,15E30,070,4600-4699,BEECHNUT,ST,-,1
2010-11-06,,02,Murder,18F50,210,7600-7699,DASHWOOD,DR,-,1
2010-11-14,,08,Murder,7C20,13R,4600-4699,BLAFFER,ST,-,1
2010-11-06,,02,Rape,16E20,20R,2600-2699,KNOTTY OAKS,TRL,-,1
2010-11-04,,03,Rape,1A30,09H,1000-1099,HAWTHORNE,-,-,1
2010-07-01,,13,Rape,15E10,20A,5600-5699,BEECHNUT,ST,-,1
2010-11-01,,13,Rape,10H60,22P,3000-3099,MACGREGOR,WAY,N,1
2010-11-17,,12,Rape,16E20,20R,2600-2699,SOCKEYE,DR,-,1
2010-11-28,,01,Rape,6B10,20A,100-199,PARKER,RD,W,1
2010-11-02,,20,Rape,24C30,20R,3400-3499,EVERGREEN,-,-,1
2010-11-03,,16,Rape,10H70,09H,6600-6699,FANNIN,-,-,1
2009-10-30,,00,Rape,14D20,20R,10100-10199,TENEHA,DR,-,1
2010-11-16,,18,Rape,17E20,09H,7600-7699,BISSONNET,ST,-,1
2010-09-08,,14,Rape,18F50,20R,6100-6199,FONDREN,RD,-,1
2010-11-18,,16,Rape,18F50,18P,7200-7299,BELLERIVE,DR,-,1
2010-11-13,,02,Rape,1A10,140,1200-1299,TRAVIS,ST,-,1
2010-11-27,,01,Rape,1A10,250,1200-1299,TRAVIS,ST,-,1
2010-11-14,,15,Rape,17E30,18T,8700-8799,BELLFORT,ST,W,1
2010-11-05,,14,Rape,9C30,20A,5800-5899,LAKE HOUSTON,PKWY,S,1
2010-11-14,,01,Rape,20G80,20A,13100-13199,BRIAR FOREST,DR,-,1
2010-11-27,,02,Rape,10H60,20A,3500-3599,DIXIE,DR,-,1
2004-10-01,,19,Rape,19G20,22D,4200-4299,KIRKWOOD,DR,S,1
2010-11-23,,20,Rape,11H10,20R,6600-6699,AVE I,-,-,1
2010-11-17,,19,Rape,16E40,20R,14600-14699,STEEPLE CHASE,RD,-,1
2010-11-25,,00,Rape,15E40,140,8600-8699,FANNIN,-,-,1
2010-11-29,,17,Rape,14D30,250,12000-12099,ST LO,-,-,1
2010-11-22,,13,Rape,2A30,20R,2000-2099,PATTERSON,-,-,1
2010-08-25,,12,Rape,2A30,13A,600-699,13TH,ST,E,1
2010-11-18,,19,Rape,14D20,250,7400-7499,COFFEE,ST,-,1
2010-11-24,,15,Rape,10H10,20A,100-199,MILBY,ST,-,1
2010-11-07,,00,Rape,19G50,20A,10800-10899,KIPP WAY,DR,-,1
2010-06-15,,12,Rape,12D20,20R,10900-10999,BAZIN,ST,-,1
2010-11-29,,09,Rape,14D30,20R,8100-8199,MARTIN LUTHER KING,BLVD,-,1
2010-11-27,,07,Rape,20G60,140,14800-14899,KATY,FWY SER,S,1
2010-11-11,,20,Rape,8C10,20V,8400-8499,PEACHTREE,ST,-,1
2010-10-29,,23,Rape,11H20,20R,7100-7199,QUINCE,-,-,1
2010-11-09,,22,Rape,15E30,140,3200-3299,SOUTH LP W,SER,S,1
2010-11-27,,18,Rape,19G50,20A,10600-10699,SOUTH,DR,-,1
2010-11-12,,05,Rape,19G10,18T,7500-7599,CORPORATE,DR,-,1
2010-11-10,,01,Rape,20G30,20A,3400-3499,WALNUT BEND,LN,-,1
2010-11-23,,02,Rape,20G30,20A,2900-2999,SHADOWBRIAR,DR,-,1
2010-11-01,,00,Rape,6B10,13R,200-299,HARKNESS,ST,-,1
2010-11-21,,00,Rape,6B10,20P,9500-9599,FULTON,ST,-,1
2010-11-18,,11,Rape,3B30,20A,800-899,OAK,-,-,1
2010-11-12,,22,Rape,14D10,13R,5100-5199,YELLOWSTONE,BLVD,-,1
2010-11-22,,02,Rape,3B10,03B,9600-9699,HEMPSTEAD,HWY,-,1
2010-11-26,,23,Rape,UNK,20R,5900-5999,PERSIAN,-,-,1
2010-11-09,,18,Rape,18F40,20A,9500-9599,ELLA LEE,LN,-,1
2010-10-25,,00,Rape,14D10,20R,6700-6799,GOFORTH,ST,-,1
2010-11-09,,03,Rape,10H50,140,2600-2699,SAMPSON,-,-,1
2010-11-23,,15,Rape,20G50,20A,900-999,GESSNER,DR,-,1
2010-10-13,,02,Rape,20G50,20A,900-999,GESSNER,DR,-,1
2010-11-02,,12,Rape,19G20,20R,11100-11199,HOLWORTH,DR,-,1
2010-11-18,,02,Rape,20G10,20A,9300-9399,TOWN PARK,DR,-,1
2010-11-01,,00,Robbery,19G50,13R,9600-9699,WILCREST,DR,-,1
2010-11-01,,02,Robbery,8C10,20R,5000-5099,DENMARK,ST,-,1
2010-10-31,,01,Robbery,19G10,18A,7700-7799,CORPORATE,DR,-,1
2010-10-31,,17,Robbery,1A30,13R,1000-1099,LOVETT,BLVD,-,1
2010-11-01,,21,Robbery,19G10,18T,7600-7699,WEST SAM HOUSTON,PKWY,S,1
2010-10-24,,01,Robbery,14D10,18B,3300-3399,OLD SPANISH,TRL,-,1
2010-11-01,,05,Robbery,18F60,13R,6000-6099,GESSNER,DR,S,1
2010-11-02,,16,Robbery,19G10,20A,7700-7799,CORPORATE,DR,-,1
2010-11-02,,22,Robbery,19G50,18A,10300-10399,WILCREST,DR,-,1
2010-11-03,,11,Robbery,18F60,13R,8600-8699,SANDS POINT,DR,-,1
2010-11-03,,11,Robbery,20G40,18A,2300-2399,CRESCENT PARK,DR,-,1
2010-11-03,,11,Robbery,13D20,20A,8700-8799,BROADWAY,ST,-,1
2010-11-03,,16,Robbery,8C30,05B,5300-5399,WAYSIDE,-,N,1
2010-11-02,,18,Robbery,2A50,13R,1200-1299,PARKER,-,-,1
2010-11-03,,20,Robbery,19G10,240,9300-9399,WEST SAM HOUSTON,PKWY,S,1
2010-11-03,,20,Robbery,17E20,20A,10500-10599,FONDREN,RD,-,1
2010-11-03,,18,Robbery,17E10,18A,6500-6599,HILLCROFT,-,-,1
2010-11-03,,20,Robbery,2A50,13R,200-299,HEIGHTS,BLVD,-,1
2010-11-03,,23,Robbery,5F10,070,7200-7299,LONG POINT,RD,-,1
2010-11-03,,22,Robbery,2A10,18B,2400-2499,MAIN,-,N,1
2010-11-04,,12,Robbery,2A10,13R,2600-2699,FULTON,ST,-,1
2010-11-04,,15,Robbery,20G40,13R,1800-1899,HAYES,RD,-,1
2010-11-04,,19,Robbery,14D10,070,6800-6899,CULLEN,BLVD,-,1
2010-11-04,,20,Robbery,18F60,20D,9100-9199,CONCHO,ST,-,1
2010-11-05,,00,Robbery,18F30,18A,6400-6499,SKYLINE,DR,-,1
2010-10-30,,15,Robbery,8C40,13R,9100-9199,WOODLYN,RD,-,1
