Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2012-11-18,04,Murder,19G10,03B,9600-9699,PLAINFIELD,ST,-,1
2012-11-28,05,Murder,3B40,20R,1100-1199,NEYLAND,-,-,2
2012-11-08,10,Murder,13D20,20R,8100-8199,DOVER,ST,-,2
2012-11-08,11,Murder,5F20,20A,8500-8599,PITNER,-,-,1
2012-11-16,21,Murder,6B60,18A,13500-13599,NORTHBOROUGH,DR,-,1
2012-11-29,22,Murder,7C20,13R,2200-2299,HAILEY,-,-,1
2012-11-04,06,Murder,10H70,20A,6500-6599,FANNIN,-,-,1
2012-11-26,20,Murder,7C20,13R,2100-2199,HAILEY,-,-,1
2012-11-22,02,Murder,5F10,23S,7400-7499,LONG POINT,RD,-,1
2012-11-07,22,Murder,14D10,18A,6000-6099,SCHROEDER,RD,-,1
2012-11-02,01,Murder,6B50,140,400-499,NORTH SAM HOUSTON,PKWY,E,1
2012-11-08,19,Murder,14D20,13R,8900-8999,DUANE,ST,-,1
2012-11-27,18,Rape,19G10,20A,7700-7799,CORPORATE,DR,-,1
2012-11-01,12,Rape,5F40,20A,12000-12099,GESSNER,DR,N,1
2012-11-08,02,Rape,19G20,20R,11200-11299,BEECHNUT,ST,-,1
2012-09-17,12,Rape,19G10,20A,8400-8499,COURSE,DR,S,1
2012-11-06,23,Rape,10H50,13A,2200-2299,DOWLING,ST,-,1
2012-11-16,19,Rape,5F40,18G,7000-7099,FM 1960,-,W,1
2012-11-15,22,Rape,19G50,20A,10100-10199,FORUM PARK,DR,-,1
2012-11-16,18,Rape,8C10,20R,6200-6299,RIETTA,-,-,1
2012-11-23,22,Rape,19G10,140,9600-9699,PLAINFIELD,ST,-,1
2012-11-20,08,Rape,2A30,13R,700-799,14TH,ST,E,1
2012-11-01,08,Rape,2A60,20R,1600-1699,NORTH LP W,-,-,1
2012-11-27,03,Rape,19G50,18O,10500-10599,WILCREST,DR,-,1
2012-11-10,02,Rape,4F10,18A,10000-10099,LONG POINT,RD,-,1
2012-06-15,00,Rape,8C60,20R,11000-11099,WICKLOWE,-,-,1
2012-11-26,18,Rape,16E20,13R,4000-4099,SIMSBROOK,DR,-,1
2012-11-03,23,Rape,20G10,20A,2900-2999,ELMSIDE,DR,-,1
2012-11-08,23,Rape,18F20,20A,3000-3099,POST OAK,BLVD,-,1
2012-09-29,19,Rape,14D20,20R,4000-4099,KNOXVILLE,-,-,1
