Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
1976-07-05,07,Theft,3B10,18A,3100-3199,MANGUM,-,-,1
2000-01-21,17,Theft,4F20,18R,4000-4099,GESSNER,DR,-,1
2000-10-02,21,Theft,14D10,210,5100-5199,SOUTH LP E,SER,N,1
2002-02-26,12,Theft,13D40,11R,8300-8399,ALMEDA GENOA,RD,-,1
2002-06-01,00,Theft,1A20,20R,1000-1099,SAULNIER,-,-,1
2003-10-17,02,Aggravated Assault,17E40,20A,11100-11199,FONDREN,RD,-,1
2003-10-22,18,Auto Theft,18F40,18A,7500-7599,BURGOYNE,DR,-,1
2004-07-04,01,Theft,1A40,03B,4000-4099,WESTHEIMER,RD,-,1
2004-10-24,08,Theft,3B10,18B,12200-12299,NORTHWEST,FWY,-,1
2004-11-02,21,Theft,19G10,20R,7300-7399,CORPORATE,DR,-,1
2005-10-15,12,Theft,16E20,05B,13000-13099,HIRAM CLARKE,RD,-,1
2006-02-19,13,Theft,18F50,080,6100-6199,MARINETTE,DR,-,1
2006-10-16,12,Theft,12D20,18A,10600-10699,SABO,RD,-,1
2006-10-26,22,Aggravated Assault,14D30,20R,5800-5899,SOUTHSEAS,-,-,1
2006-11-01,00,Theft,17E40,20R,6400-6499,CAMBRIDGE GLEN,-,-,1
2007-02-10,18,Auto Theft,3B10,18U,9600-9699,HEMPSTEAD,HWY,-,1
2007-02-15,20,Theft,1A50,03B,4100-4199,RICHMOND,AVE,-,1
2007-10-13,09,Burglary,18F40,20A,8700-8799,WOODWAY,DR,-,1
2007-10-13,07,Theft,6B10,20D,900-999,TIDWELL,RD,-,1
2007-10-16,15,Burglary,1A50,09P,4100-4199,SOUTHWEST,FWY,-,1
2007-10-16,13,Theft,5F20,05C,4000-4099,HOLLISTER,-,-,1
2007-10-20,18,Theft,12D10,05C,9300-9399,BRYANT,RD,-,1
2007-11-02,12,Theft,18F20,18R,5000-5099,RICHMOND,AVE,-,1
2007-11-13,00,Burglary,1A10,20A,1200-1299,TRAVIS,ST,-,1
2008-01-01,00,Theft,6B50,11G,0-99,NORTHPOINT,DR,-,1
2008-03-01,03,Rape,6B30,20R,5300-5399,DESOTO,ST,-,1
2008-03-17,17,Theft,17E40,18A,8200-8299,CREEKBEND,DR,-,1
2008-03-18,11,Theft,18F30,20R,5800-5899,TANGLEWOOD PARK,-,-,1
2008-03-23,18,Burglary,18F30,20A,2600-2699,CHIMNEY ROCK,RD,-,1
2008-06-10,14,Theft,3B10,18A,5800-5899,SUNFOREST,-,-,1
2008-08-08,17,Theft,1A30,05S,1200-1299,WESTHEIMER,RD,-,1
2008-08-14,12,Theft,6B30,20A,6400-6499,ANTOINE,DR,-,1
2008-08-15,12,Theft,3B30,20R,1600-1699,DU BARRY,LN,-,1
2008-09-10,00,Theft,3B40,140,4200-4299,NORTH,FWY SER,W,1
2008-09-14,17,Theft,24C10,05O,1000-1099,KINGWOOD,DR,-,1
2008-09-21,20,Theft,18F30,03B,6000-6099,WESTHEIMER,RD,-,1
2008-10-05,01,Auto Theft,20G10,18M,2900-2999,WEST SAM HOUSTON,PKWY,S,1
2008-10-08,15,Theft,20G60,23S,14300-14399,MEMORIAL,DR,-,1
2008-10-17,20,Theft,10H80,20A,1100-1199,BERTHEA,ST,-,1
2008-10-17,09,Theft,2A30,02B,500-599,19TH,ST,W,1
2008-10-19,00,Theft,6B10,01B,1100-1199,LITTLE YORK,RD,-,1
2008-10-22,20,Burglary,2A20,05Z,6400-6499,MAIN,-,N,1
2008-10-22,09,Theft,10H50,20R,2600-2699,HUTCHINS,-,-,1
2008-10-23,01,Theft,12D40,18A,11700-11799,ALGONQUIN,DR,-,1
2008-10-28,12,Burglary,12D70,20R,400-499,DINERSTEIN,ST,-,1
2008-10-28,19,Theft,13D20,20D,8300-8399,GLENSCOT,-,-,1
2008-11-15,14,Theft,16E20,18P,5000-5099,GALLAGHER,DR,-,1
2008-12-01,00,Theft,5F40,080,12400-12499,GESSNER,DR,N,1
2008-12-05,00,Theft,20G20,20R,10200-10299,LONGMONT,DR,-,1
