WARNING *** file size (2971767) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2009-09-11,23,Murder,18F60,18T,5500-5599,GESSNER,DR,S,1
2009-09-19,05,Murder,14D20,20A,4800-4899,JARMESE,-,-,1
2009-09-05,14,Murder,6B20,09H,500-599,TIDWELL,RD,W,1
2009-09-03,04,Murder,3B10,18A,4200-4299,34TH,ST,W,1
2009-09-10,23,Murder,16E40,20R,8300-8399,BLOSSOM BELL,LN,-,1
2009-09-24,10,Murder,6B30,20A,7000-7099,INWOOD PARK,DR,-,1
2009-08-23,05,Murder,9C20,23S,700-799,LATHROP,-,-,1
2009-09-13,10,Murder,6B60,20A,13000-13099,NORTHBOROUGH,DR,-,1
2009-09-13,08,Murder,14D50,13R,14000-14099,MARY KAY,LN,-,1
2009-09-04,11,Murder,15E30,140,3200-3299,SOUTH LP W,-,-,1
2009-09-05,00,Murder,14D20,18N,4300-4399,REED,RD,-,1
2009-09-04,21,Murder,12D30,20R,10700-10799,LUMBER RIDGE,TRL,-,1
2009-09-26,01,Murder,17E10,20A,6600-6699,DUNLAP,ST,-,1
2009-09-04,00,Murder,2A30,20R,2400-2499,YALE,-,-,1
2009-09-18,09,Murder,17E10,20A,5700-5799,RAMPART,-,-,2
2009-09-05,22,Murder,19G20,18A,10500-10599,TURTLEWOOD,CT,-,1
2009-09-20,14,Murder,17E10,13R,5700-5799,RAMPART,-,-,1
2009-09-07,01,Murder,17E30,20A,10200-10299,BELLFORT,ST,W,1
2009-09-14,22,Murder,17E10,18A,5700-5799,GLENMONT,DR,-,1
2009-09-24,23,Murder,18F50,20V,2900-2999,WESTERLAND,DR,-,1
2009-09-03,16,Murder,19G10,20A,8600-8699,COURSE,DR,S,1
2009-09-05,20,Murder,11H30,20R,3000-3099,SHADY PARK,DR,-,1
2009-05-26,23,Murder,19G30,20R,12700-12799,CORONA,LN,-,1
2009-09-30,04,Murder,3B40,20R,5100-5199,WERNER,ST,-,1
2009-09-06,00,Murder,14D40,13R,4400-4499,OREM,DR,-,1
2009-09-06,02,Murder,20G70,13R,12600-12699,ASHFORD MEADOW,DR,-,1
2009-09-06,02,Murder,17E10,18A,6100-6199,GLENMONT,DR,-,1
2009-09-21,22,Murder,6B50,20A,100-199,DYNA,DR,W,1
2009-09-02,10,Murder,2A20,13R,1000-1099,CORDELL,ST,-,1
2009-09-04,04,Rape,18F30,20A,2800-2899,GREENRIDGE,DR,-,1
