Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2011-09-28,19,Murder,2A10,20D,4300-4399,EDISON,ST,-,1
2011-09-17,11,Murder,6B40,20A,9600-9699,MONTGOMERY,RD,W,1
2011-09-11,19,Murder,17E40,20G,7900-7999,AIRPORT,BLVD,W,1
2011-09-20,03,Murder,14D10,20C,5900-5999,SOUTH LP E,-,-,1
2011-09-06,02,Murder,15E20,18A,10600-10699,POST OAK,RD,S,1
2011-09-05,20,Murder,7C20,20R,4500-4599,LEFFINGWELL,-,-,1
2011-09-24,14,Murder,12D30,250,600-699,KEITH,AVE,-,1
2011-09-05,03,Murder,17E10,03B,6900-6999,HILLCROFT,-,-,1
2011-06-14,14,Murder,3B50,20R,300-399,KING,ST,-,1
2011-09-18,11,Murder,7C10,11R,4900-4999,PROVIDENCE,-,-,1
2011-09-18,03,Murder,11H20,18A,7400-7499,PLUM CREEK,DR,-,1
2011-09-04,05,Murder,17E10,20A,5900-5999,GLENMONT,DR,-,1
2011-09-01,11,Murder,7C20,13R,5500-5599,KASHMERE,-,-,1
2011-09-01,05,Murder,6B60,13R,800-899,SEMINAR,DR,-,1
2011-09-14,22,Murder,19G10,20A,8300-8399,COURSE,DR,S,1
2011-08-30,20,Murder,4F30,05Z,1600-1699,UPLAND,-,-,1
2011-09-03,11,Murder,8C30,13R,7900-7999,LYNETTE,ST,-,1
2011-09-22,19,Murder,6B60,18A,900-999,GREENS,RD,-,1
2011-09-04,00,Rape,17E20,18A,7000-7099,BEECHNUT,ST,-,1
2011-09-04,06,Rape,16E30,20R,12400-12499,ORMANDY,-,-,1
2011-09-24,01,Rape,12D10,03S,10500-10599,GULF,FWY,-,1
2011-09-20,02,Rape,20G40,20A,2200-2299,HAYES,RD,-,1
2011-09-05,18,Rape,16E20,20R,4000-4099,CHERYL LYNNE,LN,-,1
2011-09-27,22,Rape,10H70,11R,6600-6699,FANNIN,-,-,1
2011-08-25,16,Rape,14D20,20R,9200-9299,JUTLAND,-,-,1
2011-09-27,01,Rape,17E40,13R,12300-12399,SANDPIPER,DR,-,1
2011-09-10,03,Rape,1A30,210,3700-3799,SHEPHERD,DR,S,1
2011-09-10,10,Rape,14D20,20A,2700-2799,REED,RD,-,1
2004-01-01,00,Rape,5F30,20R,10000-10099,PORTO RICO,RD,-,1
2011-09-18,17,Rape,17E40,250,12500-12599,DUNLAP,ST,-,1
2011-08-21,03,Rape,14D10,20R,6700-6799,FOSTER,ST,-,1
2011-09-15,03,Rape,14D20,20P,4200-4299,ROCKINGHAM,AVE,-,1
2011-02-01,00,Rape,15E20,20A,5000-5099,WILLOW,DR,S,1
2011-09-03,14,Rape,3B50,20R,800-899,YORKSHIRE,-,-,1
2011-09-04,03,Rape,14D30,20P,5000-5099,MALMEDY,RD,-,1
2011-09-29,12,Rape,18F60,20A,8000-8099,BELLAIRE,BLVD,-,1
2011-09-04,09,Rape,15E30,20A,3800-3899,BRAESWOOD,BLVD,N,1
2008-01-01,01,Rape,3B40,20A,400-499,THORNTON,-,-,1
2011-09-05,04,Rape,11H20,18A,7400-7499,PLUM CREEK,DR,-,1
2011-09-02,01,Rape,15E10,20A,5400-5499,BRAESWOOD,BLVD,S,1
2011-09-17,21,Rape,6B60,20A,12600-12699,NORTHBOROUGH,DR,-,1
2011-09-15,03,Rape,2A60,13R,2400-2499,ELLA,BLVD,-,1
2011-09-11,23,Rape,6B60,20R,1500-1599,GEARS,RD,-,1
2011-09-22,23,Rape,19G30,20A,12300-12399,BEECHNUT,ST,-,1
2011-09-12,04,Rape,18F60,13H,8500-8599,NEFF,-,-,1
2011-09-09,06,Rape,20G40,250,11100-11199,BRIAR FOREST,DR,-,1
2011-09-25,00,Rape,20G30,20A,12100-12199,RICHMOND,AVE,-,1
2011-09-09,05,Rape,20G10,18A,8700-8799,TOWN PARK,DR,-,1
2008-07-01,00,Rape,13D10,20R,2700-2799,BEATTY,ST,-,1
2011-09-28,07,Rape,19G30,100,6700-6799,DAIRY ASHFORD,-,S,1
2011-09-16,21,Rape,16E20,20R,13900-13999,ROSECREST,DR,-,1
2011-09-25,02,Rape,10H10,20A,3800-3899,WILMER,-,-,1
2011-08-24,22,Rape,7C30,20A,7600-7699,CURRY,RD,-,1
2011-09-05,18,Rape,16E20,20R,3200-3299,KNOTTY OAKS,TRL,-,1
1999-03-03,00,Rape,11H10,20R,1000-1099,WOODING,-,-,1
2011-09-11,03,Rape,14D40,140,11900-11999,MARTIN LUTHER KING,BLVD,-,1
2011-09-11,05,Rape,13D10,13R,2600-2699,TELEPHONE,RD,-,1
2011-09-30,11,Rape,3B10,05C,4900-4999,MILWEE,ST,-,1
2011-08-31,10,Rape,6B10,20R,10100-10199,MCGALLION,RD,-,1
2011-09-25,02,Rape,4F20,18A,10000-10099,HAMMERLY,-,-,1
2011-07-29,18,Rape,13D20,20A,8700-8799,BROADWAY,ST,-,1
2011-09-17,01,Rape,2A10,20R,2200-2299,THOMAS,-,-,1
2003-10-01,00,Rape,10H10,20A,0-99,LATHAM,ST,-,1
2011-09-22,01,Rape,18F30,18A,5900-5999,BURGOYNE,DR,-,1
2011-09-21,21,Rape,7C30,20A,7600-7699,CURRY,RD,-,1
2011-07-25,03,Rape,20G30,20P,12200-12299,DAIRY ASHFORD,-,S,1
2011-09-01,14,Rape,14D10,20A,5600-5699,ROYAL PALMS,ST,-,1
2011-09-10,14,Rape,17E40,13R,8800-8899,SUNSET MEADOW,-,-,1
2011-09-30,05,Rape,16E30,20R,4700-4799,TIDEWATER,-,-,1
2011-08-31,22,Rape,16E20,20R,3900-3999,HEATHERBLOOM,DR,-,1
2011-09-08,15,Rape,10H70,250,1500-1599,BEN TAUB LOOP,-,-,1
2011-09-25,14,Rape,3B10,20A,5600-5699,ANTOINE,DR,-,1
2011-09-01,03,Rape,10H50,20V,2800-2899,HUTCHINS,-,-,1
2011-08-13,00,Rape,19G10,13R,8300-8399,CINNAMON,LN,-,1
2011-09-17,04,Rape,8C10,20R,8500-8599,BERTWOOD,ST,-,1
2011-09-28,01,Rape,19G50,18A,10200-10299,FORUM WEST,DR,-,1
2011-09-27,19,Rape,1A20,20R,1600-1699,WEBSTER,ST,W,1
2011-09-13,22,Rape,7C50,20A,20900-20999,BIRNAM WOOD,BLVD,-,1
2011-08-13,00,Rape,3B30,20R,1700-1799,DU BARRY,LN,-,1
2011-09-18,20,Rape,7C20,20R,2500-2599,BREWSTER,ST,-,1
2011-09-07,15,Rape,17E40,20A,12200-12299,FONDREN,RD,-,1
2011-09-01,04,Robbery,3B50,20R,900-999,EUBANKS,ST,-,1
2011-09-01,23,Robbery,18F30,18C,6300-6399,WINDSWEPT,LN,-,1
2011-09-02,07,Robbery,17E10,18A,6700-6799,HORNWOOD,DR,-,1
2011-09-02,11,Robbery,19G30,18A,6700-6799,DAIRY ASHFORD,-,S,1
2011-09-03,11,Robbery,14D10,210,5000-5099,GRIGGS,-,-,1
2011-08-23,19,Robbery,10H10,13R,200-299,HUTCHESON,ST,N,1
2011-09-04,01,Robbery,7C50,20R,7100-7199,OAK VILLAGE,DR,-,1
2011-09-04,04,Robbery,6B10,18A,300-399,ROSAMOND,-,-,1
2011-09-04,05,Robbery,5F20,18O,2100-2199,RIDGECREST,-,-,1
2011-09-04,00,Robbery,17E40,18A,8200-8299,BELLFORT,ST,W,1
2011-09-04,13,Robbery,6B60,18A,17100-17199,IMPERIAL VALLEY,DR,-,1
2011-09-05,04,Robbery,2A30,13R,600-699,22ND,ST,W,1
2011-09-04,17,Robbery,5F40,250,12900-12999,WILLOW CHASE,DR,-,1
2011-09-04,04,Robbery,19G20,20A,4700-4799,KIRKWOOD,DR,S,1
2011-09-04,16,Robbery,8C60,20A,7100-7199,PARKER,RD,-,1
2011-09-04,04,Robbery,10H50,20A,3700-3799,BURKETT,ST,-,1
2011-09-04,03,Robbery,4F10,18N,9400-9499,LONG POINT,RD,-,1
2011-09-04,02,Robbery,14D40,13R,11600-11699,CULLEN,BLVD,-,1
2011-09-03,23,Robbery,19G10,18A,7500-7599,CORPORATE,DR,-,1
2011-09-03,23,Robbery,8C60,20D,7400-7499,BRETSHIRE,DR,-,1
2011-09-03,23,Robbery,14D20,18A,4100-4199,BARBERRY,DR,-,1
2011-09-03,08,Robbery,13D20,18A,8500-8599,BROADWAY,ST,-,1
